Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,6,672,CLE,Cleveland Cavaliers,Brad Daugherty,23,5,5,167,3.7,10.1,0.36,0.0,0.2,0.0,3.7,9.9,0.37,4.5,7.5,0.6,2.6,7.3,9.9,2.6,1.3,1.1,1.3,3.9,11.9
1989,6,792,CLE,Cleveland Cavaliers,Chris Dudley,23,1,0,4,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0
1989,6,838,CLE,Cleveland Cavaliers,Craig Ehlo,27,4,1,97,6.3,14.5,0.44,1.9,4.8,0.38,4.5,9.6,0.46,3.3,4.1,0.82,0.7,1.5,2.2,4.8,1.1,0.4,1.9,3.7,17.8
1989,6,2946,CLE,Cleveland Cavaliers,Darnell Valentine,29,5,0,80,3.2,9.0,0.35,0.0,0.0,,3.2,9.0,0.35,3.2,3.6,0.88,1.4,1.8,3.2,7.2,2.3,0.0,2.3,3.2,9.5
1989,6,3143,CLE,Cleveland Cavaliers,Hot Rod Williams,26,5,2,161,4.7,10.1,0.47,0.0,0.0,,4.7,10.1,0.47,2.9,4.0,0.72,1.6,6.0,7.6,2.2,0.4,1.6,2.5,2.7,12.3
1989,6,2109,CLE,Cleveland Cavaliers,Larry Nance,29,5,5,195,7.0,12.7,0.55,0.0,0.0,,7.0,12.7,0.55,3.9,5.9,0.66,3.0,4.2,7.2,3.0,0.6,2.2,1.7,2.2,17.9
1989,6,2360,CLE,Cleveland Cavaliers,Mark Price,24,4,4,158,5.0,13.0,0.39,1.4,3.6,0.38,3.6,9.3,0.39,3.2,3.4,0.93,0.9,2.1,3.0,5.0,0.7,0.0,4.3,0.7,14.6
1989,6,2556,CLE,Cleveland Cavaliers,Mike Sanders,28,5,3,87,6.2,12.4,0.5,0.0,0.0,,6.2,12.4,0.5,1.2,2.1,0.6,2.5,4.1,6.6,1.7,0.8,0.4,4.1,4.6,13.7
1989,6,1344,CLE,Cleveland Cavaliers,Phil Hubbard,32,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,6,1602,CLE,Cleveland Cavaliers,Randolph Keys,22,1,0,12,0.0,9.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,9.0,9.0,3.0,0.0,0.0,6.0,3.0,0.0
1989,6,1191,CLE,Cleveland Cavaliers,Ron Harper,25,5,5,189,7.4,13.1,0.56,0.0,0.4,0.0,7.4,12.8,0.58,3.8,5.0,0.77,1.3,2.7,4.0,3.8,2.1,0.8,1.3,3.8,18.7
1989,6,2501,CLE,Cleveland Cavaliers,Tree Rollins,33,5,0,74,2.9,3.9,0.75,0.0,0.0,,2.9,3.9,0.75,1.5,2.4,0.6,2.4,5.4,7.8,0.5,1.5,3.4,0.5,4.9,7.3
