Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,17.0,60,MIL,Milwaukee Bucks,24.0,NBA,PG,37,2,7.8,0.8,2.3,.357,0.2,0.8,.267,0.6,1.5,.407,.405,0.2,0.4,.692,0.1,0.7,0.8,1.8,0.4,0.0,0.5,0.7,2.1
2002,17.0,60,MIL,Milwaukee Bucks,25.0,NBA,PG,50,7,12.0,1.3,3.8,.346,0.5,1.4,.380,0.8,2.4,.325,.416,0.4,0.6,.621,0.2,1.2,1.4,2.9,0.6,0.0,0.8,0.8,3.5
2003,28.0,60,TOR,Toronto Raptors,26.0,NBA,PG,47,4,20.9,3.0,7.1,.415,1.1,2.8,.392,1.9,4.4,.429,.491,0.8,1.1,.685,0.4,1.8,2.3,4.1,0.8,0.3,1.8,2.6,7.8
2004,16.0,60,MIA,Miami Heat,27.0,NBA,PG,82,28,31.5,3.5,9.3,.376,2.0,5.3,.371,1.5,4.0,.382,.481,1.3,1.6,.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2
2005,28.0,60,TOR,Toronto Raptors,28.0,NBA,PG,80,78,34.0,5.0,12.2,.414,1.7,4.9,.357,3.3,7.3,.451,.485,2.4,3.2,.740,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2
2006,11.0,60,HOU,Houston Rockets,29.0,NBA,PG,63,63,38.6,4.4,11.7,.379,1.6,5.0,.327,2.8,6.8,.418,.449,1.6,2.3,.692,0.6,3.5,4.0,6.7,1.6,0.2,2.5,3.1,12.1
2007,11.0,60,HOU,Houston Rockets,30.0,NBA,PG,82,82,37.1,4.7,12.4,.375,2.3,6.5,.363,2.3,6.0,.389,.470,1.6,2.2,.734,0.4,3.1,3.4,5.4,1.6,0.1,2.1,2.4,13.3
2008,11.0,60,HOU,Houston Rockets,31.0,NBA,PG,74,74,34.1,4.9,12.5,.394,1.9,5.5,.351,3.0,7.0,.427,.471,1.3,1.9,.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,1.9,13.1
2009,31.0,60,TOT,Total After Trade,32.0,NBA,PG,77,76,31.8,4.1,10.6,.385,1.5,4.3,.338,2.6,6.4,.417,.454,2.0,2.7,.750,0.4,2.5,2.9,5.3,1.4,0.1,1.8,1.8,11.7
2009,11.0,60,HOU,Houston Rockets,32.0,NBA,PG,48,48,33.1,4.0,10.9,.370,1.7,4.8,.348,2.4,6.1,.387,.446,1.8,2.3,.789,0.5,2.5,3.0,5.4,1.2,0.1,1.8,1.5,11.5
2009,22.0,60,ORL,Orlando Magic,32.0,NBA,PG,29,28,29.5,4.2,10.3,.413,1.1,3.5,.317,3.1,6.8,.462,.466,2.4,3.4,.707,0.3,2.6,2.9,5.1,1.8,0.1,1.8,2.2,12.0
2010,31.0,60,TOT,Total After Trade,33.0,NBA,PG,52,38,27.3,3.0,8.6,.348,1.1,3.2,.345,1.9,5.3,.349,.413,1.1,1.6,.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2
2010,3.0,60,NJN,New Jersey Nets,33.0,NBA,PG,27,13,28.4,3.5,10.3,.343,1.0,3.2,.322,2.5,7.0,.353,.394,1.6,2.0,.815,0.3,2.4,2.8,3.9,1.0,0.2,2.3,1.9,9.7
2010,16.0,60,MIA,Miami Heat,33.0,NBA,PG,25,25,26.2,2.4,6.8,.355,1.2,3.2,.370,1.2,3.5,.341,.444,0.6,1.1,.556,0.2,2.0,2.2,2.9,0.9,0.2,1.4,2.1,6.6
