PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Monta Ellis,29,80,80,2699,8.0,18.1,0.445,1.1,3.8,0.285,6.9,14.3,0.48700000000000004,3.0,4.0,0.752,0.5,2.1,2.5,4.4,2.0,0.3,2.6,2.6,20.2
Tyson Chandler,32,75,75,2286,4.6,6.9,0.6659999999999999,0.0,0.0,,4.6,6.9,0.6659999999999999,2.9,4.0,0.72,4.6,9.0,13.6,1.3,0.7,1.4,1.7,2.7,12.1
Dirk Nowitzki,36,77,77,2282,7.7,16.8,0.45899999999999996,1.6,4.3,0.38,6.0,12.4,0.486,4.0,4.6,0.882,0.7,6.5,7.2,2.3,0.6,0.5,1.3,2.5,21.0
Chandler Parsons,26,66,66,2186,6.3,13.7,0.462,2.2,5.7,0.38,4.1,7.9,0.521,2.3,3.2,0.72,1.1,4.3,5.3,2.7,1.1,0.3,1.6,2.3,17.1
Devin Harris,31,76,3,1685,4.7,11.2,0.418,2.0,5.7,0.35700000000000004,2.6,5.5,0.48100000000000004,2.8,3.5,0.815,0.3,2.6,2.9,5.1,1.7,0.3,1.8,3.1,14.2
Al-Farouq Aminu,24,74,3,1366,3.9,9.4,0.41200000000000003,0.9,3.3,0.27399999999999997,3.0,6.1,0.485,2.2,3.1,0.7120000000000001,3.0,6.0,9.0,1.6,1.8,1.6,1.4,3.6,10.9
J.J. Barea,30,77,10,1362,5.9,14.2,0.42,1.4,4.4,0.32299999999999995,4.5,9.8,0.46299999999999997,2.0,2.5,0.809,0.6,2.9,3.5,7.0,0.9,0.0,1.9,2.7,15.3
Rajon Rondo,28,46,46,1319,5.3,12.1,0.436,0.5,1.5,0.35200000000000004,4.8,10.7,0.44799999999999995,0.5,1.1,0.452,1.3,4.4,5.7,8.2,1.5,0.1,3.7,3.0,11.6
Richard Jefferson,34,74,18,1244,4.2,9.4,0.444,1.9,4.5,0.426,2.3,4.9,0.462,2.3,3.3,0.684,0.7,4.6,5.3,1.8,0.9,0.3,1.5,3.3,12.5
Charlie Villanueva,30,64,1,678,8.0,19.2,0.414,4.4,11.7,0.376,3.6,7.5,0.475,1.1,1.9,0.5710000000000001,1.6,6.3,7.9,1.0,0.8,1.2,1.5,3.4,21.4
Jameer Nelson,32,23,23,584,3.8,10.0,0.374,2.3,6.3,0.369,1.4,3.7,0.38299999999999995,0.4,0.5,0.875,0.9,3.0,3.9,5.9,0.9,0.1,2.4,3.3,10.3
Brandan Wright,27,27,0,505,7.2,9.6,0.748,0.0,0.0,,7.2,9.6,0.748,2.6,3.4,0.75,3.6,4.2,7.8,0.7,1.2,3.0,0.9,3.1,17.0
Amar'e Stoudemire,32,23,1,380,9.9,17.0,0.581,0.0,0.1,0.0,9.9,16.9,0.584,3.8,5.6,0.6779999999999999,2.6,5.4,8.0,0.8,0.9,0.4,1.4,4.7,23.5
Greg Smith,24,42,2,363,3.0,4.9,0.612,0.0,0.0,,3.0,4.9,0.612,2.0,3.9,0.513,2.6,5.3,7.8,0.9,0.7,1.1,1.1,5.3,7.9
Raymond Felton,30,29,3,281,5.5,13.6,0.406,1.3,4.4,0.294,4.2,9.2,0.45799999999999996,1.5,1.9,0.8,0.3,3.1,3.3,5.3,1.4,0.5,2.3,2.2,13.8
Jae Crowder,24,25,0,265,4.5,10.3,0.434,1.8,5.2,0.342,2.7,5.2,0.526,1.4,1.5,0.909,1.6,2.3,3.9,1.6,2.0,0.7,1.4,3.5,12.1
Dwight Powell,23,24,0,227,4.3,9.8,0.435,0.5,1.7,0.273,3.8,8.1,0.47100000000000003,3.8,4.9,0.774,2.9,4.9,7.8,1.4,1.1,1.0,1.4,6.2,12.8
Bernard James,29,16,2,158,2.7,6.2,0.444,0.0,0.0,,2.7,6.2,0.444,4.6,5.2,0.87,4.1,4.8,8.9,0.9,0.5,3.4,1.4,3.9,10.0
Ricky Ledo,22,5,0,11,0.0,19.6,0.0,0.0,9.8,0.0,0.0,9.8,0.0,3.3,6.5,0.5,3.3,3.3,6.5,3.3,0.0,0.0,6.5,3.3,3.3
