PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Lou Williams,33,65,8,1864,9.9,23.7,0.418,2.8,8.0,0.35200000000000004,7.1,15.7,0.451,7.4,8.6,0.861,0.8,4.3,5.1,9.3,1.1,0.3,4.6,2.0,30.1,,109,111
Kawhi Leonard,28,57,57,1848,13.6,29.0,0.47,3.1,8.3,0.37799999999999995,10.5,20.7,0.506,9.1,10.3,0.8859999999999999,1.4,8.9,10.3,7.2,2.6,0.8,3.8,2.9,39.5,,117,104
Montrezl Harrell,26,63,2,1749,12.7,21.9,0.58,0.0,0.5,0.0,12.7,21.5,0.593,6.2,9.5,0.6579999999999999,4.4,7.6,12.0,2.9,1.1,1.9,2.9,3.9,31.7,,119,107
Landry Shamet,22,53,30,1452,5.1,12.7,0.40399999999999997,3.6,9.6,0.375,1.5,3.1,0.495,2.1,2.5,0.855,0.2,3.1,3.3,3.2,0.7,0.3,1.4,4.6,16.0,,115,113
Paul George,29,48,48,1419,11.4,26.1,0.439,5.2,12.7,0.41200000000000003,6.2,13.4,0.46399999999999997,6.3,7.2,0.8759999999999999,0.8,8.3,9.1,6.2,2.3,0.7,4.2,3.8,34.4,,112,106
Patrick Beverley,31,51,50,1342,5.2,12.0,0.431,2.8,7.3,0.38799999999999996,2.4,4.8,0.496,1.1,1.7,0.66,2.0,7.4,9.4,6.4,1.9,0.9,2.3,5.5,14.3,,116,107
Ivica Zubac,22,72,70,1326,8.4,13.7,0.613,0.0,0.1,0.0,8.4,13.7,0.616,4.4,5.9,0.747,7.0,12.3,19.4,2.9,0.6,2.4,2.2,6.0,21.2,,134,105
JaMychal Green,29,63,1,1307,5.5,12.7,0.429,3.3,8.6,0.387,2.1,4.1,0.518,1.3,1.7,0.75,2.8,11.2,14.0,1.8,1.0,0.9,2.0,6.3,15.6,,112,106
Maurice Harkless,26,50,38,1141,4.6,9.0,0.516,1.1,3.0,0.37,3.5,6.0,0.59,1.0,1.7,0.5710000000000001,1.9,6.3,8.3,2.0,2.0,1.2,1.9,5.0,11.4,,109,107
Rodney McGruder,28,56,4,871,3.9,9.8,0.39799999999999996,1.3,4.8,0.27,2.6,5.0,0.522,1.0,1.8,0.5589999999999999,1.6,6.6,8.2,2.0,1.4,0.4,1.3,4.0,10.1,,100,109
Patrick Patterson,30,59,18,776,5.8,14.2,0.408,4.1,10.5,0.39,1.7,3.7,0.45899999999999996,2.1,2.6,0.8140000000000001,2.1,7.1,9.2,2.5,0.4,0.2,1.3,3.3,17.8,,119,111
Marcus Morris,30,19,19,549,6.4,15.0,0.425,2.2,7.2,0.31,4.1,7.7,0.5329999999999999,1.5,1.9,0.818,0.9,5.8,6.7,2.3,1.1,1.1,2.1,4.5,16.5,,101,109
Jerome Robinson,22,42,1,476,4.6,13.5,0.33799999999999997,1.9,6.7,0.284,2.7,6.9,0.391,1.1,1.9,0.579,0.5,5.5,6.0,4.6,1.3,0.8,2.6,5.5,12.1,,87,109
Terance Mann,23,41,6,362,4.8,10.3,0.46799999999999997,0.9,2.6,0.35,3.9,7.7,0.508,2.4,3.5,0.667,1.3,5.9,7.2,6.9,1.4,0.7,2.4,6.0,12.9,,114,109
Reggie Jackson,29,17,6,362,7.6,16.7,0.45299999999999996,3.4,8.2,0.413,4.2,8.5,0.49200000000000005,2.5,2.7,0.905,0.8,5.9,6.7,7.1,0.7,0.5,3.7,5.0,21.0,,111,111
Derrick Walton,24,23,1,222,3.6,7.7,0.47200000000000003,1.9,4.5,0.429,1.7,3.2,0.5329999999999999,1.5,1.9,0.778,0.4,2.8,3.2,4.7,0.9,0.0,0.9,4.0,10.6,,133,113
Amir Coffey,22,18,1,159,6.8,16.1,0.426,1.8,5.6,0.316,5.1,10.4,0.486,1.8,3.3,0.545,1.2,3.6,4.8,4.2,1.5,0.6,2.4,5.9,17.2,,100,110
Mfiondu Kabengele,22,12,0,64,10.3,23.6,0.43799999999999994,6.6,14.8,0.45,3.7,8.9,0.41700000000000004,3.7,3.7,1.0,0.7,7.4,8.1,1.5,1.5,1.5,1.5,6.6,31.0,,119,107
Joakim Noah,34,5,0,50,3.8,7.6,0.5,0.0,0.0,,3.8,7.6,0.5,5.7,7.6,0.75,4.7,10.4,15.1,6.6,0.9,0.9,5.7,8.5,13.2,,107,107
Johnathan Motley,24,13,0,41,12.7,17.3,0.733,1.2,1.2,1.0,11.5,16.1,0.7140000000000001,5.8,8.1,0.7140000000000001,3.5,8.1,11.5,9.2,3.5,0.0,5.8,6.9,32.3,,132,104
