Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1989,14,3233,LAL,Los Angeles Lakers,James Worthy,27,15,15,600,12.8,22.7,0.57,0.3,0.7,0.38,12.6,22.0,0.57,5.3,6.7,0.79,3.1,5.4,8.5,3.5,1.5,1.3,2.8,3.0,31.2,122,111
1989,14,1503,LAL,Los Angeles Lakers,Magic Johnson,29,14,14,518,8.3,16.9,0.49,1.0,3.4,0.29,7.3,13.5,0.54,7.6,8.4,0.91,1.5,6.6,8.1,16.0,2.6,0.3,5.2,2.9,25.1,122,109
1989,14,1098,LAL,Los Angeles Lakers,A.C. Green,25,15,15,502,4.7,11.4,0.41,0.0,0.3,0.0,4.7,11.1,0.42,5.8,7.6,0.76,3.8,9.9,13.7,1.8,1.6,0.6,2.3,3.7,15.2,109,108
1989,14,603,LAL,Los Angeles Lakers,Michael Cooper,32,15,4,414,4.5,10.8,0.42,2.6,6.7,0.38,1.9,4.1,0.47,2.4,2.9,0.83,1.1,3.8,4.9,8.6,1.1,1.0,2.1,4.6,14.0,123,113
1989,14,2581,LAL,Los Angeles Lakers,Byron Scott,27,11,11,402,9.9,20.0,0.49,1.9,4.9,0.38,8.0,15.2,0.53,5.8,6.9,0.84,1.3,4.4,5.6,3.1,2.3,0.3,2.5,3.9,27.4,118,111
1989,14,2872,LAL,Los Angeles Lakers,Mychal Thompson,34,15,0,377,8.7,17.1,0.51,0.0,0.0,,8.7,17.1,0.51,5.5,8.0,0.68,5.2,5.1,10.3,1.5,0.8,1.6,1.9,6.9,22.8,118,112
1989,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,41,15,15,351,9.8,21.1,0.46,0.0,0.0,,9.8,21.1,0.46,4.4,6.2,0.72,1.9,6.6,8.5,2.7,0.7,1.6,3.2,6.2,23.9,101,112
1989,14,3229,LAL,Los Angeles Lakers,Orlando Woolridge,29,15,0,276,7.1,13.7,0.52,0.0,0.0,,7.1,13.7,0.52,8.0,11.3,0.71,3.6,9.1,12.8,3.1,0.4,2.7,4.0,6.4,22.3,112,109
1989,14,464,LAL,Los Angeles Lakers,Tony Campbell,26,9,1,106,9.0,14.7,0.61,0.9,1.9,0.5,8.1,12.8,0.63,7.6,10.4,0.73,1.9,3.8,5.7,2.8,1.4,0.0,4.3,12.3,26.6,118,113
1989,14,2454,LAL,Los Angeles Lakers,David Rivers,24,6,0,33,6.1,18.3,0.33,0.0,3.1,0.0,6.1,15.3,0.4,10.7,12.2,0.88,1.5,4.6,6.1,9.2,0.0,0.0,6.1,9.2,22.9,98,116
1989,14,1682,LAL,Los Angeles Lakers,Jeff Lamp,29,5,0,14,10.8,21.6,0.5,0.0,0.0,,10.8,21.6,0.5,3.6,7.2,0.5,7.2,3.6,10.8,3.6,0.0,0.0,3.6,10.8,25.2,106,116
1989,14,1953,LAL,Los Angeles Lakers,Mark McNamara,29,3,0,7,7.2,14.4,0.5,0.0,0.0,,7.2,14.4,0.5,7.2,14.4,0.5,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,21.6,112,114
