Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2006,22.0,DET,NBA,PF,26.0,0.0,159.0,8.0,18.8,0.426,0.0,0.0,,8.0,18.8,0.426,4.9,14.6,0.333,4.2,5.6,9.7,1.0,1.4,1.7,3.8,4.9,20.9,,82.0,104.0
2007,23.0,DET,NBA,C,67.0,8.0,943.0,7.6,15.3,0.5,0.0,0.0,,7.6,15.3,0.5,4.2,8.0,0.526,5.1,5.7,10.8,0.8,1.7,3.5,3.1,6.4,19.5,,101.0,102.0
2008,24.0,DET,NBA,C,82.0,7.0,1768.0,7.5,13.9,0.538,0.0,0.0,0.0,7.5,13.8,0.539,5.3,8.4,0.633,5.5,8.0,13.5,1.4,0.7,2.9,2.2,5.7,20.2,,117.0,103.0
2009,25.0,DET,NBA,C,78.0,4.0,1408.0,7.2,12.6,0.575,0.0,0.0,0.0,7.2,12.5,0.577,3.3,6.2,0.532,6.6,6.1,12.7,0.9,1.0,2.5,1.8,6.2,17.8,,120.0,108.0
2010,26.0,DET,NBA,C,76.0,29.0,1550.0,7.4,14.5,0.511,0.0,0.0,0.0,7.4,14.5,0.512,3.1,5.4,0.574,5.6,8.4,14.0,1.4,1.3,1.3,2.4,6.1,17.9,,109.0,110.0
2011,27.0,DET,NBA,PF,57.0,14.0,930.0,5.4,10.9,0.492,0.0,0.0,,5.4,10.9,0.492,3.0,5.7,0.515,3.8,6.2,10.0,1.0,1.4,1.2,2.5,5.3,13.7,,99.0,112.0
2012,28.0,DET,NBA,PF,65.0,42.0,1466.0,6.7,14.1,0.478,0.0,0.1,0.0,6.7,14.0,0.48,2.1,3.9,0.547,4.6,7.6,12.2,1.5,1.2,1.8,2.6,5.5,15.6,,99.0,106.0
2013,29.0,DET,NBA,PF,72.0,71.0,1789.0,6.0,13.5,0.446,0.0,0.0,,6.0,13.5,0.446,2.7,4.3,0.621,4.0,8.1,12.1,1.6,0.9,2.8,2.4,5.1,14.7,,98.0,107.0
2014,30.0,ORL,NBA,PF,34.0,13.0,488.0,4.9,11.0,0.448,0.0,0.0,,4.9,11.0,0.448,1.6,3.3,0.484,2.9,6.1,9.0,0.9,0.8,2.1,1.5,4.9,11.4,,95.0,108.0
2015,31.0,CHO,NBA,PF,61.0,0.0,878.0,4.8,11.3,0.422,0.0,0.0,,4.8,11.3,0.422,2.4,4.2,0.577,5.1,6.9,11.9,1.1,1.1,2.6,1.7,5.6,11.9,,99.0,103.0
