Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1998,31,2851,TOT,Total After Trade,22.0,NBA,PF,54.0,2.0,535.0,5.3,10.9,0.49,0.0,0.0,,5.3,10.9,0.49,4.0,5.2,0.76,4.6,5.6,10.2,1.6,2.1,1.2,4.4,9.4,14.6,,96.0,107.0
1998,2,2851,BOS,Boston Celtics,22.0,NBA,PF,33.0,2.0,368.0,5.7,11.2,0.51,0.0,0.0,,5.7,11.2,0.51,3.6,4.6,0.79,4.5,5.3,9.8,1.8,2.7,1.3,4.6,9.1,15.1,,97.0,105.0
1998,28,2851,TOR,Toronto Raptors,22.0,NBA,PF,21.0,0.0,167.0,4.3,10.2,0.42,0.0,0.0,,4.3,10.2,0.42,4.7,6.5,0.71,5.0,6.2,11.2,1.2,0.9,0.9,4.0,9.9,13.3,,94.0,113.0
1999,28,2851,TOR,Toronto Raptors,23.0,NBA,C,39.0,11.0,593.0,6.5,11.2,0.58,0.0,0.1,0.0,6.5,11.1,0.58,2.5,4.4,0.56,5.9,6.3,12.2,1.4,1.6,0.8,1.9,7.5,15.4,,118.0,105.0
2005,18,2851,MIN,Minnesota Timberwolves,29.0,NBA,C,44.0,8.0,521.0,4.3,8.9,0.49,0.0,0.0,,4.3,8.9,0.49,2.8,4.8,0.59,4.0,6.0,10.0,1.8,1.6,1.3,1.9,8.5,11.5,,108.0,107.0
2006,31,2851,TOT,Total After Trade,30.0,NBA,C,16.0,0.0,127.0,2.5,6.3,0.4,0.0,0.0,,2.5,6.3,0.4,1.3,1.7,0.75,4.2,4.2,8.5,0.8,1.3,0.8,3.4,7.2,6.3,,81.0,109.0
2006,15,2851,MEM,Memphis Grizzlies,30.0,NBA,C,3.0,0.0,25.0,4.5,4.5,1.0,0.0,0.0,,4.5,4.5,1.0,0.0,0.0,,0.0,0.0,0.0,2.2,0.0,2.2,4.5,6.7,8.9,,88.0,109.0
2006,1,2851,ATL,Atlanta Hawks,30.0,NBA,C,11.0,0.0,66.0,2.4,5.6,0.43,0.0,0.0,,2.4,5.6,0.43,2.4,3.2,0.75,2.4,5.6,8.0,0.8,1.6,0.0,3.2,8.0,7.2,,85.0,113.0
2006,3,2851,NJN,New Jersey Nets,30.0,NBA,C,2.0,0.0,36.0,1.5,8.9,0.17,0.0,0.0,,1.5,8.9,0.17,0.0,0.0,,10.4,4.5,14.8,0.0,1.5,1.5,3.0,5.9,3.0,,72.0,103.0
