Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1994,24.0,NJN,NBA,C,79.0,1950.0,12.2,0.48,0.015,0.378,10.0,16.8,13.3,6.7,1.8,3.0,13.3,11.7,,1.4,2.8,4.2,0.105,,-1.5,1.5,0.1,1.0
1995,25.0,NJN,NBA,C,80.0,2466.0,12.1,0.492,0.042,0.363,7.9,13.7,10.8,8.6,1.5,3.8,10.8,13.2,,1.7,2.9,4.6,0.09,,-2.0,1.6,-0.5,0.9
1996,26.0,NJN,NBA,C,81.0,2942.0,12.6,0.5,0.019,0.332,7.9,13.2,10.5,9.3,1.4,2.6,12.7,15.6,,2.0,3.3,5.3,0.087,,-1.3,0.7,-0.5,1.1
1997,27.0,MIA,NBA,PF,80.0,2592.0,13.8,0.505,0.003,0.335,11.1,19.4,15.3,5.9,1.8,2.9,13.1,15.7,,2.1,5.4,7.5,0.139,,-1.5,1.6,0.1,1.3
1998,28.0,MIA,NBA,PF,74.0,2362.0,15.0,0.522,0.0,0.334,12.1,19.2,15.8,7.2,1.5,3.0,12.5,15.3,,3.5,4.0,7.5,0.152,,-0.2,1.0,0.8,1.7
1999,29.0,MIA,NBA,PF,50.0,1611.0,15.8,0.527,0.0,0.306,9.3,16.2,13.0,7.7,1.6,2.2,11.3,18.7,,2.6,2.6,5.1,0.153,,0.1,0.8,0.8,1.2
2001,31.0,CHH,NBA,C,80.0,2811.0,13.3,0.518,0.007,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,,3.4,4.7,8.0,0.137,,-1.3,0.9,-0.4,1.1
2002,32.0,CHH,NBA,C,80.0,2563.0,15.1,0.545,0.0,0.374,12.2,22.8,17.5,6.6,1.2,2.2,12.2,12.4,,4.6,3.6,8.2,0.154,,0.1,0.2,0.3,1.5
2003,33.0,NOH,NBA,PF,78.0,2609.0,17.6,0.592,0.005,0.386,10.7,20.7,15.6,9.2,1.4,2.2,12.2,14.0,,6.4,3.8,10.2,0.188,,1.6,1.0,2.5,3.0
2004,34.0,NOH,NBA,PF,80.0,2753.0,15.7,0.527,0.001,0.26,9.6,19.3,14.3,9.8,1.5,2.0,11.3,14.8,,4.7,3.4,8.1,0.142,,0.3,0.4,0.7,1.9
2005,35.0,NOH,NBA,PF,82.0,2817.0,15.5,0.512,0.0,0.321,10.7,20.6,15.5,11.2,1.4,1.4,10.5,15.9,,4.0,2.9,6.9,0.118,,0.1,0.1,0.2,1.5
2006,36.0,NOK,NBA,C,75.0,2380.0,12.7,0.515,0.0,0.288,8.9,18.8,13.7,6.3,1.0,1.7,12.0,14.7,,2.1,2.3,4.4,0.088,,-1.3,-0.2,-1.5,0.3
2007,37.0,CHI,NBA,PF,72.0,1456.0,9.7,0.462,0.005,0.292,10.2,17.0,13.6,5.0,0.8,2.8,15.3,17.0,,-0.4,2.7,2.3,0.075,,-4.0,0.7,-3.3,-0.5
2008,38.0,BOS,NBA,PF,18.0,209.0,10.2,0.406,0.024,0.39,17.6,21.0,19.4,6.9,1.3,3.1,17.2,12.9,,0.0,0.5,0.5,0.116,,-3.5,0.9,-2.7,0.0
