Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,20.0,OKC,NBA,PF,6.0,0.0,153.0,20.0,35.0,0.571,0.0,0.0,,20.0,35.0,0.571,0.571,7.0,10.0,0.7,13.0,26.0,39.0,2.0,2.0,12.0,6.0,19.0,47.0
2011,21.0,OKC,NBA,PF,17.0,17.0,490.0,67.0,145.0,0.462,0.0,1.0,0.0,67.0,144.0,0.465,0.462,33.0,40.0,0.825,47.0,77.0,124.0,3.0,4.0,52.0,21.0,64.0,167.0
2012,22.0,OKC,NBA,PF,20.0,20.0,569.0,84.0,159.0,0.528,1.0,4.0,0.25,83.0,155.0,0.535,0.531,26.0,36.0,0.722,47.0,68.0,115.0,12.0,11.0,59.0,11.0,57.0,195.0
2013,23.0,OKC,NBA,PF,11.0,11.0,366.0,59.0,135.0,0.437,4.0,9.0,0.444,55.0,126.0,0.437,0.452,19.0,24.0,0.792,39.0,53.0,92.0,8.0,0.0,33.0,7.0,38.0,141.0
2014,24.0,OKC,NBA,PF,17.0,17.0,581.0,87.0,147.0,0.592,5.0,13.0,0.385,82.0,134.0,0.612,0.609,26.0,34.0,0.765,31.0,85.0,116.0,12.0,11.0,42.0,20.0,54.0,205.0
2016,26.0,OKC,NBA,PF,18.0,18.0,602.0,85.0,163.0,0.521,31.0,69.0,0.449,54.0,94.0,0.574,0.617,15.0,20.0,0.75,23.0,90.0,113.0,10.0,14.0,24.0,9.0,51.0,216.0
2017,27.0,TOR,NBA,PF,10.0,10.0,307.0,60.0,130.0,0.462,12.0,38.0,0.316,48.0,92.0,0.522,0.508,11.0,13.0,0.846,9.0,56.0,65.0,14.0,4.0,17.0,11.0,37.0,143.0
2018,28.0,TOR,NBA,PF,10.0,9.0,260.0,30.0,72.0,0.417,9.0,24.0,0.375,21.0,48.0,0.438,0.479,18.0,22.0,0.818,13.0,46.0,59.0,11.0,1.0,13.0,16.0,21.0,87.0
2019,29.0,TOR,NBA,C,24.0,0.0,500.0,92.0,193.0,0.477,9.0,38.0,0.237,83.0,155.0,0.535,0.5,32.0,42.0,0.762,35.0,108.0,143.0,22.0,11.0,23.0,25.0,79.0,225.0
2020,30.0,TOR,NBA,C,11.0,0.0,251.0,63.0,110.0,0.573,23.0,45.0,0.511,40.0,65.0,0.615,0.677,14.0,14.0,1.0,17.0,68.0,85.0,13.0,2.0,14.0,12.0,27.0,163.0
