Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2005,22.0,CHA,NBA,PF,73.0,73.0,2600.0,9.0,20.1,0.447,0.0,0.0,0.0,9.0,20.0,0.447,4.2,6.9,0.609,5.5,10.4,15.9,1.3,1.2,2.5,2.5,4.3,22.1,,100.0,105.0
2006,23.0,CHA,NBA,PF,26.0,25.0,874.0,7.7,18.6,0.415,0.0,0.0,,7.7,18.6,0.415,4.8,7.3,0.656,5.5,9.8,15.3,1.8,1.3,2.9,3.1,5.2,20.2,,96.0,104.0
2007,24.0,CHA,NBA,C,67.0,65.0,2329.0,8.8,16.6,0.532,0.0,0.0,,8.8,16.6,0.532,3.9,6.6,0.593,5.8,11.2,17.0,1.8,1.3,3.9,2.5,4.7,21.6,,111.0,102.0
2008,25.0,CHA,NBA,C,82.0,82.0,2718.0,8.8,16.5,0.535,0.0,0.0,,8.8,16.5,0.535,4.1,7.2,0.57,4.9,11.9,16.8,1.3,1.2,2.7,3.2,4.6,21.8,,106.0,105.0
2009,26.0,CHA,NBA,C,82.0,81.0,2691.0,8.7,15.6,0.561,0.0,0.0,,8.7,15.6,0.561,4.4,7.5,0.593,5.6,11.1,16.7,1.1,1.0,2.7,2.9,5.0,21.9,,112.0,103.0
2010,27.0,NOH,NBA,C,82.0,82.0,2370.0,7.6,14.3,0.53,0.0,0.0,,7.6,14.3,0.53,3.4,6.0,0.562,5.5,10.7,16.2,1.2,1.2,2.8,2.4,4.8,18.6,,110.0,106.0
2011,28.0,NOH,NBA,C,72.0,72.0,2287.0,7.1,12.4,0.573,0.0,0.0,0.0,7.1,12.4,0.574,3.4,6.1,0.562,5.4,10.7,16.2,1.0,0.9,3.0,2.8,5.4,17.6,,111.0,102.0
2012,29.0,NOH,NBA,C,27.0,27.0,781.0,7.9,14.9,0.533,0.0,0.0,,7.9,14.9,0.533,2.6,5.1,0.514,4.9,10.0,14.8,1.7,1.1,1.8,2.6,5.1,18.5,,105.0,103.0
2013,30.0,WAS,NBA,C,79.0,77.0,2052.0,8.3,17.4,0.477,0.0,0.0,,8.3,17.4,0.477,2.8,4.8,0.571,5.1,12.5,17.6,2.4,1.1,2.0,2.7,3.7,19.4,,100.0,99.0
2018,35.0,NOP,NBA,C,26.0,19.0,353.0,6.5,12.8,0.505,0.0,0.0,,6.5,12.8,0.505,2.4,3.0,0.818,6.4,9.9,16.2,1.1,1.1,3.4,1.8,4.1,15.4,,116.0,105.0
