PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Karl Malone,30,16,16,703,12.5,26.7,0.467,0.0,0.3,0.0,12.5,26.4,0.473,9.3,12.7,0.738,4.1,11.5,15.7,4.3,1.8,1.0,2.7,4.7,34.3,,113,101
John Stockton,31,16,16,597,8.2,18.0,0.456,0.4,2.2,0.16699999999999998,7.8,15.7,0.49700000000000005,4.7,5.9,0.81,1.3,3.5,4.8,14.6,2.5,0.7,3.7,4.1,21.5,,112,106
Jeff Hornacek,30,16,16,558,8.5,17.8,0.475,1.5,3.4,0.441,7.0,14.4,0.483,6.2,6.8,0.912,1.1,2.8,3.9,6.4,2.4,0.6,2.8,4.5,24.6,,118,107
Felton Spencer,26,16,16,492,5.3,11.9,0.44799999999999995,0.0,0.0,,5.3,11.9,0.44799999999999995,3.7,5.6,0.66,6.9,8.4,15.3,0.8,0.3,2.3,2.7,8.2,14.4,,104,105
Tyrone Corbin,31,16,11,413,5.5,14.3,0.387,0.5,1.6,0.33299999999999996,5.0,12.7,0.39399999999999996,1.9,2.0,0.9329999999999999,3.4,7.3,10.6,2.0,2.8,0.4,1.5,4.2,13.5,,99,103
David Benoit,25,16,5,357,7.5,19.0,0.39299999999999996,0.5,2.5,0.188,7.0,16.5,0.425,2.5,3.9,0.64,3.6,6.9,10.4,1.6,1.1,1.7,2.5,4.8,17.9,,91,106
Jay Humphries,31,16,0,356,7.2,16.9,0.426,1.1,3.4,0.318,6.1,13.4,0.45299999999999996,3.0,4.4,0.679,1.2,4.5,5.8,6.1,2.0,0.3,2.5,7.0,18.4,,102,107
Tom Chambers,34,16,0,325,6.0,16.6,0.361,0.0,1.2,0.0,6.0,15.4,0.389,3.9,5.0,0.7929999999999999,2.7,5.0,7.7,2.1,0.9,1.5,1.4,8.6,15.9,,96,108
John Crotty,24,8,0,38,5.9,16.1,0.364,2.9,2.9,1.0,2.9,13.2,0.222,2.9,2.9,1.0,0.0,4.4,4.4,13.2,1.5,0.0,1.5,8.8,17.6,,121,108
Bryon Russell,23,6,0,36,6.2,15.4,0.4,3.1,4.6,0.667,3.1,10.8,0.28600000000000003,9.3,9.3,1.0,6.2,7.7,13.9,4.6,0.0,0.0,1.5,4.6,24.7,,140,109
Stephen Howard,23,10,0,27,6.2,22.6,0.273,0.0,0.0,,6.2,22.6,0.273,16.5,22.6,0.727,6.2,14.4,20.6,0.0,0.0,0.0,4.1,22.6,28.8,,95,102
Walter Bond,24,4,0,13,0.0,8.6,0.0,0.0,4.3,0.0,0.0,4.3,0.0,4.3,8.6,0.5,0.0,4.3,4.3,0.0,4.3,0.0,0.0,17.1,4.3,,44,102
