PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Andrew Wiggins,19,82,2969,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,,2.1,0.0,2.1,0.034,,-0.4,-2.0,-2.4,-0.3
Gorgui Dieng,25,73,2193,17.2,0.573,0.012,0.47700000000000004,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15.0,,3.4,1.5,4.9,0.10800000000000001,,-0.1,0.3,0.2,1.2
Zach LaVine,19,77,1902,11.3,0.515,0.247,0.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,,-0.7,0.0,-0.7,-0.018000000000000002,,-2.2,-2.5,-4.6,-1.3
Thaddeus Young,26,48,1605,15.0,0.491,0.10099999999999999,0.201,5.2,12.5,8.7,14.7,2.7,0.8,9.7,21.2,,0.8,0.6,1.4,0.043,,-0.4,-0.1,-0.5,0.6
Kevin Martin,31,39,1302,16.7,0.5489999999999999,0.306,0.309,1.6,11.1,6.2,12.5,1.3,0.1,9.7,26.6,,2.0,-0.1,1.9,0.069,,1.7,-2.4,-0.7,0.4
Chase Budinger,26,67,1286,12.2,0.537,0.36700000000000005,0.20800000000000002,2.8,15.1,8.8,8.0,1.7,0.6,10.3,16.3,,1.1,0.2,1.3,0.049,,-0.5,-1.3,-1.8,0.0
Mo Williams,32,41,1149,14.4,0.511,0.38,0.21,1.3,8.7,4.9,38.0,1.3,0.5,17.3,22.7,,0.9,-0.2,0.7,0.031,,0.8,-3.0,-2.2,-0.1
Anthony Bennett,21,57,894,11.4,0.45799999999999996,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,,-0.1,0.4,0.3,0.017,,-2.5,-1.4,-3.9,-0.4
Shabazz Muhammad,22,38,866,19.9,0.556,0.128,0.365,8.1,12.4,10.2,9.6,1.1,0.6,7.1,25.3,,2.1,-0.1,2.0,0.11,,3.5,-2.7,0.7,0.6
Nikola Peković,29,31,815,16.6,0.502,0.0,0.39299999999999996,12.1,21.0,16.4,5.7,1.2,1.2,9.8,23.1,,0.9,0.2,1.2,0.069,,0.3,-2.3,-2.0,0.0
Robbie Hummel,25,45,742,9.7,0.536,0.297,0.16899999999999998,4.6,16.4,10.3,5.6,1.1,1.0,8.9,12.1,,0.7,0.1,0.8,0.05,,-2.7,-1.4,-4.1,-0.4
Adreian Payne,23,29,720,7.8,0.44799999999999995,0.038,0.207,7.2,18.2,12.5,6.6,1.3,1.0,15.9,16.9,,-0.6,0.2,-0.5,-0.033,,-4.9,-2.0,-6.8,-0.9
Ricky Rubio,24,22,692,15.2,0.452,0.233,0.324,3.0,18.1,10.3,43.5,2.8,0.1,20.4,20.0,,0.1,0.4,0.5,0.033,,-0.3,0.2,-0.1,0.3
Corey Brewer,28,24,680,13.8,0.484,0.182,0.34700000000000003,5.2,10.8,7.9,18.6,4.0,0.5,16.2,20.1,,0.0,0.4,0.4,0.027999999999999997,,-1.9,1.1,-0.8,0.2
Lorenzo Brown,24,29,549,11.0,0.46799999999999997,0.23,0.156,2.8,12.0,7.3,24.9,2.6,0.9,18.7,12.9,,0.1,0.2,0.3,0.025,,-2.8,0.3,-2.5,-0.1
Justin Hamilton,24,17,423,18.0,0.586,0.106,0.354,8.7,14.8,11.6,9.2,2.3,4.6,12.1,15.5,,0.8,0.3,1.1,0.125,,0.6,0.2,0.7,0.3
Gary Neal,30,11,262,15.1,0.544,0.295,0.314,0.0,15.8,7.6,13.1,1.4,0.0,7.7,21.8,,0.4,0.0,0.4,0.08,,0.2,-0.7,-0.5,0.1
Jeff Adrien,28,17,215,14.2,0.494,0.0,0.8640000000000001,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,,0.2,0.2,0.4,0.087,,-1.9,-0.6,-2.4,0.0
Troy Daniels,23,19,154,7.4,0.44299999999999995,0.6609999999999999,0.034,4.3,10.0,7.1,13.4,1.0,0.0,11.8,19.4,,-0.1,0.0,-0.1,-0.038,,-2.6,-3.2,-5.8,-0.1
Glenn Robinson,21,25,108,8.2,0.467,0.25,0.667,4.1,10.9,7.4,4.1,1.4,0.0,8.8,13.9,,0.0,0.0,0.0,0.009000000000000001,,-3.2,-2.2,-5.4,-0.1
Kevin Garnett,38,5,98,19.3,0.58,0.032,0.129,2.3,28.9,15.2,14.3,2.6,3.2,3.0,15.2,,0.2,0.1,0.3,0.161,,0.8,3.5,4.3,0.2
Sean Kilpatrick,25,4,72,10.0,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0.0,8.4,14.6,,0.1,0.0,0.1,0.033,,-1.4,-0.9,-2.2,0.0
Arinze Onuaku,27,6,68,22.8,0.7709999999999999,0.0,0.5710000000000001,11.4,24.3,17.7,10.2,0.7,3.5,10.2,12.7,,0.2,0.0,0.3,0.19699999999999998,,2.8,-1.4,1.4,0.1
Miroslav Raduljica,27,5,23,3.3,0.45,0.0,0.25,9.7,15.4,12.4,0.0,2.2,0.0,18.4,20.9,,0.0,0.0,0.0,-0.057,,-11.8,-3.2,-15.0,-0.1
Ronny Turiaf,32,2,19,4.3,,,,0.0,6.2,3.0,14.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.009000000000000001,,-1.3,-1.8,-3.2,0.0
