Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1980,2,BOS,Boston Celtics,61,21,.744,—,113.5,105.7,7.37
1980,23,PHI,Philadelphia 76Ers,59,23,.720,2.0,109.1,104.9,4.04
1980,30,WSB,Washington Bullets,39,43,.476,22.0,107.0,109.5,-2.27
1980,20,NYK,New York Knicks,39,43,.476,22.0,114.0,115.1,-0.96
1980,3,NJN,New Jersey Nets,34,48,.415,27.0,108.3,109.5,-0.98
1980,1,ATL,Atlanta Hawks,50,32,.610,—,104.5,101.6,2.83
1980,11,HOU,Houston Rockets,41,41,.500,9.0,110.8,110.6,0.27
1980,27,SAS,San Antonio Spurs,41,41,.500,9.0,119.4,119.7,-0.24
1980,12,IND,Indiana Pacers,37,45,.451,13.0,111.2,111.9,-0.54
1980,6,CLE,Cleveland Cavaliers,37,45,.451,13.0,114.1,113.8,0.43
1980,9,DET,Detroit Pistons,16,66,.195,34.0,108.9,117.2,-7.57
