SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,8,DEN,Jamal Murray,22,19,19,753,8.9,17.6,0.5,3.0,6.5,0.45,5.9,11.0,0.54,3.3,3.7,0.9,1.0,3.4,4.4,6.0,0.9,0.3,2.5,2.0,24.1
2020,8,DEN,Nikola Jokic,24,19,19,694,9.2,17.8,0.52,2.2,5.1,0.43,7.1,12.7,0.56,3.4,4.1,0.84,1.9,7.8,9.7,5.7,1.0,0.8,3.2,3.5,24.1
2020,8,DEN,Jerami Grant,25,19,16,653,3.9,9.6,0.41,1.7,5.2,0.33,2.2,4.4,0.5,2.6,3.0,0.89,0.4,3.0,3.5,1.4,0.6,0.8,1.4,3.3,12.2
2020,8,DEN,Paul Millsap,34,19,19,459,3.7,9.3,0.4,1.2,3.5,0.34,2.5,5.8,0.43,3.4,4.2,0.8,2.0,4.9,7.0,1.8,0.9,0.7,2.0,3.8,11.9
2020,8,DEN,Michael Porter,21,19,3,451,6.2,13.1,0.48,2.7,7.1,0.38,3.5,6.0,0.59,2.1,2.8,0.74,1.7,8.5,10.1,1.3,1.0,0.5,2.0,3.4,17.2
2020,8,DEN,Monte Morris,24,19,4,406,5.9,11.8,0.5,1.1,3.5,0.3,4.8,8.2,0.58,2.5,3.0,0.82,0.4,2.2,2.6,4.6,1.1,0.2,0.9,1.8,15.3
2020,8,DEN,Gary Harris,25,14,12,379,3.2,8.5,0.38,1.8,4.9,0.36,1.4,3.6,0.4,1.6,2.1,0.77,0.7,2.0,2.7,2.3,1.5,0.4,2.0,4.3,9.9
2020,8,DEN,Torrey Craig,29,19,3,375,3.2,7.5,0.42,1.1,4.0,0.26,2.1,3.5,0.61,0.9,1.2,0.69,1.2,4.7,6.0,1.2,0.7,0.7,0.9,4.2,8.3
2020,8,DEN,Mason Plumlee,29,19,0,206,3.3,6.8,0.49,0.0,0.2,0.0,3.3,6.6,0.5,1.4,2.1,0.67,5.4,5.2,10.7,4.4,0.7,1.4,1.9,7.0,8.0
2020,8,DEN,PJ Dozier,23,12,0,125,4.0,9.5,0.42,0.6,2.3,0.25,3.5,7.2,0.48,2.3,4.0,0.57,0.6,4.6,5.2,3.5,0.6,0.6,2.3,3.7,10.9
2020,8,DEN,Troy Daniels,28,6,0,30,7.2,14.4,0.5,3.6,7.2,0.5,3.6,7.2,0.5,1.2,2.4,0.5,1.2,2.4,3.6,2.4,0.0,0.0,0.0,2.4,19.2
2020,8,DEN,Keita Bates-Diop,24,5,0,24,1.5,7.5,0.2,0.0,0.0,,1.5,7.5,0.2,1.5,3.0,0.5,4.5,4.5,9.0,1.5,0.0,0.0,0.0,0.0,4.5
2020,8,DEN,Bol Bol,20,4,0,21,8.6,15.4,0.56,3.4,5.1,0.67,5.1,10.3,0.5,12.0,13.7,0.88,5.1,3.4,8.6,0.0,3.4,3.4,3.4,1.7,32.6
2020,8,DEN,Tyler Cook,22,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,8,DEN,Noah Vonleh,24,1,0,3,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
