Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998,15,2274,VAN,Vancouver Grizzlies,Anthony Peeler,28,8,8,25.3,4.4,9.0,0.49,0.6,2.4,0.26,3.8,6.6,0.57,0.52,0.5,0.8,0.67,0.8,1.8,2.5,2.9,1.1,0.0,0.8,2.0,9.9
1998,15,663,VAN,Vancouver Grizzlies,Antonio Daniels,22,74,50,26.4,3.1,7.4,0.42,0.1,0.7,0.21,2.9,6.7,0.44,0.43,1.5,2.3,0.66,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1.2,7.8
1998,15,827,VAN,Vancouver Grizzlies,Blue Edwards,32,81,20,24.3,4.0,9.2,0.44,0.5,1.5,0.33,3.5,7.7,0.46,0.47,2.2,2.7,0.84,0.8,1.9,2.7,2.5,1.1,0.3,1.7,2.3,10.8
1998,15,1371,VAN,Vancouver Grizzlies,Bobby Hurley,26,27,0,17.0,1.7,4.6,0.37,0.0,0.3,0.14,1.7,4.3,0.39,0.38,1.1,1.4,0.74,0.2,0.9,1.1,3.6,0.4,0.0,1.6,1.6,4.5
1998,15,2417,VAN,Vancouver Grizzlies,Bryant Reeves,24,74,74,34.1,6.6,12.7,0.52,0.0,0.1,0.0,6.6,12.7,0.52,0.52,3.0,4.3,0.71,2.6,5.3,7.9,2.1,0.5,1.1,2.1,3.8,16.3
1998,15,2468,VAN,Vancouver Grizzlies,Chris Robinson,23,16,0,8.9,1.4,3.9,0.36,0.4,1.5,0.29,1.0,2.4,0.41,0.42,0.1,0.1,0.5,0.0,0.8,0.8,0.6,0.4,0.1,0.9,1.3,3.4
1998,15,1791,VAN,Vancouver Grizzlies,George Lynch,27,82,0,18.2,3.0,6.3,0.48,0.1,0.4,0.3,2.9,5.9,0.49,0.49,1.4,1.9,0.7,1.8,2.6,4.4,1.5,0.8,0.5,1.3,2.0,7.5
1998,15,2133,VAN,Vancouver Grizzlies,Ivano Newbill,27,28,2,8.9,0.7,2.0,0.35,0.0,0.0,1.0,0.7,2.0,0.34,0.36,0.6,1.1,0.57,0.9,1.6,2.5,0.3,0.4,0.1,0.6,1.4,2.1
1998,15,2482,VAN,Vancouver Grizzlies,Larry Robinson,30,6,0,6.8,1.0,3.2,0.32,0.5,1.0,0.5,0.5,2.2,0.23,0.4,0.3,0.3,1.0,0.3,1.7,2.0,0.2,0.7,0.0,0.3,0.0,2.8
1998,15,1882,VAN,Vancouver Grizzlies,Lee Mayberry,27,79,32,23.2,1.7,4.4,0.38,0.8,2.3,0.35,0.9,2.1,0.4,0.47,0.5,0.6,0.74,0.2,1.2,1.4,4.4,0.8,0.1,1.4,2.1,4.6
1998,15,2693,VAN,Vancouver Grizzlies,Michael Smith,25,30,29,23.5,2.2,4.4,0.5,0.0,0.0,0.0,2.2,4.4,0.51,0.5,1.6,2.4,0.66,2.8,4.0,6.9,2.0,0.9,0.2,1.2,2.0,6.1
1998,15,2881,VAN,Vancouver Grizzlies,Otis Thorpe,35,47,46,33.5,4.4,9.1,0.48,0.0,0.1,0.0,4.4,9.1,0.48,0.48,2.5,3.6,0.69,2.1,5.8,7.9,3.4,0.6,0.5,2.4,3.4,11.2
1998,15,526,VAN,Vancouver Grizzlies,Pete Chilcutt,29,82,0,17.3,1.9,4.4,0.44,0.7,1.6,0.42,1.2,2.8,0.44,0.51,0.5,0.7,0.66,0.9,2.8,3.7,1.3,0.6,0.5,0.8,1.9,4.9
1998,15,1799,VAN,Vancouver Grizzlies,Sam Mack,27,57,54,24.8,3.9,9.8,0.4,1.9,4.7,0.41,2.0,5.1,0.39,0.5,1.1,1.4,0.8,0.5,1.8,2.3,1.8,0.7,0.2,1.2,2.1,10.8
1998,15,5,VAN,Vancouver Grizzlies,Shareef Abdur-Rahim,21,82,82,36.0,8.0,16.4,0.48,0.3,0.6,0.41,7.7,15.8,0.49,0.49,6.1,7.8,0.78,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
1998,15,1868,VAN,Vancouver Grizzlies,Tony Massenburg,30,61,13,14.7,2.4,5.1,0.48,0.0,0.0,,2.4,5.1,0.48,0.48,1.6,2.2,0.73,1.3,2.5,3.8,0.3,0.4,0.4,1.0,2.0,6.5
