Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1989,22.0,LAC,NBA,PF,26.0,18.0,950.0,177.0,358.0,0.494,1.0,5.0,0.2,176.0,353.0,0.499,0.496,79.0,103.0,0.767,70.0,101.0,171.0,81.0,44.0,25.0,93.0,89.0,434.0,,0.0
1990,23.0,LAC,NBA,PF,71.0,42.0,2269.0,440.0,826.0,0.533,0.0,5.0,0.0,440.0,821.0,0.536,0.533,274.0,370.0,0.741,142.0,280.0,422.0,187.0,91.0,39.0,188.0,261.0,1154.0,,0.0
1991,24.0,LAC,NBA,PF,73.0,47.0,2197.0,470.0,905.0,0.519,0.0,3.0,0.0,470.0,902.0,0.521,0.519,219.0,306.0,0.716,169.0,257.0,426.0,196.0,117.0,62.0,188.0,281.0,1159.0,,0.0
1992,25.0,LAC,NBA,PF,82.0,82.0,2904.0,650.0,1199.0,0.542,0.0,5.0,0.0,650.0,1194.0,0.544,0.542,279.0,385.0,0.725,229.0,335.0,564.0,285.0,135.0,122.0,210.0,293.0,1579.0,,0.0
1993,26.0,LAC,NBA,PF,79.0,77.0,2761.0,702.0,1379.0,0.509,8.0,30.0,0.267,694.0,1349.0,0.514,0.512,388.0,484.0,0.802,198.0,322.0,520.0,207.0,108.0,101.0,230.0,323.0,1800.0,,0.0
1994,27.0,TOT,NBA,PF,68.0,66.0,2520.0,586.0,1201.0,0.488,3.0,17.0,0.176,583.0,1184.0,0.492,0.489,228.0,341.0,0.669,131.0,334.0,465.0,261.0,99.0,82.0,233.0,260.0,1403.0,,1.0
1994,27.0,LAC,NBA,PF,42.0,41.0,1595.0,409.0,829.0,0.493,2.0,14.0,0.143,407.0,815.0,0.499,0.495,174.0,258.0,0.674,82.0,214.0,296.0,176.0,53.0,57.0,147.0,167.0,994.0,,1.0
1994,27.0,ATL,NBA,PF,26.0,25.0,925.0,177.0,372.0,0.476,1.0,3.0,0.333,176.0,369.0,0.477,0.477,54.0,83.0,0.651,49.0,120.0,169.0,85.0,46.0,25.0,86.0,93.0,409.0,,0.0
1995,28.0,PHO,NBA,PF,46.0,19.0,1510.0,340.0,622.0,0.547,6.0,21.0,0.286,334.0,601.0,0.556,0.551,136.0,202.0,0.673,97.0,179.0,276.0,154.0,41.0,57.0,121.0,176.0,822.0,,0.0
1996,29.0,PHO,NBA,PF,33.0,4.0,816.0,178.0,388.0,0.459,3.0,14.0,0.214,175.0,374.0,0.468,0.463,82.0,109.0,0.752,30.0,113.0,143.0,65.0,38.0,24.0,77.0,121.0,441.0,,0.0
1997,30.0,PHO,NBA,PF,77.0,17.0,2134.0,426.0,795.0,0.536,7.0,36.0,0.194,419.0,759.0,0.552,0.54,181.0,251.0,0.721,137.0,332.0,469.0,173.0,81.0,74.0,161.0,268.0,1040.0,,0.0
1998,31.0,PHO,NBA,PF,70.0,11.0,1794.0,390.0,756.0,0.516,0.0,7.0,0.0,390.0,749.0,0.521,0.516,167.0,226.0,0.739,110.0,282.0,392.0,139.0,71.0,46.0,100.0,201.0,947.0,,0.0
1999,32.0,PHO,NBA,PF,50.0,5.0,1184.0,187.0,386.0,0.484,1.0,9.0,0.111,186.0,377.0,0.493,0.486,78.0,112.0,0.696,62.0,157.0,219.0,113.0,36.0,38.0,69.0,129.0,453.0,,0.0
2001,34.0,UTA,NBA,PF,82.0,0.0,1305.0,247.0,500.0,0.494,7.0,28.0,0.25,240.0,472.0,0.508,0.501,102.0,140.0,0.729,66.0,148.0,214.0,92.0,47.0,29.0,96.0,219.0,603.0,,0.0
2002,35.0,DAL,NBA,PF,41.0,10.0,552.0,71.0,149.0,0.477,1.0,7.0,0.143,70.0,142.0,0.493,0.48,22.0,33.0,0.667,25.0,83.0,108.0,30.0,21.0,21.0,25.0,80.0,165.0,,0.0
2003,36.0,DET,NBA,PF,13.0,0.0,89.0,13.0,32.0,0.406,3.0,8.0,0.375,10.0,24.0,0.417,0.453,5.0,6.0,0.833,7.0,11.0,18.0,7.0,9.0,3.0,7.0,11.0,34.0,,0.0
