Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1984,21,SEA,Seattle Supersonics,30,Charles Bradley,SG,6-5,215,1959-05-16,US,2,Wyoming
1984,21,SEA,Seattle Supersonics,32,Fred Brown,SG,6-3,182,1948-08-07,US,12,Iowa
1984,21,SEA,Seattle Supersonics,24,Tom Chambers,PF,6-10,220,1959-06-21,US,2,Utah
1984,21,SEA,Seattle Supersonics,10,Steve Hawes,PF,6-9,220,1950-05-26,US,9,Washington
1984,21,SEA,Seattle Supersonics,41,Steve Hayes,C,7-0,205,1955-08-02,US,2,Idaho State University
1984,21,SEA,Seattle Supersonics,34,Clay Johnson,SG,6-4,175,1956-07-18,US,2,Missouri
1984,21,SEA,Seattle Supersonics,51,Reggie King,SF,6-6,225,1957-02-14,US,4,Alabama
1984,21,SEA,Seattle Supersonics,21,Scooter McCray,PF,6-9,215,1960-02-08,US,R,Louisville
1984,21,SEA,Seattle Supersonics,43,Jack Sikma,C,6-11,230,1955-11-14,US,6,Illinois Wesleyan University
1984,21,SEA,Seattle Supersonics,20,Jon Sundvold,PG,6-2,170,1961-07-02,US,R,Missouri
1984,21,SEA,Seattle Supersonics,44,David Thompson,SG,6-4,195,1954-07-13,US,8,NC State
1984,21,SEA,Seattle Supersonics,23,Danny Vranes,SF,6-7,210,1958-10-29,US,2,Utah
1984,21,SEA,Seattle Supersonics,1,Gus Williams,PG,6-2,175,1953-10-10,US,7,USC
1984,21,SEA,Seattle Supersonics,4,Al Wood,SG,6-6,193,1958-06-02,US,2,UNC
