PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ray Allen,29,11,11,436,8.4,17.8,0.474,2.6,6.8,0.37799999999999995,5.9,11.0,0.534,4.6,5.2,0.889,1.0,2.9,3.9,3.6,1.2,0.3,2.8,1.8,24.0
Luke Ridnour,23,11,11,378,4.0,10.2,0.39299999999999996,0.4,1.6,0.235,3.6,8.6,0.42200000000000004,1.8,1.9,0.95,1.0,2.5,3.4,4.5,1.2,0.8,1.7,2.2,10.2
Antonio Daniels,29,11,3,331,4.8,10.2,0.46799999999999997,0.4,1.5,0.28600000000000003,4.4,8.7,0.5,6.5,7.6,0.857,0.4,2.9,3.4,5.3,1.2,0.0,1.2,1.4,16.5
Rashard Lewis,25,8,8,312,5.0,12.2,0.406,0.6,2.9,0.2,4.4,9.3,0.469,5.1,5.8,0.88,1.3,3.7,5.0,1.5,0.3,0.3,1.8,2.9,15.6
Jerome James,29,11,11,295,7.0,13.5,0.514,0.0,0.0,,7.0,13.5,0.514,2.8,3.7,0.767,4.0,5.1,9.2,0.6,0.7,2.4,1.7,5.9,16.7
Nick Collison,24,11,0,218,6.1,10.1,0.607,0.2,0.2,1.0,5.9,9.9,0.6,2.8,4.5,0.63,3.6,5.4,9.1,0.8,0.5,0.8,1.0,6.6,15.2
Reggie Evans,24,11,11,208,2.6,6.4,0.405,0.0,0.0,,2.6,6.4,0.405,1.9,3.6,0.524,4.7,9.3,14.0,0.9,0.9,0.5,1.9,5.5,7.1
Damien Wilkins,25,7,0,136,4.2,9.5,0.444,0.8,2.9,0.273,3.4,6.6,0.52,1.1,2.4,0.444,2.4,2.4,4.8,0.8,2.6,0.3,2.1,4.5,10.3
Vladimir Radmanović,24,6,0,122,3.8,10.3,0.371,1.5,6.2,0.23800000000000002,2.4,4.1,0.5710000000000001,0.3,0.6,0.5,0.3,5.0,5.3,0.9,1.2,0.9,1.8,2.7,9.4
Danny Fortson,28,11,0,105,4.1,7.2,0.5710000000000001,0.0,0.0,,4.1,7.2,0.5710000000000001,4.1,5.1,0.8,1.7,7.2,8.9,0.0,1.0,0.3,4.5,14.4,12.3
Ronald Murray,25,4,0,62,2.3,11.0,0.21100000000000002,0.0,1.2,0.0,2.3,9.9,0.235,2.3,4.1,0.5710000000000001,1.2,2.3,3.5,2.9,0.0,1.2,1.2,4.6,7.0
Vitaly Potapenko,29,5,0,37,4.9,9.7,0.5,0.0,0.0,,4.9,9.7,0.5,0.0,0.0,,2.9,3.9,6.8,0.0,0.0,0.0,0.0,7.8,9.7
