Season,Team ID,Team ABV,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NJN,NYK,PHI,PHO,POR,SAS,SDC,SEA,UTA,WSB
1983,1,ATL,Atlanta Hawks,,1-5,5-1,6-0,1-1,1-1,3-3,0-2,2-0,6-0,0-2,0-2,1-4,2-4,3-2,2-4,1-1,1-1,0-2,1-1,1-1,2-0,4-2
1983,2,BOS,Boston Celtics,5-1,,3-2,5-1,2-0,2-0,3-3,1-1,2-0,4-1,1-1,2-0,3-3,5-1,3-3,3-3,2-0,1-1,2-0,1-1,1-1,2-0,3-3
1983,5,CHI,Chicago Bulls,1-5,2-3,,5-1,1-1,1-1,2-4,2-0,1-1,4-2,0-2,0-2,1-5,2-4,1-4,1-5,0-2,1-1,0-2,1-1,0-2,1-1,1-5
1983,6,CLE,Cleveland Cavaliers,0-6,1-5,1-5,,2-0,0-2,1-5,2-0,2-0,5-1,1-1,0-2,1-5,0-6,1-5,0-5,0-2,1-1,0-2,1-1,1-1,0-2,3-2
1983,7,DAL,Dallas Mavericks,1-1,0-2,1-1,0-2,,3-3,2-0,3-2,5-1,2-0,3-3,2-3,0-2,0-2,0-2,0-2,2-3,3-2,2-4,5-0,2-3,2-4,0-2
1983,8,DEN,Denver Nuggets,1-1,0-2,1-1,2-0,3-3,,2-0,4-1,5-1,1-1,3-3,1-4,2-0,1-1,0-2,0-2,4-1,2-3,2-4,3-2,3-2,4-2,1-1
1983,9,DET,Detroit Pistons,3-3,3-3,4-2,5-1,0-2,0-2,,2-0,2-0,4-2,0-2,0-2,3-3,3-2,1-5,0-6,1-1,1-1,1-1,1-1,0-2,0-2,3-2
1983,10,GSW,Golden State Warriors,2-0,1-1,0-2,0-2,2-3,1-4,0-2,,3-2,1-1,1-4,1-5,1-1,0-2,1-1,0-2,2-4,2-4,1-4,3-3,3-3,3-2,2-0
1983,11,HOU,Houston Rockets,0-2,0-2,1-1,0-2,1-5,1-5,0-2,2-3,,2-0,1-5,0-5,0-2,1-1,0-2,0-2,0-5,0-5,1-5,2-3,1-4,0-6,1-1
1983,12,IND,Indiana Pacers,0-6,1-4,2-4,1-5,0-2,1-1,2-4,1-1,0-2,,1-1,0-2,1-5,0-6,3-3,1-4,1-1,0-2,0-2,1-1,1-1,2-0,1-5
1983,26,KCK,Kansas City Kings,2-0,1-1,2-0,1-1,3-3,3-3,2-0,4-1,5-1,1-1,,1-4,1-1,1-1,1-1,0-2,1-4,2-3,3-3,4-1,1-4,4-2,2-0
1983,14,LAL,Los Angeles Lakers,2-0,0-2,2-0,2-0,3-2,4-1,2-0,5-1,5-0,2-0,4-1,,2-0,1-1,2-0,0-2,3-3,3-3,1-4,5-1,5-1,4-1,1-1
1983,17,MIL,Milwaukee Bucks,4-1,3-3,5-1,5-1,2-0,0-2,3-3,1-1,2-0,5-1,1-1,0-2,,3-2,4-2,1-5,1-1,2-0,2-0,2-0,0-2,2-0,3-3
1983,3,NJN,New Jersey Nets,4-2,1-5,4-2,6-0,2-0,1-1,2-3,2-0,1-1,6-0,1-1,1-1,2-3,,4-2,3-3,1-1,1-1,0-2,1-1,2-0,1-1,3-3
1983,20,NYK,New York Knicks,2-3,3-3,4-1,5-1,2-0,2-0,5-1,1-1,2-0,3-3,1-1,0-2,2-4,2-4,,1-5,0-2,1-1,2-0,0-2,1-1,1-1,4-2
1983,23,PHI,Philadelphia 76Ers,4-2,3-3,5-1,5-0,2-0,2-0,6-0,2-0,2-0,4-1,2-0,2-0,5-1,3-3,5-1,,2-0,0-2,1-1,2-0,2-0,2-0,4-2
1983,24,PHO,Phoenix Suns,1-1,0-2,2-0,2-0,3-2,1-4,1-1,4-2,5-0,1-1,4-1,3-3,1-1,1-1,2-0,0-2,,5-1,3-2,4-2,5-1,5-0,0-2
1983,25,POR,Portland Trail Blazers,1-1,1-1,1-1,1-1,2-3,3-2,1-1,4-2,5-0,2-0,3-2,3-3,0-2,1-1,1-1,2-0,1-5,,2-3,5-1,3-3,3-2,1-1
1983,27,SAS,San Antonio Spurs,2-0,0-2,2-0,2-0,4-2,4-2,1-1,4-1,5-1,2-0,3-3,4-1,0-2,2-0,0-2,1-1,2-3,3-2,,4-1,1-4,5-1,2-0
1983,13,SDC,San Diego Clippers,1-1,1-1,1-1,1-1,0-5,2-3,1-1,3-3,3-2,1-1,1-4,1-5,0-2,1-1,2-0,0-2,2-4,1-5,1-4,,0-6,2-3,0-2
1983,21,SEA,Seattle Supersonics,1-1,1-1,2-0,1-1,3-2,2-3,2-0,3-3,4-1,1-1,4-1,1-5,2-0,0-2,1-1,0-2,1-5,3-3,4-1,6-0,,5-0,1-1
1983,29,UTA,Utah Jazz,0-2,0-2,1-1,2-0,4-2,2-4,2-0,2-3,6-0,0-2,2-4,1-4,0-2,1-1,1-1,0-2,0-5,2-3,1-5,3-2,0-5,,0-2
1983,30,WAB,Washington Bullets,2-4,3-3,5-1,2-3,2-0,1-1,2-3,0-2,1-1,5-1,0-2,1-1,3-3,3-3,2-4,2-4,2-0,1-1,0-2,2-0,1-1,2-0,
