Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1984.0,26.0,1634,KCK,Kansas City Kings,Billy Knight,31.0,3.0,37.0,4.6,0.36,0.0,0.08,5.3,3.5,4.5,8.8,0.0,0.0,7.4,29.1,-0.1,0.0,-0.1,-0.14,-4.5,-4.6,-9.1,-0.1
,,2788,,,Dane Suttle,,,,,,,,,,,,,,,,,,,,,,,
1984.0,26.0,2491,KCK,Kansas City Kings,Dave Robisch,34.0,3.0,51.0,3.3,0.35,0.0,0.17,11.4,22.9,16.4,5.2,0.9,0.0,28.0,14.1,-0.1,0.0,-0.1,-0.09,-6.5,-1.6,-8.1,-0.1
1984.0,26.0,435,KCK,Kansas City Kings,Don Buse,33.0,3.0,50.0,14.6,0.56,0.38,0.38,0.0,7.8,3.3,31.7,1.0,1.2,13.9,17.4,0.1,0.0,0.1,0.1,2.1,0.6,2.7,0.1
1984.0,26.0,2121,KCK,Kansas City Kings,Ed Nealy,23.0,2.0,19.0,18.6,1.04,0.0,1.0,10.2,27.3,17.6,14.5,0.0,0.0,25.8,8.2,0.1,0.0,0.1,0.2,3.7,1.6,5.3,0.0
1984.0,26.0,1484,KCK,Kansas City Kings,Eddie Johnson,24.0,3.0,107.0,14.9,0.5,0.1,0.15,3.6,7.3,5.2,17.6,1.4,0.5,3.8,19.9,0.2,0.1,0.2,0.1,2.4,0.4,2.8,0.1
,,1972,,,Joe Meriweather,,,,,,,,,,,,,,,,,,,,,,,
,,1765,,,Kevin Loder,,,,,,,,,,,,,,,,,,,,,,,
1984.0,26.0,2871,KCK,Kansas City Kings,LaSalle Thompson,22.0,3.0,93.0,16.5,0.5,0.0,0.28,11.5,26.5,17.9,6.7,1.6,2.5,10.0,21.5,0.1,0.1,0.2,0.1,-0.2,0.4,0.2,0.1
1984.0,26.0,784,KCK,Kansas City Kings,Larry Drew,25.0,3.0,70.0,6.8,0.42,0.0,0.16,0.0,7.4,3.2,21.4,2.1,0.0,19.7,14.5,-0.1,0.0,0.0,-0.03,-4.7,0.4,-4.3,0.0
1984.0,26.0,1977,KCK,Kansas City Kings,Larry Micheaux,23.0,3.0,65.0,21.4,0.67,0.0,0.56,18.0,18.0,18.0,7.1,0.0,4.4,8.2,15.1,0.2,0.1,0.3,0.21,3.6,0.8,4.4,0.1
1984.0,26.0,2199,KCK,Kansas City Kings,Mark Olberding,27.0,3.0,60.0,9.5,0.47,0.0,0.93,6.5,23.8,13.9,13.6,0.0,0.0,15.9,16.8,0.0,0.0,0.0,0.01,-2.3,-0.5,-2.8,0.0
1984.0,26.0,3228,KCK,Kansas City Kings,Mike Woodson,25.0,3.0,87.0,14.1,0.48,0.02,0.34,4.5,6.0,5.1,16.5,1.1,0.0,5.6,24.7,0.1,0.0,0.1,0.08,0.2,-0.4,-0.2,0.0
1984.0,26.0,2836,KCK,Kansas City Kings,Reggie Theus,26.0,3.0,81.0,14.3,0.45,0.07,0.23,4.8,11.2,7.6,31.7,3.0,0.0,16.0,27.9,-0.1,0.1,0.0,-0.0,-0.7,0.9,0.2,0.0
,,1513,,,Steve Johnson,,,,,,,,,,,,,,,,,,,,,,,
