Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2010,20.0,OKC,NBA,SG,76.0,0.0,1738.0,233.0,578.0,0.403,93.0,248.0,0.375,140.0,330.0,0.424,0.484,194.0,240.0,0.808,47.0,197.0,244.0,137.0,80.0,20.0,106.0,200.0,753.0,,0.0
2011,21.0,OKC,NBA,SG,82.0,5.0,2189.0,298.0,684.0,0.436,113.0,324.0,0.349,185.0,360.0,0.514,0.518,289.0,343.0,0.843,42.0,213.0,255.0,176.0,92.0,24.0,106.0,207.0,998.0,,0.0
2012,22.0,OKC,NBA,SG,62.0,2.0,1946.0,309.0,629.0,0.491,114.0,292.0,0.39,195.0,337.0,0.579,0.582,312.0,369.0,0.846,30.0,222.0,252.0,229.0,62.0,15.0,137.0,150.0,1044.0,,0.0
2013,23.0,HOU,NBA,SG,78.0,78.0,2985.0,585.0,1337.0,0.438,179.0,486.0,0.368,406.0,851.0,0.477,0.504,674.0,792.0,0.851,62.0,317.0,379.0,455.0,142.0,38.0,295.0,178.0,2023.0,,1.0
2014,24.0,HOU,NBA,SG,73.0,73.0,2777.0,549.0,1205.0,0.456,177.0,483.0,0.366,372.0,722.0,0.515,0.529,576.0,665.0,0.866,61.0,283.0,344.0,446.0,115.0,29.0,265.0,177.0,1851.0,,1.0
2015,25.0,HOU,NBA,SG,81.0,81.0,2981.0,647.0,1470.0,0.44,208.0,555.0,0.375,439.0,915.0,0.48,0.511,715.0,824.0,0.868,75.0,384.0,459.0,565.0,154.0,60.0,321.0,208.0,2217.0,,4.0
2016,26.0,HOU,NBA,SG,82.0,82.0,3125.0,710.0,1617.0,0.439,236.0,657.0,0.359,474.0,960.0,0.494,0.512,720.0,837.0,0.86,63.0,438.0,501.0,612.0,139.0,51.0,374.0,229.0,2376.0,,3.0
2017,27.0,HOU,NBA,PG,81.0,81.0,2947.0,674.0,1533.0,0.44,262.0,756.0,0.347,412.0,777.0,0.53,0.525,746.0,881.0,0.847,95.0,564.0,659.0,907.0,121.0,38.0,464.0,215.0,2356.0,,22.0
2018,28.0,HOU,NBA,SG,72.0,72.0,2551.0,651.0,1449.0,0.449,265.0,722.0,0.367,386.0,727.0,0.531,0.541,624.0,727.0,0.858,41.0,348.0,389.0,630.0,126.0,50.0,315.0,169.0,2191.0,,4.0
2019,29.0,HOU,NBA,PG,78.0,78.0,2867.0,843.0,1909.0,0.442,378.0,1028.0,0.368,465.0,881.0,0.528,0.541,754.0,858.0,0.879,66.0,452.0,518.0,586.0,158.0,58.0,387.0,244.0,2818.0,,7.0
2020,30.0,HOU,NBA,SG,68.0,68.0,2483.0,672.0,1514.0,0.444,299.0,843.0,0.355,373.0,671.0,0.556,0.543,692.0,800.0,0.865,70.0,376.0,446.0,512.0,125.0,60.0,308.0,227.0,2335.0,,4.0
2021,31.0,HOU,NBA,SG,8.0,8.0,290.0,60.0,135.0,0.444,25.0,72.0,0.347,35.0,63.0,0.556,0.537,53.0,60.0,0.883,5.0,36.0,41.0,83.0,7.0,6.0,34.0,14.0,198.0,,0.0
