PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Hakeem Olajuwon,33,8,8,329,8.2,16.1,0.51,0.0,0.1,0.0,8.2,16.0,0.514,3.2,4.4,0.725,1.9,6.1,8.0,3.4,1.6,1.9,3.2,3.1,19.6
Robert Horry,25,8,8,308,4.3,10.6,0.40700000000000003,2.5,6.2,0.396,1.9,4.4,0.42100000000000004,1.2,2.7,0.435,1.8,4.9,6.7,2.8,2.5,1.5,1.8,3.4,12.3
Clyde Drexler,33,8,8,292,6.0,14.5,0.415,1.1,4.2,0.265,4.9,10.4,0.47600000000000003,3.2,4.2,0.765,1.8,5.8,7.6,4.9,2.6,0.5,2.5,2.7,16.4
Mario Elie,32,8,0,233,4.5,10.2,0.439,1.4,3.7,0.375,3.1,6.5,0.47600000000000003,1.7,1.9,0.917,0.9,2.5,3.4,2.2,1.1,0.5,0.8,2.6,12.1
Sam Cassell,26,8,0,206,4.5,14.2,0.321,1.4,5.1,0.276,3.1,9.1,0.34600000000000003,4.0,5.1,0.7929999999999999,0.2,2.8,3.0,5.9,1.0,0.2,3.1,3.5,14.5
Kenny Smith,30,8,8,191,4.3,10.0,0.434,2.3,5.8,0.387,2.1,4.1,0.5,2.5,2.5,1.0,0.8,1.5,2.3,7.2,0.9,0.0,1.5,2.6,13.4
Chucky Brown,27,8,8,168,5.4,9.6,0.556,0.0,0.0,,5.4,9.6,0.556,3.2,3.9,0.833,1.3,3.9,5.1,1.1,0.6,0.0,0.9,3.6,13.9
Mark Bryant,30,8,0,145,5.2,8.7,0.6,0.0,0.0,,5.2,8.7,0.6,3.0,3.7,0.8,1.7,5.0,6.7,1.0,0.2,0.5,0.7,5.2,13.4
Sam Mack,25,6,0,47,3.8,11.5,0.33299999999999996,1.5,6.9,0.222,2.3,4.6,0.5,0.0,2.3,0.0,0.0,6.9,6.9,0.8,0.8,0.0,1.5,0.8,9.2
Pete Chilcutt,27,1,0,10,3.6,14.4,0.25,0.0,3.6,0.0,3.6,10.8,0.33299999999999996,0.0,7.2,0.0,7.2,3.6,10.8,0.0,0.0,0.0,3.6,0.0,7.2
Charles Jones,38,3,0,8,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Eldridge Recasner,28,1,0,8,0.0,13.5,0.0,0.0,4.5,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,4.5,4.5,9.0,0.0,0.0,4.5,0.0,0.0
