PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shane Battier,26,80,72,2516,3.9,8.8,0.442,1.0,2.5,0.395,2.9,6.2,0.461,2.6,3.3,0.789,2.3,3.6,5.9,1.8,1.3,1.1,1.1,2.9,11.3
Lorenzen Wright,29,80,77,2287,5.0,10.8,0.469,0.0,0.0,0.0,5.0,10.7,0.47100000000000003,2.1,3.1,0.662,2.8,6.9,9.6,1.4,0.9,1.1,1.6,4.0,12.1
Mike Miller,24,76,51,2278,6.1,12.1,0.505,2.2,5.1,0.433,3.9,7.0,0.5579999999999999,1.7,2.4,0.72,0.6,4.2,4.7,3.5,0.9,0.4,2.0,3.1,16.2
Jason Williams,29,71,68,1952,4.9,11.9,0.413,2.0,6.1,0.324,2.9,5.8,0.506,1.5,1.9,0.792,0.4,1.9,2.3,7.4,1.4,0.1,2.4,1.7,13.3
Earl Watson,25,80,14,1808,4.7,11.0,0.426,1.0,3.2,0.319,3.7,7.8,0.47100000000000003,1.8,2.7,0.659,0.7,2.6,3.3,7.1,1.7,0.4,3.3,3.7,12.2
Pau Gasol,24,56,53,1790,7.2,14.0,0.514,0.0,0.1,0.16699999999999998,7.2,13.9,0.517,5.7,7.4,0.768,2.6,5.6,8.2,2.7,0.7,1.9,2.8,2.9,20.1
Bonzi Wells,28,69,19,1489,6.6,14.9,0.441,0.9,2.5,0.34600000000000003,5.7,12.4,0.46,3.4,4.5,0.75,1.2,4.4,5.5,1.9,2.1,0.7,2.2,4.0,17.4
Brian Cardinal,27,58,16,1433,4.0,10.9,0.37,1.1,3.1,0.35200000000000004,2.9,7.7,0.37799999999999995,4.0,4.5,0.873,1.6,4.1,5.7,2.9,2.2,0.5,2.1,4.3,13.1
James Posey,28,50,18,1382,3.3,9.3,0.35700000000000004,1.4,4.6,0.309,1.9,4.6,0.40399999999999997,2.5,2.9,0.865,1.2,4.5,5.7,2.3,1.3,0.6,1.8,3.5,10.5
Stromile Swift,25,60,14,1279,6.2,13.7,0.449,0.0,0.1,0.0,6.2,13.6,0.452,4.7,6.2,0.758,2.6,5.1,7.7,1.2,1.2,2.6,2.5,5.1,17.0
Dahntay Jones,24,52,7,649,4.6,10.5,0.43700000000000006,1.3,3.3,0.38299999999999995,3.3,7.2,0.462,2.4,3.6,0.688,0.6,3.2,3.8,1.2,0.7,0.6,1.6,4.5,12.9
Ryan Humphrey,25,35,0,317,4.8,11.7,0.408,0.0,0.2,0.0,4.8,11.5,0.41600000000000004,2.0,4.2,0.486,5.7,4.2,9.9,0.7,1.1,0.1,2.6,4.0,11.6
Jake Tsakalidis,25,31,1,278,4.1,8.3,0.5,0.0,0.0,,4.1,8.3,0.5,1.8,2.3,0.778,2.7,4.5,7.3,1.3,0.4,2.1,1.6,5.4,10.1
Antonio Burks,24,24,0,219,4.6,9.9,0.467,0.5,1.8,0.273,4.1,8.1,0.51,2.3,3.1,0.737,0.2,1.8,2.0,4.6,2.1,0.2,2.0,4.1,12.0
Andre Emmett,22,8,0,28,2.6,7.7,0.33299999999999996,0.0,0.0,,2.6,7.7,0.33299999999999996,3.9,6.4,0.6,0.0,2.6,2.6,0.0,0.0,0.0,1.3,5.1,9.0
