PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Anthony Johnson,31,6,6,242,10.3,19.9,0.517,1.8,4.6,0.4,8.5,15.4,0.552,5.0,7.6,0.667,1.8,5.0,6.9,7.1,1.4,0.0,3.2,3.9,27.5,,116,110
Stephen Jackson,27,6,6,227,7.3,20.0,0.366,1.5,6.4,0.231,5.9,13.7,0.429,3.4,4.4,0.778,1.2,5.4,6.6,4.9,1.0,0.2,3.7,5.6,19.5,,89,110
Jermaine O'Neal,27,6,6,216,11.3,21.6,0.524,0.0,0.5,0.0,11.3,21.1,0.537,9.8,13.6,0.7170000000000001,2.3,9.2,11.6,2.6,0.8,3.6,6.7,7.2,32.4,,100,105
Austin Croshere,30,6,2,175,3.8,12.0,0.316,2.9,7.3,0.391,1.0,4.8,0.2,5.1,5.7,0.889,1.6,5.4,7.0,2.2,1.6,0.0,1.9,3.5,15.5,,108,109
Fred Jones,26,6,1,167,5.0,12.0,0.41700000000000004,2.0,5.3,0.375,3.0,6.6,0.45,3.7,4.0,0.917,0.7,6.0,6.6,5.0,2.0,0.3,2.7,4.3,15.6,,109,108
Danny Granger,22,6,3,162,6.2,11.6,0.529,3.1,5.5,0.563,3.1,6.2,0.5,1.4,1.4,1.0,2.4,8.2,10.6,3.4,1.4,2.4,2.4,6.8,16.8,,123,105
Jeff Foster,29,4,4,80,2.8,7.6,0.364,0.0,0.0,,2.8,7.6,0.364,2.1,2.8,0.75,7.6,9.0,16.6,2.1,2.8,0.7,0.0,6.2,7.6,,129,104
Stephen Jackson,29,6,0,66,5.9,16.0,0.368,1.7,7.6,0.222,4.2,8.4,0.5,0.8,1.7,0.5,0.8,4.2,5.0,5.0,0.0,0.8,4.2,5.9,14.3,,81,113
Peja Stojaković,28,2,2,51,8.7,19.6,0.444,0.0,3.3,0.0,8.7,16.3,0.5329999999999999,6.5,7.6,0.857,0.0,9.8,9.8,4.4,1.1,1.1,1.1,4.4,23.9,,111,106
David Harrison,23,6,0,31,5.4,16.1,0.33299999999999996,0.0,0.0,,5.4,16.1,0.33299999999999996,12.5,21.5,0.583,1.8,7.2,8.9,0.0,1.8,1.8,7.2,19.7,23.3,,77,105
Scot Pollard,30,4,0,15,0.0,3.7,0.0,0.0,0.0,,0.0,3.7,0.0,0.0,0.0,,3.7,14.8,18.5,0.0,3.7,0.0,3.7,18.5,0.0,,32,98
Jamaal Tinsley,27,1,0,7,7.9,23.8,0.33299999999999996,0.0,15.8,0.0,7.9,7.9,1.0,0.0,0.0,,0.0,0.0,0.0,7.9,7.9,0.0,7.9,7.9,15.8,,62,99
Eddie Gill,27,2,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0,0.0,,0,117
