Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2012,20.0,UTA,NBA,SG,59.0,939.0,14.0,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,,1.1,0.4,1.5,0.076,,-0.6,-1.4,-2.0,0.0
2013,21.0,UTA,NBA,SG,64.0,1137.0,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13.0,1.6,0.9,14.3,20.7,,0.3,0.7,1.0,0.044,,-1.9,-0.7,-2.6,-0.2
2014,22.0,UTA,NBA,SG,78.0,2193.0,15.8,0.547,0.172,0.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,,2.6,0.6,3.2,0.07,,0.2,-1.0,-0.8,0.7
2015,23.0,UTA,NBA,SG,27.0,899.0,13.0,0.524,0.227,0.43,2.5,12.1,7.3,15.2,1.0,0.4,12.7,20.8,,1.1,0.6,1.7,0.089,,-0.5,-1.2,-1.7,0.1
2016,24.0,UTA,NBA,SG,31.0,797.0,14.3,0.52,0.237,0.422,2.4,13.6,8.0,13.9,1.2,0.4,11.4,25.9,,0.7,0.8,1.5,0.09,,0.2,-0.6,-0.4,0.3
2017,25.0,UTA,NBA,SG,42.0,653.0,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7,,-0.1,0.9,0.8,0.056,,-2.2,0.0,-2.3,0.0
2018,26.0,UTA,NBA,SG,64.0,1059.0,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10.0,1.8,0.6,11.4,22.5,,0.2,1.6,1.9,0.084,,-1.3,0.4,-0.9,0.3
2019,27.0,TOT,NBA,SG,64.0,1375.0,12.7,0.523,0.354,0.297,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.0,,0.7,0.8,1.5,0.052,,-0.6,-0.7,-1.2,0.3
2019,27.0,UTA,NBA,SG,17.0,269.0,12.4,0.547,0.377,0.333,0.8,9.9,5.4,11.2,1.1,1.2,10.3,23.2,,0.2,0.3,0.5,0.084,,-0.4,-0.2,-0.6,0.1
2019,27.0,CLE,NBA,SG,34.0,979.0,13.2,0.517,0.35,0.288,2.8,19.0,10.6,15.0,1.3,1.4,10.7,19.2,,0.6,0.3,0.9,0.042,,-0.2,-1.2,-1.4,0.1
2019,27.0,SAC,NBA,SG,13.0,127.0,9.0,0.495,0.3,0.25,1.6,16.6,8.9,9.5,2.9,0.7,15.3,8.5,,0.0,0.2,0.2,0.062,,-3.9,2.8,-1.1,0.0
2020,28.0,TOT,NBA,"SF,SG",66.0,1754.0,16.7,0.561,0.392,0.345,2.9,14.9,8.7,17.2,1.7,0.9,9.3,23.8,,2.5,1.2,3.7,0.101,,1.2,-0.7,0.5,1.1
2020,28.0,GSW,NBA,SF,48.0,1390.0,16.1,0.552,0.373,0.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,,1.6,0.9,2.5,0.085,,0.7,-0.6,0.1,0.7
2020,28.0,PHI,NBA,SG,18.0,364.0,19.0,0.594,0.461,0.246,3.3,13.7,8.5,16.3,1.6,0.0,7.5,23.7,,0.9,0.4,1.2,0.161,,3.1,-1.1,2.0,0.4
2021,29.0,NYK,NBA,SG,3.0,83.0,26.7,0.76,0.469,0.625,0.0,14.0,7.0,22.5,1.8,2.3,14.6,25.2,,0.4,0.1,0.5,0.288,,7.2,2.1,9.4,0.2
