PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Arron Afflalo,25,69,69,2324,4.8,9.7,0.498,1.6,3.8,0.423,3.2,5.9,0.546,2.1,2.5,0.847,0.7,3.2,3.9,2.6,0.5,0.5,1.1,2.4,13.4
Nenê Hilário,28,75,75,2291,6.3,10.3,0.615,0.0,0.1,0.2,6.3,10.2,0.618,4.5,6.3,0.711,2.3,6.7,9.0,2.3,1.3,1.1,2.1,3.7,17.1
Ty Lawson,23,80,31,2103,5.9,11.8,0.503,1.2,2.9,0.40399999999999997,4.7,8.9,0.536,2.9,3.9,0.764,1.1,2.4,3.6,6.5,1.4,0.1,2.3,2.3,16.0
J.R. Smith,25,79,6,1968,6.2,14.3,0.435,2.3,5.8,0.39,4.0,8.5,0.466,3.0,4.0,0.738,0.8,5.1,5.9,3.2,1.7,0.3,1.8,3.2,17.7
Carmelo Anthony,26,50,50,1774,8.9,19.6,0.452,0.9,2.6,0.33299999999999996,8.0,17.1,0.47,7.0,8.5,0.823,1.6,6.2,7.8,2.8,0.9,0.6,2.9,2.7,25.5
Al Harrington,30,73,3,1665,6.1,14.6,0.41600000000000004,2.5,7.1,0.35700000000000004,3.5,7.5,0.473,1.9,2.5,0.735,1.6,5.5,7.2,2.2,0.8,0.2,2.3,4.4,16.5
Chauncey Billups,34,51,51,1646,5.1,11.7,0.43799999999999994,2.3,5.2,0.441,2.8,6.5,0.436,5.8,6.3,0.9229999999999999,0.3,2.5,2.7,5.9,1.1,0.3,2.8,2.1,18.4
Kenyon Martin,33,48,48,1233,5.4,10.6,0.511,0.1,0.3,0.222,5.3,10.3,0.518,1.2,2.1,0.583,2.0,6.7,8.7,3.2,1.3,1.0,1.7,4.0,12.1
Gary Forbes,25,63,11,791,5.6,12.4,0.45399999999999996,0.9,2.6,0.32799999999999996,4.8,9.8,0.488,2.7,4.0,0.6779999999999999,1.3,4.0,5.3,2.2,1.0,0.3,2.1,3.5,14.8
Chris Andersen,32,45,0,732,4.0,6.7,0.599,0.0,0.0,0.0,4.0,6.7,0.603,4.2,6.6,0.637,3.7,7.1,10.8,1.0,1.1,2.9,1.2,3.9,12.3
Shelden Williams,27,42,32,713,4.1,9.1,0.45299999999999996,0.0,0.0,,4.1,9.1,0.45299999999999996,1.7,2.3,0.7390000000000001,3.7,7.5,11.3,1.0,0.9,1.1,1.9,4.6,10.0
Raymond Felton,26,21,0,663,4.8,11.1,0.431,1.5,3.3,0.45899999999999996,3.3,7.8,0.42,2.0,3.3,0.617,0.4,3.6,4.1,7.4,1.5,0.0,2.4,2.0,13.1
Wilson Chandler,23,21,19,642,5.7,13.5,0.419,1.5,4.2,0.34700000000000003,4.2,9.3,0.452,1.9,2.4,0.81,0.7,5.2,5.9,1.9,0.8,1.3,2.1,2.6,14.7
Danilo Gallinari,22,14,12,433,4.5,10.9,0.41200000000000003,1.7,4.5,0.37,2.8,6.4,0.442,6.5,8.4,0.772,0.9,5.4,6.3,1.8,1.1,0.7,2.1,2.2,17.1
Melvin Ely,32,30,2,366,2.8,5.0,0.5489999999999999,0.0,0.0,,2.8,5.0,0.5489999999999999,1.3,2.1,0.619,2.7,4.6,7.3,1.4,0.4,1.1,1.4,4.9,6.8
Anthony Carter,35,14,0,153,2.4,7.1,0.33299999999999996,0.9,2.8,0.33299999999999996,1.4,4.2,0.33299999999999996,0.5,0.5,1.0,0.0,2.8,2.8,6.1,2.1,0.2,3.3,4.5,6.1
Kosta Koufos,21,11,1,98,7.7,15.4,0.5,0.0,0.0,,7.7,15.4,0.5,4.4,7.0,0.632,5.5,6.6,12.1,0.0,0.7,1.8,2.2,3.3,19.8
Timofey Mozgov,24,11,0,66,6.0,11.5,0.524,0.0,0.0,,6.0,11.5,0.524,3.3,4.4,0.75,2.7,6.5,9.3,0.0,0.5,1.1,1.6,4.4,15.3
Renaldo Balkman,26,5,0,44,4.1,7.4,0.556,0.0,0.0,,4.1,7.4,0.556,2.5,3.3,0.75,0.8,2.5,3.3,1.6,2.5,1.6,0.0,9.0,10.6
