SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2003,15,MEM,Pau Gasol,22,82,82,2948,10.0,19.6,0.51,0.0,0.2,0.1,10.0,19.4,0.51,7.3,9.9,0.74,3.4,9.3,12.6,4.0,0.6,2.6,3.7,3.9,27.3,,110,106
2003,15,MEM,Jason Williams,27,76,76,2407,7.2,18.5,0.39,3.1,8.7,0.35,4.1,9.8,0.42,2.4,2.8,0.84,0.5,4.0,4.6,13.6,2.0,0.2,3.6,2.8,19.8,,108,110
2003,15,MEM,Shane Battier,24,78,47,2383,6.0,12.4,0.48,1.9,4.7,0.4,4.1,7.7,0.54,2.6,3.2,0.83,2.8,4.7,7.5,2.3,2.2,1.9,1.5,4.5,16.4,,120,107
2003,15,MEM,Lorenzen Wright,27,70,49,1982,8.5,18.7,0.45,0.0,0.1,0.0,8.5,18.6,0.46,3.8,5.8,0.66,4.4,9.4,13.8,2.1,1.3,1.4,2.9,5.5,20.8,,99,106
2003,15,MEM,Wesley Person,31,66,44,1941,7.3,16.0,0.46,2.7,6.2,0.43,4.6,9.9,0.47,2.1,2.6,0.81,0.6,4.5,5.1,3.0,1.1,0.5,1.5,1.7,19.4,,112,111
2003,15,MEM,Stromile Swift,23,67,26,1478,8.2,17.1,0.48,0.0,0.1,0.0,8.2,17.1,0.48,6.2,8.6,0.72,4.0,9.5,13.5,1.6,1.9,3.6,3.5,5.3,22.7,,104,103
2003,15,MEM,Earl Watson,23,79,2,1366,6.4,14.8,0.44,1.2,3.5,0.34,5.3,11.4,0.46,2.4,3.3,0.72,1.7,4.5,6.2,8.5,3.4,0.5,3.3,5.2,16.4,,103,106
2003,15,MEM,Drew Gooden,21,51,29,1329,9.9,22.4,0.44,0.5,1.8,0.3,9.4,20.7,0.46,3.6,5.1,0.7,4.1,7.4,11.5,2.5,1.5,0.9,4.1,4.7,24.0,,94,108
2003,15,MEM,Mike Batiste,25,75,2,1248,8.2,19.4,0.42,0.7,3.4,0.22,7.4,16.0,0.46,2.9,3.7,0.78,3.4,7.3,10.7,2.2,1.7,0.7,2.9,5.0,20.0,,96,107
2003,15,MEM,Gordan Giriaek,25,49,35,1187,9.0,20.9,0.43,2.0,5.7,0.35,7.0,15.2,0.46,3.8,4.7,0.82,0.8,3.9,4.7,3.1,1.0,0.3,4.1,4.5,23.9,,95,112
2003,15,MEM,Brevin Knight,27,55,4,928,5.4,12.7,0.42,0.1,0.4,0.25,5.3,12.3,0.43,1.1,2.1,0.54,0.8,3.7,4.5,13.0,3.9,0.1,5.2,6.9,12.1,,90,106
2003,15,MEM,Mike Miller,22,16,13,360,11.1,21.7,0.51,3.2,6.3,0.5,7.9,15.4,0.51,4.2,5.2,0.81,0.9,7.0,7.9,4.5,0.9,0.7,3.7,4.9,29.5,,111,109
2003,15,MEM,Ryan Humphrey,23,13,0,122,5.1,14.9,0.34,0.0,0.0,,5.1,14.9,0.34,2.1,4.7,0.46,1.7,11.0,12.7,1.7,2.1,0.8,0.8,7.6,12.3,,83,103
2003,15,MEM,Michael Dickerson,27,6,1,87,6.0,14.3,0.42,2.4,6.5,0.36,3.6,7.7,0.46,3.0,3.0,1.0,0.6,3.0,3.6,4.8,3.0,0.6,3.6,9.5,17.3,,101,108
2003,15,MEM,Cezary Trybanski,23,15,0,86,3.0,12.0,0.25,0.0,0.0,,3.0,12.0,0.25,2.4,6.0,0.4,3.6,4.8,8.4,0.6,0.0,3.6,4.8,7.8,8.4,,57,110
2003,15,MEM,Robert Archibald,22,12,0,72,4.3,14.4,0.3,0.0,0.0,,4.3,14.4,0.3,5.0,12.9,0.39,4.3,7.9,12.2,2.2,0.0,2.2,5.0,6.5,13.7,,69,109
2003,15,MEM,Chris Owens,23,1,0,6,17.3,25.9,0.67,0.0,0.0,,17.3,25.9,0.67,0.0,0.0,,8.6,0.0,8.6,0.0,0.0,0.0,8.6,0.0,34.5,,95,117
