Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012,26,963,SAC,Sacramento Kings,22.0,NBA,PG,61.0,7.0,1135.0,172.0,446.0,0.39,78.0,216.0,0.36,94.0,230.0,0.41,0.47,40.0,48.0,0.83,17.0,56.0,73.0,108.0,30.0,3.0,67.0,73.0,462.0
2013,26,963,SAC,Sacramento Kings,23.0,NBA,SG,69.0,0.0,967.0,172.0,409.0,0.42,65.0,156.0,0.42,107.0,253.0,0.42,0.5,85.0,99.0,0.86,19.0,52.0,71.0,92.0,31.0,3.0,68.0,64.0,494.0
2014,31,963,TOT,Total After Trade,24.0,NBA,SG,49.0,0.0,519.0,107.0,227.0,0.47,40.0,84.0,0.48,67.0,143.0,0.47,0.56,19.0,21.0,0.9,8.0,44.0,52.0,64.0,14.0,3.0,48.0,35.0,273.0
2014,26,963,SAC,Sacramento Kings,24.0,NBA,SG,41.0,0.0,463.0,94.0,198.0,0.48,36.0,73.0,0.49,58.0,125.0,0.46,0.57,17.0,19.0,0.9,7.0,38.0,45.0,61.0,14.0,3.0,44.0,28.0,241.0
2014,5,963,CHI,Chicago Bulls,24.0,NBA,SG,8.0,0.0,56.0,13.0,29.0,0.45,4.0,11.0,0.36,9.0,18.0,0.5,0.52,2.0,2.0,1.0,1.0,6.0,7.0,3.0,0.0,0.0,4.0,7.0,32.0
2015,19,963,NOP,New Orleans Pelicans,25.0,NBA,PG,50.0,0.0,509.0,63.0,166.0,0.38,9.0,48.0,0.19,54.0,118.0,0.46,0.41,43.0,45.0,0.96,8.0,32.0,40.0,58.0,15.0,2.0,33.0,43.0,178.0
2016,31,963,TOT,Total After Trade,26.0,NBA,SG,6.0,0.0,18.0,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.33,0.5,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0
2016,19,963,NOP,New Orleans Pelicans,26.0,NBA,SG,4.0,0.0,13.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.33,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
2016,20,963,NYK,New York Knicks,26.0,NBA,SG,2.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
2019,24,963,PHO,Phoenix Suns,29.0,NBA,SG,6.0,0.0,65.0,8.0,29.0,0.28,0.0,13.0,0.0,8.0,16.0,0.5,0.28,6.0,6.0,1.0,1.0,6.0,7.0,8.0,3.0,0.0,5.0,5.0,22.0
