PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Karl Malone,24,11,11,494,12.6,26.1,0.48200000000000004,0.0,0.1,0.0,12.6,26.0,0.484,8.3,11.4,0.723,3.4,9.9,13.3,1.7,1.3,0.7,4.0,3.6,33.4,,104,106
John Stockton,25,11,11,478,7.2,14.1,0.507,0.4,1.5,0.28600000000000003,6.8,12.7,0.5329999999999999,7.9,9.6,0.8240000000000001,1.5,3.3,4.8,17.2,3.9,0.3,5.1,3.8,22.7,,121,106
Mark Eaton,31,11,11,461,3.4,7.1,0.47700000000000004,0.0,0.0,,3.4,7.1,0.47700000000000004,2.5,3.9,0.639,3.1,8.2,11.3,1.4,1.3,3.7,1.5,5.3,9.3,,107,105
Thurl Bailey,26,11,0,449,11.1,22.8,0.488,0.0,0.1,0.0,11.1,22.7,0.49,6.4,7.6,0.838,2.4,4.7,7.1,2.0,0.7,2.6,2.4,3.6,28.7,,110,110
Bob Hansen,27,11,11,408,8.3,16.7,0.496,2.4,4.5,0.528,5.9,12.2,0.485,2.0,2.7,0.727,1.0,3.8,4.8,4.0,0.9,0.0,3.3,5.2,20.9,,104,112
Marc Iavaroni,31,11,11,137,5.9,10.7,0.552,0.0,0.0,,5.9,10.7,0.552,4.4,5.2,0.857,1.8,5.2,7.0,5.2,0.7,0.7,2.2,9.6,16.2,,122,111
Bart Kofoed,23,10,0,109,4.2,10.7,0.391,0.5,2.3,0.2,3.7,8.3,0.444,0.9,0.9,1.0,1.4,5.1,6.5,5.1,0.5,0.0,4.2,8.3,9.7,,80,112
Rickey Green,33,7,0,38,2.7,10.6,0.25,0.0,0.0,,2.7,10.6,0.25,0.0,0.0,,0.0,1.3,1.3,12.0,2.7,0.0,4.0,2.7,5.3,,71,111
Melvin Turpin,27,7,0,31,4.9,14.7,0.33299999999999996,0.0,0.0,,4.9,14.7,0.33299999999999996,3.3,3.3,1.0,4.9,4.9,9.8,3.3,1.6,6.5,3.3,8.1,13.0,,90,105
Eddie Hughes,27,7,0,16,6.3,22.1,0.28600000000000003,3.2,9.5,0.33299999999999996,3.2,12.6,0.25,0.0,0.0,,0.0,0.0,0.0,3.2,3.2,0.0,3.2,3.2,15.8,,71,111
Scott Roth,24,6,0,10,5.0,15.1,0.33299999999999996,0.0,0.0,,5.0,15.1,0.33299999999999996,0.0,0.0,,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,10.1,,73,97
Kelly Tripucka,28,2,0,9,5.6,16.8,0.33299999999999996,0.0,0.0,,5.6,16.8,0.33299999999999996,0.0,0.0,,5.6,0.0,5.6,5.6,0.0,0.0,5.6,5.6,11.2,,74,118
