Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2002,21.0,GSW,NBA,SG,80.0,75.0,2629.0,9.0,21.1,0.426,1.6,4.8,0.333,7.4,16.3,0.453,2.7,4.1,0.671,2.4,4.2,6.6,4.6,2.0,0.6,3.1,3.8,22.2,,102.0,110.0
2003,22.0,GSW,NBA,SG,82.0,82.0,2698.0,9.0,21.9,0.41,2.3,6.3,0.368,6.7,15.6,0.427,3.9,5.1,0.764,2.1,5.0,7.1,4.7,1.7,0.4,3.4,3.8,24.2,,105.0,111.0
2004,23.0,GSW,NBA,SG,78.0,78.0,2936.0,10.3,23.4,0.438,1.4,5.0,0.282,8.8,18.4,0.481,4.7,6.9,0.684,2.3,7.3,9.5,4.1,1.6,0.7,3.6,3.3,26.6,,100.0,104.0
2005,24.0,GSW,NBA,SG,72.0,72.0,2724.0,11.5,25.8,0.446,2.4,7.0,0.338,9.2,18.9,0.486,4.0,5.8,0.693,2.4,5.6,8.0,5.3,2.0,0.6,3.2,2.9,29.5,,105.0,107.0
2006,25.0,GSW,NBA,SG,75.0,75.0,2877.0,11.5,25.7,0.446,3.3,8.5,0.384,8.2,17.2,0.477,4.9,7.3,0.673,1.9,6.0,7.8,4.1,1.7,0.7,3.0,3.7,31.1,,107.0,107.0
2007,26.0,GSW,NBA,SG,51.0,49.0,1675.0,8.8,21.2,0.417,3.2,8.7,0.365,5.7,12.5,0.453,2.7,4.0,0.657,2.1,5.4,7.5,5.0,1.6,0.9,2.4,3.7,23.5,,106.0,109.0
2008,27.0,CHA,NBA,SF,82.0,82.0,3149.0,10.8,24.4,0.441,4.0,9.9,0.406,6.7,14.4,0.466,4.1,5.5,0.752,1.3,6.0,7.3,4.3,1.9,0.9,2.8,4.0,29.7,,109.0,109.0
2009,28.0,TOT,NBA,SG,72.0,71.0,2410.0,9.8,20.5,0.477,2.7,6.9,0.397,7.1,13.7,0.518,3.2,4.2,0.769,1.6,5.1,6.7,3.1,1.6,0.6,2.0,3.1,25.6,,115.0,112.0
2009,28.0,CHA,NBA,SG,14.0,14.0,491.0,10.7,24.4,0.441,3.0,6.5,0.458,7.7,17.8,0.435,4.5,6.1,0.745,1.4,5.0,6.4,4.0,1.5,0.3,2.7,4.8,29.0,,107.0,108.0
2009,28.0,PHO,NBA,SG,58.0,57.0,1919.0,9.6,19.7,0.488,2.7,6.9,0.383,6.9,12.7,0.545,2.9,3.8,0.778,1.7,5.1,6.8,2.9,1.6,0.7,1.9,2.7,24.8,,117.0,113.0
2010,29.0,PHO,NBA,SG,79.0,76.0,2485.0,9.6,20.2,0.474,3.2,8.1,0.393,6.4,12.1,0.528,2.8,3.7,0.739,1.6,6.5,8.2,2.9,1.3,0.7,1.9,3.4,25.1,,116.0,111.0
2011,30.0,TOT,NBA,SG,80.0,80.0,2715.0,9.1,20.3,0.447,3.6,9.2,0.395,5.4,11.1,0.49,2.2,3.1,0.73,1.3,5.1,6.3,2.8,1.8,0.2,1.8,3.1,24.0,,110.0,106.0
2011,30.0,PHO,NBA,SG,25.0,25.0,796.0,11.7,24.9,0.47,4.0,9.5,0.419,7.7,15.4,0.502,3.5,4.6,0.764,2.1,5.0,7.1,2.3,1.7,0.2,1.9,2.9,30.9,,112.0,112.0
2011,30.0,ORL,NBA,SG,55.0,55.0,1919.0,7.9,18.3,0.433,3.5,9.1,0.384,4.4,9.2,0.482,1.7,2.4,0.701,0.9,5.1,6.0,3.0,1.8,0.3,1.8,3.2,21.0,,109.0,103.0
2012,31.0,ORL,NBA,SG,54.0,54.0,1591.0,8.2,20.2,0.408,3.5,9.4,0.368,4.8,10.8,0.442,1.4,2.3,0.594,1.2,5.4,6.6,3.6,1.8,0.7,2.0,3.1,21.3,,103.0,105.0
2013,32.0,PHI,NBA,SG,33.0,33.0,936.0,7.6,18.9,0.402,3.2,9.4,0.341,4.4,9.5,0.462,1.1,1.9,0.606,1.1,6.1,7.2,2.9,2.3,0.8,1.5,3.2,19.6,,100.0,105.0
2015,34.0,PHI,NBA,SG,19.0,15.0,416.0,7.5,21.5,0.348,3.7,11.6,0.323,3.7,9.9,0.378,2.0,2.7,0.773,1.6,6.4,8.0,4.6,1.6,0.4,1.9,3.4,20.7,,98.0,107.0
