Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007,23.0,HOU,NBA,SF,35.0,1.0,5.5,0.5,1.4,0.36,0.4,1.1,0.333,0.1,0.3,0.455,0.49,0.1,0.1,1.0,0.1,0.6,0.7,0.2,0.1,0.0,0.1,0.6,1.5
2008,24.0,HOU,NBA,SF,35.0,0.0,7.5,1.4,2.9,0.48,1.0,2.0,0.479,0.4,0.9,0.484,0.647,0.1,0.1,0.75,0.1,0.9,1.0,0.2,0.1,0.1,0.1,0.5,3.9
2009,25.0,LAC,NBA,PF,71.0,3.0,16.4,2.5,5.6,0.444,1.7,4.0,0.416,0.8,1.5,0.518,0.595,0.3,0.3,0.913,0.3,1.5,1.8,0.6,0.3,0.1,0.3,1.0,6.9
2010,26.0,LAC,NBA,SF,54.0,0.0,6.7,0.8,2.0,0.389,0.4,1.3,0.31,0.4,0.7,0.541,0.491,0.1,0.2,0.778,0.0,0.6,0.6,0.1,0.1,0.0,0.0,0.4,2.1
2011,27.0,TOT,NBA,SF,30.0,0.0,7.2,1.2,2.2,0.522,0.9,1.5,0.565,0.3,0.7,0.429,0.716,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.0,0.2,0.1,0.5,3.5
2011,27.0,DAL,NBA,SF,7.0,0.0,2.6,0.6,1.1,0.5,0.4,0.6,0.75,0.1,0.6,0.25,0.688,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.4,1.6
2011,27.0,SAS,NBA,SF,23.0,0.0,8.6,1.3,2.6,0.525,1.0,1.8,0.548,0.3,0.7,0.471,0.72,0.3,0.3,1.0,0.2,0.8,1.0,0.1,0.0,0.2,0.2,0.5,4.0
2012,28.0,NYK,NBA,PF,54.0,0.0,18.9,3.0,6.2,0.478,2.5,5.2,0.472,0.5,1.0,0.509,0.675,0.4,0.5,0.846,0.2,1.8,1.9,0.2,0.3,0.2,0.4,1.1,8.8
2013,29.0,NYK,NBA,SF,81.0,1.0,20.3,2.2,5.3,0.414,1.8,4.3,0.425,0.4,1.0,0.367,0.587,0.4,0.4,0.909,0.2,1.7,1.9,0.4,0.3,0.1,0.1,1.2,6.6
2014,30.0,TOR,NBA,PF,54.0,1.0,10.0,1.1,2.7,0.411,1.0,2.3,0.426,0.1,0.4,0.333,0.589,0.1,0.1,1.0,0.1,0.9,1.1,0.2,0.2,0.1,0.1,0.8,3.3
2015,31.0,TOT,NBA,"PF,SF",35.0,0.0,5.6,0.6,1.6,0.393,0.5,1.4,0.396,0.1,0.2,0.375,0.563,0.0,0.1,0.0,0.1,0.6,0.6,0.3,0.0,0.1,0.1,0.7,1.8
2015,31.0,UTA,NBA,SF,22.0,0.0,5.0,0.7,1.6,0.457,0.7,1.5,0.485,0.0,0.1,0.0,0.686,0.0,0.1,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.1,0.6,2.2
2015,31.0,OKC,NBA,PF,13.0,0.0,6.8,0.5,1.6,0.286,0.2,1.2,0.2,0.2,0.5,0.5,0.357,0.0,0.0,,0.1,0.4,0.5,0.4,0.0,0.1,0.2,0.8,1.2
2016,32.0,TOT,NBA,PF,10.0,0.0,4.4,0.8,1.8,0.444,0.7,1.5,0.467,0.1,0.3,0.333,0.639,0.1,0.1,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.3,2.4
2016,32.0,OKC,NBA,PF,7.0,0.0,3.4,0.9,1.7,0.5,0.7,1.3,0.556,0.1,0.4,0.333,0.708,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.1,0.1,2.4
2016,32.0,MIL,NBA,PF,3.0,0.0,6.7,0.7,2.0,0.333,0.7,2.0,0.333,0.0,0.0,,0.5,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,2.3
2017,33.0,MIL,NBA,PF,8.0,0.0,2.8,0.3,0.9,0.286,0.1,0.8,0.167,0.1,0.1,1.0,0.357,0.0,0.0,,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.6
