Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2016,1,198,ATL,Atlanta Hawks,24,Kent Bazemore,SF,6-4,195,1989-07-01,US,3,Old Dominion
2016,1,1184,ATL,Atlanta Hawks,10,Tim Hardaway,SG,6-5,205,1992-03-16,US,2,Michigan
2016,1,1299,ATL,Atlanta Hawks,12,Kirk Hinrich,PG,6-4,190,1981-01-02,US,12,Kansas
2016,1,1312,ATL,Atlanta Hawks,7,Justin Holiday,SG,6-6,180,1989-04-05,US,2,Washington
2016,1,1328,ATL,Atlanta Hawks,15,Al Horford,C,6-9,240,1986-06-03,DO,8,Florida
2016,1,1364,ATL,Atlanta Hawks,43,Kris Humphries,PF,6-9,235,1985-02-06,US,11,Minnesota
2016,1,1654,ATL,Atlanta Hawks,26,Kyle Korver,SG,6-7,212,1981-03-17,US,12,Creighton
2016,1,1804,ATL,Atlanta Hawks,8,Shelvin Mack,PG,6-3,203,1990-04-22,US,4,Butler
2016,1,2007,ATL,Atlanta Hawks,4,Paul Millsap,PF,6-7,257,1985-02-10,US,9,Louisiana Tech
2016,1,2100,ATL,Atlanta Hawks,31,Mike Muscala,C,6-10,240,1991-07-01,US,2,Bucknell
2016,1,2262,ATL,Atlanta Hawks,13,Lamar Patterson,SG,6-5,225,1991-08-12,US,R,Pitt
2016,1,2583,ATL,Atlanta Hawks,17,Dennis Schroder,PG,6-3,172,1993-09-15,DE,2,
2016,1,2592,ATL,Atlanta Hawks,32,Mike Scott,PF,6-7,237,1988-07-16,US,3,Virginia
2016,1,2597,ATL,Atlanta Hawks,25,Thabo Sefolosha,SF,6-6,215,1984-05-02,CH,9,
2016,1,2736,ATL,Atlanta Hawks,11,Tiago Splitter,C,6-11,245,1985-01-01,BR,5,
2016,1,2814,ATL,Atlanta Hawks,22,Edy Tavares,C,7-3,260,1992-03-22,CV,R,
2016,1,2830,ATL,Atlanta Hawks,0,Jeff Teague,PG,6-3,195,1988-06-10,US,6,Wake Forest
