Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2016,5,144,CHI,Chicago Bulls,41,Cameron Bairstow,C,6-9,250,1990-12-07,AU,1,New Mexico
2016,5,361,CHI,Chicago Bulls,0,Aaron Brooks,PG,6-0,161,1985-01-14,US,7,Oregon
2016,5,439,CHI,Chicago Bulls,21,Jimmy Butler,SG,6-7,230,1989-09-14,US,4,Marquette
2016,5,804,CHI,Chicago Bulls,34,Mike Dunleavy Jr.,SF,6-9,230,1980-09-15,US,13,Duke
2016,5,902,CHI,Chicago Bulls,6,Cristiano Felicio,C,6-11,270,1992-07-07,BR,R,
2016,5,1010,CHI,Chicago Bulls,16,Pau Gasol,C,7-0,250,1980-07-06,ES,14,
2016,5,1031,CHI,Chicago Bulls,22,Taj Gibson,PF,6-9,232,1985-06-24,US,6,USC
2016,5,1299,CHI,Chicago Bulls,12,Kirk Hinrich,PG,6-4,190,1981-01-02,US,12,Kansas
2016,5,1312,CHI,Chicago Bulls,7,Justin Holiday,SG,6-6,180,1989-04-05,US,2,Washington
2016,5,1926,CHI,Chicago Bulls,3,Doug McDermott,SF,6-7,225,1992-01-03,US,1,Creighton
2016,5,2013,CHI,Chicago Bulls,44,Nikola Mirotic,PF,6-10,250,1991-02-11,ME,1,
2016,5,2042,CHI,Chicago Bulls,55,E'Twaun Moore,SG,6-3,191,1989-02-25,US,4,Purdue
2016,5,2153,CHI,Chicago Bulls,13,Joakim Noah,C,6-11,230,1985-02-25,US,8,Florida
2016,5,2349,CHI,Chicago Bulls,5,Bobby Portis,PF,6-10,250,1995-02-10,US,R,Arkansas
2016,5,2512,CHI,Chicago Bulls,1,Derrick Rose,PG,6-2,200,1988-10-04,US,6,Memphis
2016,5,2719,CHI,Chicago Bulls,20,Tony Snell,SF,6-6,213,1991-11-10,US,2,New Mexico
