Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,22.0,MIA,NBA,SG,3.0,3.0,100.0,9.3,17.6,0.529,3.6,5.7,0.636,5.7,11.9,0.478,2.6,3.1,0.833,1.6,1.6,3.1,7.8,2.1,0.5,1.6,1.0,24.8,,136.0,128.0
1994,24.0,MIA,NBA,SG,5.0,5.0,192.0,9.2,22.3,0.413,2.5,6.1,0.409,6.7,16.2,0.414,5.8,7.0,0.84,4.7,3.6,8.4,3.1,1.1,0.6,2.8,3.3,26.7,,114.0,111.0
1995,25.0,ATL,NBA,SG,3.0,3.0,108.0,8.6,21.8,0.395,3.5,9.1,0.389,5.1,12.6,0.4,8.1,9.6,0.842,0.5,3.5,4.0,3.0,3.0,0.5,1.5,7.1,28.8,,118.0,113.0
1996,26.0,ATL,NBA,SG,10.0,10.0,421.0,10.1,22.9,0.439,3.4,8.2,0.41,6.7,14.7,0.455,5.6,7.0,0.808,2.0,3.5,5.5,4.3,1.7,1.7,2.1,4.2,29.1,,118.0,115.0
1997,27.0,ATL,NBA,SG,10.0,10.0,421.0,7.4,18.8,0.396,2.4,7.4,0.327,5.0,11.3,0.44,8.2,10.0,0.824,1.6,3.6,5.3,2.3,0.5,0.1,3.8,5.1,25.5,,107.0,114.0
1998,28.0,ATL,NBA,SG,4.0,4.0,160.0,14.0,24.4,0.574,3.6,7.2,0.5,10.4,17.2,0.604,3.9,5.7,0.688,0.7,3.2,3.9,3.2,0.7,1.1,1.8,6.1,35.5,,131.0,106.0
1999,29.0,ATL,NBA,SG,9.0,9.0,356.0,8.9,25.2,0.353,1.5,5.4,0.273,7.4,19.7,0.375,6.4,7.1,0.907,2.3,2.8,5.1,4.9,2.3,0.3,3.5,5.3,25.7,,97.0,104.0
2001,31.0,POR,NBA,SG,3.0,3.0,122.0,6.9,14.6,0.471,1.7,4.7,0.364,5.2,9.9,0.522,6.5,6.9,0.938,2.2,3.4,5.6,3.0,0.9,0.4,4.3,1.3,21.9,,108.0,118.0
2002,32.0,SAS,NBA,SG,10.0,10.0,298.0,6.0,16.3,0.368,1.9,7.1,0.263,4.1,9.2,0.449,5.4,5.6,0.967,2.6,3.8,6.4,3.2,1.5,0.2,1.3,3.8,19.3,,114.0,106.0
2003,33.0,SAS,NBA,SG,9.0,0.0,66.0,4.0,19.2,0.208,1.6,9.6,0.167,2.4,9.6,0.25,3.2,3.2,1.0,0.8,4.8,5.6,4.8,0.8,0.0,1.6,2.4,12.8,,77.0,103.0
2004,34.0,NOH,NBA,SG,5.0,0.0,46.0,14.4,31.1,0.462,7.2,13.2,0.545,7.2,18.0,0.4,2.4,3.6,0.667,2.4,7.2,9.6,1.2,0.0,0.0,3.6,6.0,38.3,,104.0,100.0
2005,35.0,MIA,NBA,SG,3.0,0.0,8.0,0.0,13.3,0.0,0.0,0.0,,0.0,13.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,112.0
