Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,3,2469,NJN,New Jersey Nets,19.0,NBA,PF,70.0,1661.0,17.0,0.51,0.0,0.29,10.8,20.7,15.8,9.3,1.7,1.1,12.7,25.0,1.1,2.5,3.6,0.1,0.2,-0.8,-0.6,0.6
1981,3,2469,NJN,New Jersey Nets,20.0,NBA,PF,63.0,1822.0,17.9,0.52,0.0,0.23,7.3,22.9,14.9,9.8,1.5,1.6,13.4,29.5,0.4,2.1,2.5,0.06,0.0,-0.9,-0.9,0.5
1982,31,2469,TOT,Total After Trade,21.0,NBA,PF,68.0,2175.0,18.3,0.49,0.0,0.27,8.6,23.5,15.8,8.5,1.9,2.7,10.4,26.9,0.7,2.8,3.5,0.08,0.3,-0.2,0.1,1.1
1982,26,2469,KCK,Kansas City Kings,21.0,NBA,PF,38.0,1229.0,18.5,0.49,0.0,0.25,7.4,22.4,14.7,9.0,1.8,2.8,9.8,29.0,0.1,1.8,1.9,0.07,0.2,-0.3,0.0,0.6
1982,6,2469,CLE,Cleveland Cavaliers,21.0,NBA,PF,30.0,946.0,18.1,0.5,0.0,0.31,10.2,24.9,17.1,7.9,2.1,2.6,11.3,24.2,0.5,1.0,1.6,0.08,0.4,-0.2,0.2,0.5
1983,6,2469,CLE,Cleveland Cavaliers,22.0,NBA,PF,77.0,2601.0,17.5,0.51,0.0,0.24,8.1,29.9,18.7,9.3,1.2,1.3,14.1,25.6,1.2,3.2,4.4,0.08,0.1,-0.4,-0.3,1.1
1984,6,2469,CLE,Cleveland Cavaliers,23.0,NBA,C,73.0,2402.0,16.6,0.49,0.0,0.28,7.1,29.3,17.8,12.3,1.0,0.8,12.3,26.4,0.2,2.9,3.1,0.06,0.2,-0.8,-0.6,0.9
1985,30,2469,WSB,Washington Bullets,24.0,NBA,PF,60.0,1870.0,16.4,0.51,0.0,0.24,8.1,24.5,16.1,12.0,1.3,1.4,14.0,25.6,-0.3,3.2,2.9,0.08,-0.9,0.2,-0.7,0.6
1986,30,2469,WSB,Washington Bullets,25.0,NBA,SF,78.0,2563.0,18.3,0.52,0.0,0.28,7.6,21.0,14.4,12.1,1.9,1.0,12.7,26.4,1.5,4.1,5.6,0.1,0.6,0.1,0.7,1.7
1987,23,2469,PHI,Philadelphia 76Ers,26.0,NBA,PF,55.0,1586.0,15.1,0.5,0.0,0.25,6.4,15.6,11.1,9.0,2.7,1.1,13.2,24.7,0.1,2.0,2.1,0.06,-1.3,-0.2,-1.5,0.2
1988,23,2469,PHI,Philadelphia 76Ers,27.0,NBA,SF,62.0,2110.0,15.7,0.5,0.01,0.28,6.4,16.0,11.1,10.7,1.9,1.1,12.1,26.7,0.7,1.8,2.6,0.06,-0.6,-1.0,-1.7,0.2
1989,23,2469,PHI,Philadelphia 76Ers,28.0,NBA,SF,14.0,416.0,14.1,0.51,0.0,0.24,5.1,15.2,10.1,11.5,2.0,0.3,14.1,24.0,0.0,0.3,0.3,0.03,-1.5,-1.4,-2.9,-0.1
1992,14,2469,LAL,Los Angeles Lakers,31.0,NBA,PF,9.0,78.0,14.9,0.48,0.04,0.3,10.1,17.8,13.9,17.4,3.3,0.0,18.7,21.0,0.0,0.1,0.1,0.05,-0.7,0.7,0.1,0.0
