PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Blake Griffin,23,80,2598,22.4,0.5720000000000001,0.026000000000000002,0.397,8.7,21.5,15.2,19.9,2.0,1.6,12.8,25.4,,6.8,3.9,10.6,0.196,,3.2,0.8,4.1,4.0
Chris Paul,27,70,2335,26.4,0.594,0.271,0.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,,10.6,3.4,13.9,0.287,,6.4,2.4,8.8,6.4
Jamal Crawford,32,76,2230,16.8,0.5579999999999999,0.39,0.244,1.2,5.6,3.4,14.4,1.9,0.5,11.5,26.0,,3.7,1.7,5.4,0.11599999999999999,,2.3,-1.3,1.0,1.7
Matt Barnes,32,80,2058,15.5,0.5660000000000001,0.48100000000000004,0.17300000000000001,6.5,14.5,10.6,9.2,2.1,2.6,11.0,18.1,,3.5,2.8,6.3,0.146,,1.1,0.7,1.8,2.0
DeAndre Jordan,24,82,2010,17.2,0.606,0.0,0.51,12.7,22.4,17.6,2.2,1.3,4.7,14.3,15.9,,3.0,3.2,6.2,0.14800000000000002,,-0.1,-0.2,-0.2,0.9
Caron Butler,32,78,1879,12.4,0.535,0.45799999999999996,0.125,2.6,11.4,7.1,6.5,1.4,0.5,8.7,20.2,,1.9,1.6,3.6,0.091,,-0.1,-1.2,-1.3,0.3
Lamar Odom,33,82,1616,10.9,0.429,0.24600000000000002,0.115,8.8,26.3,17.7,12.4,2.2,3.0,18.3,13.3,,-0.3,3.0,2.7,0.081,,-2.8,2.1,-0.7,0.6
Eric Bledsoe,23,76,1553,17.5,0.513,0.13699999999999998,0.23600000000000002,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,,1.1,2.6,3.7,0.115,,1.3,2.2,3.5,2.2
Willie Green,31,72,1188,11.8,0.562,0.43,0.083,1.7,7.9,4.9,7.1,1.3,0.8,7.2,16.6,,1.7,0.9,2.5,0.10300000000000001,,-0.2,-0.7,-0.8,0.3
Ronny Turiaf,30,65,701,9.4,0.485,0.0,0.649,7.8,17.9,12.9,6.8,1.4,4.2,18.9,10.0,,0.1,1.0,1.1,0.075,,-3.2,1.5,-1.7,0.1
Ryan Hollins,28,60,663,11.3,0.674,0.0,0.772,9.1,15.7,12.5,2.4,0.5,4.3,22.4,13.6,,1.0,0.8,1.7,0.125,,-4.0,0.2,-3.9,-0.3
Grant Hill,40,29,437,4.8,0.428,0.11199999999999999,0.245,1.7,11.5,6.7,8.3,1.3,1.3,18.7,14.0,,-0.5,0.4,-0.1,-0.013999999999999999,,-5.3,-0.3,-5.6,-0.4
Chauncey Billups,36,22,418,15.0,0.601,0.682,0.364,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,,1.0,0.3,1.3,0.146,,1.6,-1.1,0.5,0.3
Maalik Wayns,21,6,37,19.5,0.563,0.375,0.25,0.0,6.3,3.2,30.9,4.3,0.0,10.1,24.4,,0.1,0.1,0.2,0.22699999999999998,,-1.4,2.2,0.9,0.0
DaJuan Summers,25,2,7,4.3,0.25,0.0,0.0,0.0,33.5,17.0,21.7,0.0,0.0,0.0,26.1,,0.0,0.0,0.0,-0.124,,-6.3,-2.6,-8.9,0.0
