PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Jrue Holiday,22,78,2926,16.7,0.496,0.192,0.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,,0.6,2.7,3.3,0.055,,1.2,-0.7,0.5,1.9
Evan Turner,24,82,2892,12.1,0.478,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,,-0.7,2.9,2.1,0.035,,-2.2,-0.2,-2.3,-0.3
Thaddeus Young,24,76,2629,18.2,0.541,0.008,0.196,7.6,17.2,12.3,8.2,2.7,1.6,8.0,19.8,,3.7,3.7,7.4,0.136,,0.2,1.0,1.2,2.1
Spencer Hawes,24,82,2233,16.0,0.514,0.107,0.19399999999999998,8.5,21.7,14.9,13.5,0.6,3.9,13.0,20.9,,1.7,2.8,4.5,0.096,,-1.1,0.6,-0.5,0.9
Dorell Wright,27,79,1783,16.0,0.551,0.603,0.235,2.6,17.0,9.6,13.1,1.8,1.5,8.8,18.7,,2.8,2.1,4.9,0.132,,1.9,0.6,2.6,2.1
Lavoy Allen,23,79,1669,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,,0.9,1.6,2.5,0.07200000000000001,,-3.0,-0.3,-3.3,-0.6
Nick Young,27,59,1411,13.3,0.525,0.387,0.23600000000000002,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,,1.4,1.0,2.3,0.079,,-0.1,-0.6,-0.7,0.5
Damien Wilkins,33,61,1095,12.5,0.5329999999999999,0.161,0.345,3.2,7.8,5.4,12.9,1.8,1.3,11.9,17.4,,1.0,0.9,1.9,0.083,,-2.3,0.1,-2.2,-0.1
Jason Richardson,32,33,936,12.6,0.495,0.49700000000000005,0.098,2.2,13.4,7.7,8.6,2.3,1.2,6.9,18.5,,0.3,1.1,1.4,0.07,,-0.9,0.5,-0.5,0.4
Royal Ivey,31,53,698,8.1,0.563,0.611,0.111,2.5,6.8,4.6,6.7,1.7,0.3,11.7,11.3,,0.5,0.5,1.0,0.066,,-3.4,0.6,-2.8,-0.1
Arnett Moultrie,22,47,542,16.7,0.595,0.0,0.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,,1.1,0.6,1.7,0.149,,0.0,-1.2,-1.2,0.1
Kwame Brown,30,22,269,8.8,0.452,0.0,0.514,9.4,22.1,15.5,4.7,1.2,2.9,15.0,9.1,,0.0,0.4,0.4,0.071,,-4.9,0.0,-4.9,-0.2
Jeremy Pargo,26,14,208,8.4,0.478,0.27,0.33299999999999996,0.5,8.9,4.6,20.4,0.3,0.0,15.3,18.9,,0.0,0.1,0.0,0.006,,-3.0,-1.5,-4.4,-0.1
Maalik Wayns,21,21,165,1.8,0.35600000000000004,0.34700000000000003,0.20800000000000002,0.7,2.8,1.7,18.4,1.0,0.0,14.2,25.6,,-0.6,0.1,-0.5,-0.147,,-8.2,-4.1,-12.4,-0.4
Charles Jenkins,23,12,150,8.6,0.377,0.0,0.105,2.2,6.2,4.1,15.7,2.1,0.5,4.8,12.8,,0.0,0.1,0.1,0.021,,-4.2,0.2,-4.0,-0.1
Justin Holiday,23,9,142,7.6,0.408,0.33299999999999996,0.16699999999999998,0.0,11.5,5.6,16.0,1.1,3.3,14.9,19.6,,-0.3,0.1,-0.1,-0.042,,-4.4,-0.6,-5.0,-0.1
Shelvin Mack,22,4,7,-6.4,0.5,0.5,0.0,0.0,0.0,0.0,22.6,0.0,0.0,50.0,26.3,,-0.1,0.0,-0.1,-0.348,,-13.8,-4.1,-17.9,0.0
