PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Kemba Walker,22,82,2859,18.8,0.517,0.267,0.298,2.3,9.2,5.7,31.2,2.9,0.9,12.4,25.6,,3.7,1.1,4.8,0.08,,2.2,-0.8,1.4,2.4
Bismack Biyombo,20,80,2186,10.1,0.47200000000000003,0.0,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,,0.1,1.3,1.4,0.031,,-3.6,-0.8,-4.4,-1.3
Gerald Henderson,25,68,2133,16.4,0.531,0.11699999999999999,0.366,2.9,10.8,6.7,15.6,1.7,1.3,9.8,23.5,,2.9,0.3,3.3,0.073,,0.3,-1.4,-1.1,0.5
Michael Kidd-Gilchrist,19,78,2025,14.0,0.506,0.015,0.305,7.2,18.9,12.9,10.1,1.4,2.8,12.7,17.9,,1.1,1.0,2.1,0.051,,-1.6,-0.9,-2.6,-0.3
Ramon Sessions,26,61,1652,17.7,0.529,0.158,0.513,1.8,10.1,5.9,25.5,1.5,0.3,11.2,25.7,,2.9,0.0,2.9,0.084,,1.6,-2.0,-0.4,0.7
Ben Gordon,29,75,1560,12.7,0.515,0.384,0.16699999999999998,1.3,8.5,4.8,17.6,1.2,0.8,14.3,27.8,,-0.4,-0.2,-0.6,-0.018000000000000002,,-0.2,-3.2,-3.4,-0.6
Jeffery Taylor,23,77,1507,10.3,0.531,0.386,0.258,3.8,7.7,5.7,7.0,1.6,0.8,9.7,14.9,,1.2,0.0,1.2,0.039,,-2.1,-1.5,-3.6,-0.6
Byron Mullens,23,53,1428,12.3,0.465,0.369,0.17600000000000002,5.5,22.0,13.5,10.1,1.2,1.8,10.9,21.7,,-0.6,0.7,0.1,0.005,,-1.4,-2.0,-3.4,-0.5
Brendan Haywood,33,61,1162,8.7,0.441,0.005,0.306,12.0,16.7,14.3,3.9,0.7,3.4,16.9,11.5,,-0.2,0.4,0.1,0.006,,-4.2,-1.8,-6.0,-1.2
Josh McRoberts,25,26,802,14.8,0.565,0.153,0.289,7.2,20.0,13.4,14.9,1.4,1.5,15.1,14.3,,1.1,0.4,1.5,0.09,,-0.4,-0.4,-0.9,0.2
Jeff Adrien,26,52,713,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,,0.5,0.4,1.0,0.064,,-2.1,-0.9,-3.0,-0.2
Hakim Warrick,30,27,482,11.3,0.473,0.018000000000000002,0.528,4.8,16.6,10.6,9.0,1.3,1.0,12.6,21.7,,-0.2,0.1,-0.1,-0.006999999999999999,,-2.9,-2.2,-5.1,-0.4
Reggie Williams,26,40,380,13.2,0.517,0.545,0.159,2.3,13.3,7.7,18.2,1.7,0.2,11.9,19.2,,0.2,0.1,0.3,0.035,,0.2,-1.6,-1.4,0.1
Tyrus Thomas,26,26,360,9.6,0.418,0.059000000000000004,0.228,4.9,14.4,9.5,9.1,2.0,3.4,10.2,21.1,,-0.4,0.2,-0.2,-0.025,,-5.1,-1.0,-6.1,-0.4
Jannero Pargo,33,18,292,14.1,0.517,0.535,0.063,3.4,5.2,4.3,22.5,2.7,0.6,16.1,27.1,,-0.1,0.0,0.0,-0.001,,0.6,-2.5,-1.9,0.0
DeSagana Diop,31,22,226,6.6,0.292,0.037000000000000005,0.037000000000000005,4.9,21.4,12.9,8.5,1.2,5.7,22.6,7.1,,-0.3,0.2,-0.1,-0.017,,-5.2,0.5,-4.7,-0.2
Cory Higgins,23,6,32,12.6,0.35200000000000004,0.263,0.105,3.5,7.4,5.4,29.8,4.9,0.0,0.0,28.3,,0.0,0.0,0.0,-0.022000000000000002,,-3.5,0.2,-3.3,0.0
Matt Carroll,32,1,6,2.9,,,,0.0,0.0,0.0,23.4,0.0,0.0,,0.0,,0.0,0.0,0.0,0.028999999999999998,,-6.8,-3.2,-10.0,0.0
