PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Deron Williams,28,78,2842,20.3,0.574,0.39799999999999996,0.32799999999999996,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,,9.1,1.8,10.9,0.184,,4.5,-0.7,3.8,4.2
Joe Johnson,31,72,2642,14.1,0.521,0.375,0.153,2.4,7.4,4.9,16.7,1.0,0.4,9.9,21.7,,3.9,1.2,5.1,0.092,,1.4,-1.4,0.0,1.3
Brook Lopez,24,74,2253,24.7,0.5670000000000001,0.001,0.358,10.8,16.1,13.4,6.4,0.8,5.2,9.4,28.6,,6.4,2.6,9.0,0.191,,3.4,-0.2,3.2,3.0
Gerald Wallace,30,69,2076,11.6,0.49,0.35600000000000004,0.415,3.9,14.3,9.1,13.3,2.5,1.7,16.9,14.5,,0.6,2.5,3.1,0.07200000000000001,,-1.2,1.8,0.7,1.3
Reggie Evans,32,80,1967,12.8,0.506,0.0,0.851,15.5,38.0,26.7,3.2,2.0,0.5,23.6,11.0,,0.8,3.5,4.3,0.105,,-1.7,0.0,-1.7,0.1
Andray Blatche,26,82,1555,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3.0,2.7,13.8,26.5,,2.4,2.5,4.9,0.153,,1.3,0.9,2.2,1.6
C.J. Watson,28,80,1521,13.9,0.544,0.466,0.198,2.9,8.4,5.6,17.2,2.3,0.6,12.1,17.2,,2.5,1.3,3.8,0.12,,0.3,0.6,0.9,1.1
Keith Bogans,32,74,1408,6.7,0.5329999999999999,0.863,0.06,1.3,8.8,5.0,8.1,1.1,0.2,14.4,11.2,,0.7,0.7,1.4,0.047,,-2.3,-0.3,-2.6,-0.2
Kris Humphries,27,65,1191,13.6,0.515,0.006,0.397,12.4,23.9,18.1,4.3,0.7,2.1,13.5,16.3,,1.4,1.3,2.7,0.109,,-1.9,-1.0,-3.0,-0.3
MarShon Brooks,24,73,912,13.5,0.523,0.16399999999999998,0.281,4.1,9.4,6.7,14.6,2.0,1.3,15.5,22.5,,0.5,0.8,1.3,0.068,,-1.6,-0.1,-1.7,0.1
Jerry Stackhouse,38,37,544,8.5,0.5,0.517,0.134,1.1,6.1,3.6,10.4,0.7,0.6,11.6,17.5,,0.2,0.2,0.4,0.037000000000000005,,-1.6,-1.7,-3.3,-0.2
Mirza Teletović,27,53,499,12.3,0.495,0.584,0.059000000000000004,7.8,14.8,11.2,7.7,1.4,1.2,9.5,19.4,,0.5,0.5,0.9,0.087,,-0.3,-1.0,-1.3,0.1
Tyshawn Taylor,22,38,221,6.2,0.43,0.149,0.31,1.1,8.6,4.8,15.9,3.2,0.0,20.2,25.8,,-0.6,0.2,-0.4,-0.077,,-6.9,-0.5,-7.4,-0.3
Josh Childress,29,14,100,7.0,0.32,0.14300000000000002,0.095,7.0,10.7,8.9,7.3,1.1,1.5,0.0,10.1,,0.0,0.1,0.1,0.028999999999999998,,-2.7,-0.6,-3.3,0.0
Tornike Shengelia,21,19,93,8.5,0.499,0.087,0.696,11.4,17.9,14.6,5.1,1.7,0.8,26.8,20.3,,-0.1,0.1,0.0,-0.017,,-5.2,-1.3,-6.5,-0.1
Kris Joseph,24,4,30,3.7,0.21,0.33299999999999996,1.3330000000000002,0.0,7.9,3.9,0.0,5.4,0.0,0.0,7.3,,-0.1,0.0,0.0,-0.008,,-6.4,2.4,-4.1,0.0
Damion James,25,2,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-3.8,17.8,14.0,0.0
