SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019,17,MIL,Milwaukee Bucks,82,241.2,43.4,91.1,0.48,13.5,38.2,0.35,29.9,52.9,0.56,17.9,23.2,0.77,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1
2019,10,GSW,Golden State Warriors,82,241.5,44.0,89.8,0.49,13.3,34.4,0.38,30.8,55.3,0.56,16.3,20.4,0.8,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
2019,19,NOP,New Orleans Pelicans,82,240.9,43.7,92.2,0.47,10.3,29.9,0.34,33.4,62.4,0.54,17.8,23.4,0.76,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4
2019,23,PHI,Philadelphia 76Ers,82,241.5,41.5,88.2,0.47,10.8,30.2,0.36,30.7,58.0,0.53,21.2,27.5,0.77,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2
2019,13,LAC,Los Angeles Clippers,82,241.8,41.3,87.5,0.47,10.0,25.8,0.39,31.3,61.7,0.51,22.6,28.5,0.79,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1
2019,25,POR,Portland Trail Blazers,82,242.1,42.3,90.6,0.47,11.0,30.7,0.36,31.3,59.8,0.52,19.0,23.3,0.81,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7
2019,21,OKC,Oklahoma City Thunder,82,242.1,42.6,94.0,0.45,11.4,32.6,0.35,31.3,61.3,0.51,17.8,25.0,0.71,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5
2019,28,TOR,Toronto Raptors,82,242.4,42.2,89.1,0.47,12.4,33.8,0.37,29.8,55.3,0.54,17.7,22.0,0.8,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4
2019,26,SAC,Sacramento Kings,82,240.6,43.2,93.1,0.46,11.3,29.9,0.38,31.9,63.2,0.5,16.5,22.7,0.73,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
2019,30,WAS,Washington Wizards,82,243.0,42.1,90.1,0.47,11.3,33.3,0.34,30.8,56.8,0.54,18.4,23.9,0.77,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0
2019,11,HOU,Houston Rockets,82,241.8,39.2,87.4,0.45,16.1,45.4,0.36,23.1,42.0,0.55,19.3,24.4,0.79,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9
2019,1,ALT,Atlanta Hawks,82,242.1,41.4,91.8,0.45,13.0,37.0,0.35,28.4,54.8,0.52,17.6,23.4,0.75,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3
2019,18,MIN,Minnesota Timberwolves,82,241.8,41.6,91.3,0.46,10.1,28.7,0.35,31.5,62.5,0.5,19.1,24.3,0.79,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5
2019,2,BOS,Boston Celtics,82,241.2,42.1,90.5,0.46,12.6,34.5,0.36,29.5,56.0,0.53,15.6,19.5,0.8,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4
2019,3,BRK,Brooklyn Nets,82,243.7,40.3,89.7,0.45,12.8,36.2,0.35,27.5,53.6,0.51,19.0,25.5,0.74,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
2019,14,LAL,Los Angeles Lakers,82,241.2,42.6,90.5,0.47,10.3,31.0,0.33,32.2,59.6,0.54,16.3,23.3,0.7,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
2019,29,UTA,Utah Jazz,82,240.9,40.4,86.4,0.47,12.1,34.0,0.36,28.3,52.4,0.54,18.8,25.5,0.74,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7
2019,27,SAS,San Antonio Spurs,82,241.5,42.3,88.4,0.48,9.9,25.3,0.39,32.4,63.1,0.51,17.2,21.0,0.82,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
2019,4,CHO,Charlotte Hornets,82,241.8,40.2,89.8,0.45,11.9,33.9,0.35,28.3,55.8,0.51,18.4,23.1,0.8,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7
2019,8,DEN,Denver Nuggets,82,240.6,41.9,90.0,0.47,11.0,31.4,0.35,30.9,58.7,0.53,15.8,20.9,0.76,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7
2019,7,DAL,Dallas Mavericks,82,241.2,38.8,86.9,0.45,12.5,36.6,0.34,26.3,50.2,0.52,18.8,25.3,0.74,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
2019,12,IND,Indiana Pacers,82,240.3,41.3,87.0,0.48,9.5,25.4,0.37,31.8,61.6,0.52,15.8,21.1,0.75,9.3,33.7,43.0,26.0,8.7,4.9,13.7,19.4,108.0
2019,24,PHO,Phoenix Suns,82,242.4,40.1,87.4,0.46,9.6,29.3,0.33,30.5,58.1,0.52,17.6,22.7,0.78,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5
