Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2001,28,492,TOR,Toronto Raptors,24.0,NBA,SF,12.0,12.0,539.0,12.5,28.7,0.44,2.6,6.3,0.41,9.9,22.4,0.44,5.9,7.6,0.78,3.8,4.2,8.0,5.7,2.0,2.0,2.8,4.6,33.5,,112.0,106.0
2005,3,492,NJN,New Jersey Nets,28.0,NBA,SF,4.0,4.0,179.0,10.3,28.2,0.36,1.8,5.6,0.32,8.5,22.6,0.38,9.1,10.6,0.86,2.6,7.3,10.0,6.7,2.6,0.0,4.4,5.0,31.4,,99.0,111.0
2006,3,492,NJN,New Jersey Nets,29.0,NBA,SG,11.0,11.0,450.0,13.6,29.4,0.46,1.7,7.0,0.24,11.9,22.4,0.53,10.4,13.0,0.8,1.9,7.4,9.3,7.0,2.4,0.7,3.1,4.1,39.3,,115.0,105.0
2007,3,492,NJN,New Jersey Nets,30.0,NBA,SG,12.0,12.0,487.0,10.3,26.1,0.4,2.3,6.0,0.39,8.0,20.1,0.4,6.8,9.8,0.69,1.9,7.2,9.1,7.1,1.2,0.8,4.2,3.9,29.8,,98.0,100.0
2010,22,492,ORL,Orlando Magic,33.0,NBA,SG,14.0,14.0,480.0,8.6,21.3,0.4,1.4,5.9,0.24,7.2,15.4,0.47,6.6,8.0,0.83,1.0,5.8,6.8,3.7,1.4,0.3,2.5,5.8,25.1,,105.0,103.0
2012,7,492,DAL,Dallas Mavericks,35.0,NBA,SG,4.0,0.0,107.0,5.9,20.3,0.29,1.5,4.9,0.3,4.5,15.3,0.29,3.0,4.0,0.75,2.5,8.4,10.9,0.5,2.5,1.0,3.0,5.4,16.3,,76.0,108.0
2014,7,492,DAL,Dallas Mavericks,37.0,NBA,SG,7.0,0.0,190.0,8.5,18.7,0.46,4.1,8.5,0.48,4.4,10.2,0.43,3.0,3.8,0.79,1.9,4.9,6.9,4.7,0.8,0.5,1.6,3.3,24.2,,124.0,115.0
2015,15,492,MEM,Memphis Grizzlies,38.0,NBA,SG,11.0,0.0,196.0,7.2,17.8,0.4,1.9,7.5,0.25,5.3,10.4,0.51,2.1,2.4,0.89,3.5,9.1,12.5,2.9,1.9,0.5,1.9,4.5,18.4,,102.0,104.0
2016,15,492,MEM,Memphis Grizzlies,39.0,NBA,SG,4.0,4.0,91.0,8.9,19.5,0.46,4.1,5.9,0.7,4.7,13.6,0.35,4.7,4.7,1.0,3.0,5.9,8.9,3.0,1.2,0.6,1.8,5.3,26.6,,126.0,118.0
2017,15,492,MEM,Memphis Grizzlies,40.0,NBA,SF,6.0,6.0,195.0,5.7,12.0,0.48,2.3,5.7,0.4,3.4,6.3,0.55,2.0,2.0,1.0,1.1,4.6,5.7,2.6,0.6,0.0,2.9,4.3,15.8,,106.0,123.0
