Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,14,1098,LAL,Los Angeles Lakers,A.C. Green,26,82,82,2709,5.1,10.7,0.48,0.2,0.6,0.28,4.9,10.1,0.49,3.7,4.9,0.75,3.5,6.0,9.5,1.2,0.9,0.7,1.5,2.8,14.1
1990,14,2581,LAL,Los Angeles Lakers,Byron Scott,28,77,77,2593,6.6,14.0,0.47,1.3,3.1,0.42,5.3,10.9,0.48,2.2,2.9,0.77,0.7,2.7,3.4,3.8,1.1,0.4,1.7,2.5,16.6
1990,14,3233,LAL,Los Angeles Lakers,James Worthy,28,80,80,2960,8.6,15.8,0.55,0.2,0.6,0.31,8.5,15.2,0.56,3.0,3.9,0.78,1.9,3.9,5.8,3.5,1.2,0.6,1.9,2.3,20.5
1990,14,2200,LAL,Los Angeles Lakers,Jawann Oldham,32,3,0,9,8.0,12.0,0.67,0.0,0.0,,8.0,12.0,0.67,4.0,8.0,0.5,0.0,4.0,4.0,4.0,0.0,0.0,4.0,12.0,20.0
1990,14,2972,LAL,Los Angeles Lakers,Jay Vincent,30,24,1,200,7.4,14.0,0.53,0.0,0.2,0.0,7.4,13.9,0.53,1.4,2.2,0.67,1.3,3.4,4.7,1.8,1.4,0.5,3.4,5.2,16.2
1990,14,784,LAL,Los Angeles Lakers,Larry Drew,31,80,3,1333,4.6,10.3,0.44,0.9,2.2,0.4,3.7,8.2,0.46,1.2,1.6,0.77,0.3,2.3,2.6,5.9,1.3,0.1,2.6,2.5,11.3
1990,14,1503,LAL,Los Angeles Lakers,Magic Johnson,30,79,79,2937,6.7,13.9,0.48,1.3,3.4,0.38,5.4,10.6,0.51,6.9,7.8,0.89,1.6,4.8,6.4,11.1,1.6,0.4,3.5,2.0,21.6
1990,14,1953,LAL,Los Angeles Lakers,Mark McNamara,30,33,1,190,7.2,16.3,0.44,0.0,0.0,,7.2,16.3,0.44,4.9,7.6,0.65,4.2,7.8,11.9,0.6,0.4,0.2,4.0,5.9,19.3
1990,14,1895,LAL,Los Angeles Lakers,Mel McCants,22,13,0,65,4.4,14.4,0.31,0.0,0.0,,4.4,14.4,0.31,3.3,4.4,0.75,0.6,2.8,3.3,1.1,1.7,0.6,0.6,6.1,12.2
1990,14,603,LAL,Los Angeles Lakers,Michael Cooper,33,80,10,1851,3.7,9.6,0.39,1.0,3.1,0.32,2.7,6.5,0.42,1.6,1.8,0.88,1.1,3.3,4.4,4.2,1.3,0.7,1.8,4.0,10.0
1990,14,1280,LAL,Los Angeles Lakers,Mike Higgins,22,6,0,18,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,4.0,0.5,2.0,0.0,2.0,2.0,2.0,4.0,0.0,8.0,2.0
1990,14,2872,LAL,Los Angeles Lakers,Mychal Thompson,35,70,70,1883,5.4,10.7,0.5,0.0,0.0,,5.4,10.7,0.5,2.8,3.9,0.71,3.3,5.8,9.1,0.8,0.6,1.4,1.5,4.0,13.5
1990,14,3229,LAL,Los Angeles Lakers,Orlando Woolridge,30,62,2,1421,7.8,13.9,0.56,0.0,0.1,0.0,7.8,13.8,0.56,4.5,6.1,0.73,1.2,3.4,4.7,2.4,1.0,1.2,1.8,4.1,20.0
1990,14,413,LAL,Los Angeles Lakers,Steve Bucknall,23,18,0,75,4.3,15.8,0.27,0.0,0.5,0.0,4.3,15.4,0.28,2.4,2.9,0.83,2.4,1.0,3.4,4.8,1.0,0.5,5.3,4.8,11.0
1990,14,753,LAL,Los Angeles Lakers,Vlade Divac,21,82,5,1611,6.1,12.3,0.5,0.0,0.1,0.0,6.1,12.2,0.5,3.4,4.8,0.71,3.7,7.7,11.4,1.7,1.8,2.5,2.5,5.4,15.7
