Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1989,25.0,CHI,NBA,PF,51.0,289.0,9.9,0.56,0.0,0.59,8.7,19.4,14.2,4.7,1.9,0.0,20.9,18.4,,0.0,0.3,0.4,0.064,,-5.2,-0.8,-6.0,-0.3
1990,26.0,TOT,NBA,PF,67.0,1084.0,8.5,0.449,0.003,0.36,10.7,19.4,14.8,3.5,0.8,0.7,15.2,17.6,,-0.6,0.9,0.3,0.013,,-5.1,-2.0,-7.1,-1.4
1990,26.0,CHI,NBA,PF,11.0,58.0,12.3,0.542,0.0,0.35,14.2,22.5,18.3,9.4,0.0,1.1,23.3,22.2,,0.0,0.0,0.0,0.04,,-2.7,-2.2,-4.9,0.0
1990,26.0,NJN,NBA,PF,56.0,1026.0,8.2,0.443,0.003,0.361,10.5,19.3,14.6,3.2,0.8,0.6,14.6,17.4,,-0.7,0.9,0.3,0.012,,-5.2,-2.0,-7.2,-1.4
1991,27.0,NJN,NBA,PF,78.0,1178.0,11.8,0.513,0.0,0.528,12.0,20.0,15.8,3.8,0.8,1.0,13.0,16.6,,0.9,1.3,2.2,0.09,,-3.1,-1.5,-4.6,-0.8
1992,28.0,LAL,NBA,C,49.0,394.0,3.6,0.393,0.0,0.345,8.8,18.8,13.7,2.5,0.9,1.2,20.5,13.5,,-0.7,0.4,-0.3,-0.034,,-8.2,-2.2,-10.4,-0.8
1994,30.0,SAS,NBA,PF,28.0,94.0,12.8,0.515,0.0,0.438,7.6,20.6,14.4,1.8,0.0,0.0,14.9,32.0,,0.0,0.1,0.1,0.054,,-6.7,-4.0,-10.7,-0.2
1995,31.0,SAS,NBA,PF,31.0,117.0,11.9,0.486,0.016,0.525,8.1,17.5,13.1,2.9,1.3,3.0,14.8,33.1,,-0.2,0.2,0.0,0.01,,-9.0,-1.3,-10.3,-0.2
1996,32.0,CHI,NBA,C,1.0,7.0,1.8,0.363,0.0,0.333,16.7,16.6,16.6,0.0,0.0,0.0,12.7,49.6,,0.0,0.0,0.0,-0.228,,-14.2,-8.2,-22.4,0.0
1997,33.0,NJN,NBA,C,20.0,74.0,19.6,0.441,0.0,0.514,17.9,29.5,23.4,11.6,0.7,1.0,4.2,27.3,,0.2,0.1,0.2,0.149,,-0.2,-3.3,-3.4,0.0
1998,34.0,NJN,NBA,C,16.0,51.0,7.2,0.404,0.056,1.167,10.7,24.2,17.0,0.0,0.0,1.5,12.8,26.6,,-0.1,0.0,0.0,-0.034,,-8.0,-4.2,-12.2,-0.1
