Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1990,21.0,LAL,NBA,C,82.0,1611.0,17.5,0.544,0.009,0.393,12.3,23.7,18.2,6.7,2.4,4.2,14.6,20.0,,1.7,3.2,5.0,0.148,,-1.0,1.7,0.7,1.1
1991,22.0,LAL,NBA,C,82.0,2310.0,17.7,0.606,0.022,0.438,10.8,22.2,16.7,5.8,2.3,3.3,16.1,17.1,,3.6,4.8,8.3,0.173,,0.2,2.1,2.3,2.5
1992,23.0,LAL,NBA,C,36.0,979.0,15.9,0.553,0.06,0.353,10.0,18.9,14.4,9.5,2.9,2.2,19.4,20.3,,0.4,1.5,1.8,0.09,,-1.1,1.1,0.0,0.5
1993,24.0,LAL,NBA,C,82.0,2525.0,17.1,0.542,0.092,0.416,9.8,23.2,16.5,13.6,2.5,3.4,18.1,20.0,,1.5,4.1,5.6,0.107,,-0.3,1.8,1.5,2.2
1994,25.0,LAL,NBA,C,79.0,2685.0,18.8,0.546,0.053,0.339,10.9,24.0,17.2,17.2,1.7,2.6,15.7,19.1,,4.2,3.2,7.4,0.132,,1.5,0.8,2.3,2.9
1995,26.0,LAL,NBA,C,80.0,2807.0,20.5,0.568,0.055,0.399,10.3,22.4,16.3,18.0,2.0,4.3,15.4,20.4,,5.3,4.2,9.5,0.162,,1.9,2.1,3.9,4.1
1996,27.0,LAL,NBA,C,79.0,2470.0,17.4,0.544,0.022,0.366,9.5,22.2,16.0,16.3,1.6,3.7,17.5,20.6,,2.2,4.0,6.1,0.119,,-0.2,1.6,1.4,2.1
1997,28.0,CHH,NBA,C,81.0,2840.0,17.9,0.533,0.055,0.306,10.6,20.0,15.5,17.5,2.0,4.7,16.7,19.1,,3.4,3.9,7.3,0.123,,0.6,2.0,2.5,3.3
1998,29.0,CHH,NBA,C,64.0,1805.0,19.4,0.539,0.026,0.351,12.4,22.2,17.3,15.8,2.5,3.8,15.6,18.8,,2.9,3.0,5.9,0.157,,1.8,2.2,4.0,2.7
1999,30.0,SAC,NBA,C,50.0,1761.0,18.0,0.533,0.077,0.458,8.4,21.5,15.0,19.2,1.2,1.8,16.4,19.4,,3.1,2.1,5.2,0.142,,1.2,0.9,2.2,1.8
2001,32.0,SAC,NBA,C,81.0,2420.0,17.7,0.536,0.019,0.464,9.5,20.2,15.0,15.2,1.8,2.6,17.4,20.1,,3.1,4.3,7.4,0.147,,0.3,1.6,1.9,2.4
2002,33.0,SAC,NBA,C,80.0,2420.0,17.0,0.513,0.018,0.475,9.2,20.2,14.8,17.9,1.6,2.6,15.4,18.4,,3.1,4.2,7.3,0.145,,0.7,2.1,2.8,2.9
2003,34.0,SAC,NBA,C,80.0,2384.0,15.6,0.519,0.038,0.383,7.4,17.8,12.9,16.7,1.8,2.9,16.6,17.0,,2.6,4.4,7.0,0.141,,-0.2,2.4,2.1,2.5
2004,35.0,SAC,NBA,C,81.0,2317.0,16.3,0.511,0.019,0.389,6.8,15.6,11.3,28.7,1.3,2.3,18.1,18.6,,3.5,1.8,5.3,0.11,,1.2,0.8,2.0,2.3
2005,36.0,LAL,NBA,C,15.0,130.0,10.5,0.469,0.0,0.387,15.7,12.1,13.9,23.1,1.6,0.6,27.8,17.5,,0.0,0.0,0.0,0.013,,-4.1,-1.3,-5.4,-0.1
