Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,23.0,LAL,NBA,PG,34.0,0.0,342.0,3.9,9.8,0.398,0.7,2.5,0.292,3.2,7.3,0.435,0.4,0.4,1.0,0.9,2.9,3.9,4.1,1.4,0.2,2.4,4.7,8.9
2004,24.0,TOT,NBA,PG,31.0,1.0,479.0,6.1,15.0,0.407,1.7,4.7,0.355,4.4,10.3,0.431,1.7,2.0,0.852,0.6,2.2,2.8,5.3,1.0,0.5,3.5,3.8,15.6
2004,24.0,LAL,NBA,PG,13.0,0.0,63.0,3.4,9.1,0.375,1.1,2.3,0.5,2.3,6.9,0.333,0.0,0.0,,0.0,3.4,3.4,6.3,1.1,0.0,6.9,2.9,8.0
2004,24.0,TOR,NBA,PG,5.0,0.0,71.0,4.6,14.7,0.31,0.0,2.5,0.0,4.6,12.2,0.375,0.0,0.0,,0.0,2.0,2.0,6.1,2.0,0.5,2.5,3.5,9.1
2004,24.0,CHI,NBA,PG,13.0,1.0,345.0,6.9,16.1,0.429,2.1,5.5,0.377,4.8,10.5,0.455,2.4,2.8,0.852,0.8,2.0,2.8,4.9,0.7,0.5,3.1,4.0,18.3
2005,25.0,CHI,NBA,PG,32.0,0.0,453.0,6.5,16.9,0.385,1.8,5.2,0.348,4.7,11.7,0.401,1.4,1.8,0.739,1.0,2.8,3.7,6.0,1.3,0.1,3.6,4.2,16.2
2006,26.0,CHI,NBA,PG,57.0,0.0,646.0,6.1,16.3,0.373,2.2,5.7,0.379,3.9,10.5,0.37,0.9,1.2,0.81,0.4,3.0,3.4,5.2,1.3,0.1,3.4,3.2,15.3
2007,27.0,NOK,NBA,PG,82.0,7.0,1710.0,6.0,14.6,0.409,1.7,4.4,0.388,4.3,10.2,0.418,2.2,2.6,0.852,0.4,3.4,3.8,4.3,1.1,0.1,2.6,2.5,15.8
2008,28.0,NOH,NBA,SG,80.0,5.0,1497.0,6.1,15.7,0.39,1.6,4.5,0.349,4.5,11.2,0.406,1.7,1.9,0.877,0.6,2.5,3.1,4.6,1.2,0.1,2.2,3.0,15.5
2010,30.0,CHI,NBA,PG,63.0,5.0,829.0,5.7,16.5,0.346,1.7,6.0,0.275,4.1,10.6,0.387,1.8,2.0,0.933,0.4,3.0,3.4,3.9,1.3,0.1,2.2,3.0,14.9
2012,32.0,ATL,NBA,PG,50.0,0.0,671.0,5.6,13.6,0.415,2.8,7.4,0.384,2.8,6.2,0.452,1.0,1.1,0.95,0.5,3.4,3.9,5.2,1.1,0.1,2.6,3.4,15.1
2013,33.0,TOT,NBA,PG,32.0,0.0,507.0,5.5,15.1,0.368,2.8,8.2,0.336,2.8,6.8,0.406,0.9,0.9,0.923,0.7,1.8,2.5,4.8,1.3,0.2,2.9,3.0,14.7
2013,33.0,WAS,NBA,PG,7.0,0.0,102.0,2.8,11.3,0.25,1.1,7.1,0.15,1.8,4.2,0.417,0.7,0.7,1.0,0.0,2.1,2.1,4.9,0.0,0.4,2.8,2.8,7.4
2013,33.0,ATL,NBA,PG,7.0,0.0,113.0,4.1,12.1,0.342,2.2,6.4,0.35,1.9,5.7,0.333,0.6,0.6,1.0,0.3,1.9,2.2,6.1,1.0,0.0,1.6,2.5,11.2
2013,33.0,CHA,NBA,PG,18.0,0.0,292.0,7.0,17.5,0.401,3.6,9.4,0.382,3.5,8.1,0.424,1.0,1.1,0.889,1.1,1.6,2.7,4.2,1.8,0.2,3.5,3.2,18.6
2014,34.0,CHA,NBA,PG,29.0,0.0,242.0,7.7,17.6,0.441,3.6,8.9,0.4,4.2,8.6,0.483,1.2,1.6,0.727,0.1,2.8,3.0,7.7,2.1,0.1,3.9,2.5,20.2
2015,35.0,CHO,NBA,PG,9.0,0.0,73.0,7.4,17.3,0.429,4.4,10.8,0.409,3.0,6.4,0.462,1.0,1.0,1.0,0.0,1.5,1.5,3.9,0.0,0.0,1.5,3.9,20.2
