Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,21.0,348,SEA,Seattle Supersonics,25.0,NBA,C,78,9,14.3,1.9,3.9,.492,0.0,0.1,.000,1.9,3.9,.498,.492,1.1,1.6,.669,1.0,2.4,3.3,1.3,0.4,0.2,1.3,2.2,4.9
1986,21.0,348,SEA,Seattle Supersonics,26.0,NBA,C,40,2,7.8,0.8,1.5,.517,0.0,0.0,,0.8,1.5,.517,.517,0.5,0.7,.667,0.4,1.0,1.4,0.5,0.3,0.2,0.6,1.9,2.0
1987,31.0,348,TOT,Total After Trade,27.0,NBA,"C,PF",44,0,11.1,1.4,2.8,.508,0.0,0.1,.000,1.4,2.7,.525,.508,1.1,1.6,.714,1.1,1.5,2.6,0.4,0.5,0.1,0.7,2.7,4.0
1987,14.0,348,LAL,Los Angeles Lakers,27.0,NBA,PF,37,0,10.9,1.4,2.5,.564,0.0,0.0,,1.4,2.5,.564,.564,1.1,1.6,.678,1.1,1.5,2.6,0.3,0.4,0.1,0.7,2.8,3.9
1987,27.0,348,SAS,San Antonio Spurs,27.0,NBA,C,7,0,11.9,1.4,4.3,.333,0.0,0.6,.000,1.4,3.7,.385,.333,1.4,1.6,.909,1.1,1.6,2.7,0.7,0.9,0.3,1.0,1.9,4.3
1988,27.0,348,SAS,San Antonio Spurs,28.0,NBA,C,70,68,31.8,6.1,11.5,.528,0.0,0.1,.200,6.1,11.4,.530,.529,3.8,5.0,.768,2.4,4.5,6.9,3.8,1.1,0.5,3.0,3.9,16.0
1989,27.0,348,SAS,San Antonio Spurs,29.0,NBA,C,64,60,28.5,5.3,10.2,.515,0.0,0.0,.000,5.3,10.2,.517,.515,3.1,4.4,.715,2.3,4.0,6.3,2.0,1.6,0.5,2.6,3.9,13.7
1990,27.0,348,SAS,San Antonio Spurs,30.0,NBA,C,78,12,18.4,2.7,5.0,.545,0.0,0.0,.000,2.7,4.9,.548,.545,1.2,1.8,.674,1.1,3.1,4.2,1.3,0.8,0.5,1.2,2.9,6.6
1991,17.0,348,MIL,Milwaukee Bucks,31.0,NBA,PF,75,73,25.5,5.0,9.4,.527,0.0,0.0,.000,5.0,9.4,.528,.527,2.6,3.3,.798,1.7,4.0,5.7,1.7,1.1,0.6,2.1,3.4,12.6
1992,17.0,348,MIL,Milwaukee Bucks,32.0,NBA,SF,65,60,23.9,4.7,9.0,.524,0.0,0.1,.500,4.7,8.9,.524,.527,1.9,2.5,.767,1.5,3.8,5.3,1.9,0.9,0.4,1.7,3.4,11.4
1993,17.0,348,MIL,Milwaukee Bucks,33.0,NBA,C,66,64,31.4,6.9,12.7,.545,0.1,0.4,.308,6.8,12.3,.553,.550,3.0,4.1,.728,1.8,4.3,6.1,3.0,1.2,0.7,3.1,3.6,16.9
1994,31.0,348,TOT,Total After Trade,34.0,NBA,C,71,46,29.5,5.2,10.6,.488,0.1,0.3,.200,5.1,10.3,.496,.491,2.7,3.6,.768,1.2,4.5,5.7,3.1,1.1,0.4,2.5,3.4,13.2
1994,17.0,348,MIL,Milwaukee Bucks,34.0,NBA,C,43,40,33.5,5.8,12.1,.482,0.1,0.4,.167,5.8,11.7,.493,.485,3.4,4.4,.775,1.2,5.3,6.5,3.8,1.2,0.4,2.9,3.8,15.2
1994,,348,CHH,None,34.0,NBA,C,28,6,23.3,4.2,8.3,.502,0.0,0.1,.500,4.1,8.3,.502,.504,1.7,2.3,.746,1.1,3.3,4.5,2.0,1.0,0.4,2.0,2.8,10.1
1996,21.0,348,SEA,Seattle Supersonics,36.0,NBA,C,63,8,15.7,2.0,4.0,.488,0.5,1.3,.405,1.4,2.7,.526,.552,1.0,1.4,.709,0.4,2.0,2.4,0.9,0.4,0.1,1.2,2.9,5.4
1997,2.0,348,BOS,Boston Celtics,37.0,NBA,PF,17,2,15.0,1.9,4.3,.438,0.4,1.2,.350,1.5,3.1,.472,.486,0.6,0.8,.714,0.4,1.6,2.0,0.9,0.3,0.2,1.1,2.5,4.8
