Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,22.0,SAS,NBA,SF,26.0,0.0,15.1,2.9,6.0,0.484,0.0,0.1,0.0,2.9,6.0,0.49,0.484,1.2,1.7,0.721,1.2,2.4,3.6,0.7,0.7,0.2,1.1,2.2,7.0
1983-84,23.0,PHO,NBA,SF,50.0,0.0,11.7,1.9,4.1,0.478,0.0,0.0,,1.9,4.1,0.478,0.478,0.6,0.8,0.69,0.8,1.3,2.1,0.9,0.5,0.2,0.9,2.0,4.5
1984-85,24.0,PHO,NBA,SF,21.0,11.0,19.9,4.0,8.3,0.486,0.0,0.0,,4.0,8.3,0.486,0.486,2.1,2.8,0.763,1.8,2.4,4.2,1.4,1.1,0.2,1.6,2.8,10.2
1985-86,25.0,PHO,NBA,SF,82.0,5.0,20.0,4.2,8.2,0.513,0.0,0.2,0.2,4.2,8.1,0.52,0.516,2.5,3.1,0.809,1.3,2.1,3.3,1.8,0.9,0.4,1.7,2.9,11.0
1986-87,26.0,PHO,NBA,SF,82.0,4.0,20.2,4.4,8.8,0.494,0.0,0.2,0.118,4.3,8.6,0.504,0.496,1.7,2.2,0.781,1.2,2.1,3.3,1.5,0.7,0.3,1.3,2.6,10.5
1987-88,27.0,TOT,NBA,SF,59.0,16.0,15.0,2.6,5.1,0.505,0.0,0.0,0.0,2.6,5.1,0.507,0.505,1.0,1.3,0.776,0.6,1.2,1.8,0.9,0.5,0.2,0.8,2.2,6.2
1987-88,27.0,PHO,NBA,SF,35.0,5.0,13.3,2.3,4.9,0.48,0.0,0.0,0.0,2.3,4.9,0.482,0.48,1.1,1.5,0.736,0.8,1.0,1.8,0.9,0.5,0.1,0.8,2.1,5.8
1987-88,27.0,CLE,NBA,SF,24.0,11.0,17.4,3.0,5.5,0.538,0.0,0.0,,3.0,5.5,0.538,0.538,0.8,1.0,0.87,0.4,1.5,2.0,1.1,0.5,0.2,1.0,2.4,6.8
1988-89,28.0,CLE,NBA,SF,82.0,82.0,25.6,4.0,8.9,0.453,0.0,0.1,0.3,4.0,8.8,0.455,0.455,1.2,1.6,0.719,1.2,2.5,3.7,1.6,1.1,0.4,1.3,2.8,9.3
1989-90,29.0,IND,NBA,SF,82.0,13.0,18.7,2.7,5.8,0.47,0.1,0.2,0.357,2.7,5.7,0.473,0.475,0.7,0.9,0.733,1.0,1.9,2.8,1.1,0.5,0.3,1.0,2.7,6.2
1990-91,30.0,IND,NBA,SF,80.0,7.0,17.0,2.6,6.2,0.417,0.1,0.3,0.2,2.5,5.9,0.426,0.421,0.6,0.7,0.825,0.9,1.4,2.3,1.3,0.5,0.3,0.8,2.5,5.8
1991-92,31.0,TOT,NBA,SF,31.0,20.0,20.4,3.0,5.2,0.571,0.0,0.1,0.333,2.9,5.1,0.576,0.575,1.2,1.5,0.766,0.9,2.2,3.1,1.7,0.8,0.3,0.7,2.7,7.1
1991-92,31.0,IND,NBA,SF,10.0,0.0,8.1,1.1,2.2,0.5,0.0,0.0,,1.1,2.2,0.5,0.5,0.5,0.6,0.833,0.0,0.8,0.8,1.1,0.2,0.1,0.6,0.8,2.7
1991-92,31.0,CLE,NBA,SF,21.0,20.0,26.3,3.9,6.6,0.583,0.0,0.1,0.333,3.8,6.5,0.588,0.586,1.5,2.0,0.756,1.3,2.9,4.2,2.0,1.0,0.4,0.8,3.6,9.2
1992-93,32.0,CLE,NBA,SF,53.0,51.0,22.4,3.7,7.5,0.497,0.0,0.1,0.25,3.7,7.4,0.5,0.499,1.1,1.5,0.756,1.0,2.2,3.2,1.4,0.7,0.6,1.1,2.8,8.6
