Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1998,21.0,UTA,NBA,PG,8.0,23.0,19.1,0.429,0.214,0.0,5.8,5.1,5.4,35.1,4.7,0.0,6.7,30.2,,0.0,0.0,0.0,0.075,,-1.1,0.5,-0.6,0.0
1999,22.0,LAC,NBA,PG,25.0,524.0,14.1,0.507,0.313,0.253,3.2,9.6,6.2,29.7,1.1,0.3,18.6,17.7,,0.7,-0.2,0.5,0.043,,0.9,-3.1,-2.2,0.0
2001,24.0,ORL,NBA,PG,75.0,1008.0,10.2,0.427,0.293,0.28,4.1,7.6,5.8,25.5,1.9,0.2,18.0,22.4,,-0.7,0.8,0.1,0.003,,-2.6,-1.7,-4.3,-0.6
2002,25.0,ORL,NBA,PG,81.0,1854.0,15.3,0.526,0.229,0.247,1.8,7.0,4.4,23.4,1.6,0.2,15.3,25.8,,1.5,0.9,2.5,0.064,,0.2,-2.0,-1.8,0.1
2003,26.0,MIN,NBA,PG,79.0,2600.0,15.2,0.531,0.278,0.242,1.9,6.0,4.0,27.0,1.2,0.2,14.7,21.6,,4.0,1.1,5.1,0.094,,1.4,-1.7,-0.3,1.1
2004,27.0,MIN,NBA,PG,29.0,503.0,12.5,0.492,0.372,0.159,1.0,6.7,4.0,22.9,0.8,0.0,13.3,23.9,,0.3,0.3,0.6,0.058,,0.1,-2.1,-2.0,0.0
2005,28.0,MIN,NBA,PG,79.0,1729.0,12.1,0.491,0.389,0.136,1.3,5.4,3.5,26.5,0.8,0.2,13.8,21.9,,0.7,0.6,1.3,0.036,,-0.1,-2.3,-2.4,-0.2
2006,29.0,MIN,NBA,PG,36.0,800.0,12.2,0.48,0.303,0.156,1.2,5.3,3.3,23.3,0.8,0.4,10.1,23.5,,0.3,0.4,0.7,0.042,,-0.1,-2.0,-2.1,0.0
2007,30.0,MIN,NBA,PG,34.0,554.0,10.8,0.483,0.41,0.164,1.8,8.4,5.2,21.4,1.3,0.3,16.1,20.9,,-0.2,0.3,0.1,0.005,,-0.8,-1.5,-2.2,0.0
2008,31.0,GSW,NBA,PG,9.0,93.0,5.2,0.416,0.387,0.194,0.0,8.4,4.0,12.7,1.6,0.0,17.2,18.4,,-0.2,0.0,-0.1,-0.062,,-4.6,-1.7,-6.3,-0.1
