Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,30.0,CLE,NBA,C,82.0,,2670.0,489.0,940.0,0.52,0.0,3.0,0.0,489.0,937.0,0.522,0.52,277.0,329.0,0.842,225.0,433.0,658.0,192.0,53.0,53.0,138.0,211.0,1255.0
1981,31.0,TOT,NBA,C,84.0,,2116.0,330.0,740.0,0.446,0.0,0.0,,330.0,740.0,0.446,0.446,200.0,247.0,0.81,157.0,342.0,499.0,173.0,37.0,34.0,83.0,173.0,860.0
1981,31.0,CLE,NBA,C,11.0,,372.0,37.0,98.0,0.378,0.0,0.0,,37.0,98.0,0.378,0.378,29.0,36.0,0.806,27.0,58.0,85.0,44.0,7.0,6.0,14.0,21.0,103.0
1981,31.0,DEN,NBA,C,73.0,,1744.0,293.0,642.0,0.456,0.0,0.0,,293.0,642.0,0.456,0.456,171.0,211.0,0.81,130.0,284.0,414.0,129.0,30.0,28.0,69.0,152.0,757.0
1982,32.0,DEN,NBA,C,12.0,0.0,257.0,48.0,106.0,0.453,0.0,0.0,,48.0,106.0,0.453,0.453,48.0,55.0,0.873,14.0,49.0,63.0,32.0,3.0,4.0,13.0,29.0,144.0
1983,33.0,DEN,NBA,C,61.0,0.0,711.0,96.0,251.0,0.382,0.0,1.0,0.0,96.0,250.0,0.384,0.382,92.0,118.0,0.78,34.0,117.0,151.0,53.0,10.0,9.0,45.0,61.0,284.0
1984,34.0,TOT,NBA,C,31.0,0.0,340.0,35.0,96.0,0.365,0.0,0.0,,35.0,96.0,0.365,0.365,22.0,26.0,0.846,15.0,43.0,58.0,20.0,3.0,2.0,12.0,36.0,92.0
1984,34.0,DEN,NBA,C,19.0,0.0,141.0,13.0,40.0,0.325,0.0,0.0,,13.0,40.0,0.325,0.325,11.0,13.0,0.846,1.0,20.0,21.0,13.0,0.0,1.0,11.0,13.0,37.0
1984,34.0,SAS,NBA,C,4.0,0.0,37.0,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,0.0,0.0,,2.0,6.0,8.0,1.0,0.0,0.0,1.0,8.0,8.0
1984,34.0,KCK,NBA,C,8.0,0.0,162.0,18.0,48.0,0.375,0.0,0.0,,18.0,48.0,0.375,0.375,11.0,13.0,0.846,12.0,17.0,29.0,6.0,3.0,1.0,0.0,15.0,47.0
