PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dražen Petrović,27,4,4,163,9.1,16.8,0.539,0.9,2.7,0.33299999999999996,8.2,14.1,0.578,2.4,2.9,0.846,0.9,1.3,2.2,2.9,0.9,0.2,1.8,2.9,21.4
Derrick Coleman,24,4,4,162,8.0,16.4,0.486,0.2,1.3,0.16699999999999998,7.8,15.1,0.515,3.6,4.7,0.762,2.9,7.1,10.0,4.7,1.6,0.9,2.4,2.7,19.8
Mookie Blaylock,24,4,4,148,4.1,13.4,0.309,0.2,1.5,0.16699999999999998,3.9,11.9,0.327,0.7,1.0,0.75,1.2,2.7,3.9,7.5,3.6,0.5,1.7,3.9,9.2
Chris Morris,26,4,4,135,8.5,15.5,0.552,1.1,2.7,0.4,7.5,12.8,0.583,1.9,2.4,0.778,2.9,2.4,5.3,1.3,1.9,1.9,2.1,2.9,20.0
Sam Bowie,30,4,4,112,4.5,10.6,0.424,0.3,0.6,0.5,4.2,10.0,0.419,2.6,3.9,0.667,2.6,3.5,6.1,2.9,1.0,1.0,1.6,6.1,11.9
Chris Dudley,26,4,0,77,2.3,6.5,0.35700000000000004,0.0,0.0,,2.3,6.5,0.35700000000000004,1.9,3.7,0.5,6.1,5.6,11.7,1.4,0.9,4.7,0.5,6.5,6.5
Terry Mills,24,4,0,77,4.7,12.6,0.37,0.0,0.5,0.0,4.7,12.2,0.385,3.3,5.1,0.636,4.2,7.0,11.2,3.7,0.5,0.9,3.3,8.4,12.6
Tate George,23,4,0,44,5.7,18.8,0.304,0.0,0.0,,5.7,18.8,0.304,0.8,2.5,0.33299999999999996,0.0,0.0,0.0,6.5,2.5,0.8,3.3,6.5,12.3
Kenny Anderson,21,3,0,24,4.5,13.5,0.33299999999999996,0.0,0.0,,4.5,13.5,0.33299999999999996,3.0,3.0,1.0,1.5,3.0,4.5,4.5,1.5,0.0,1.5,1.5,12.0
Rafael Addison,27,1,0,9,8.0,28.0,0.28600000000000003,4.0,8.0,0.5,4.0,20.0,0.2,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20.0
Doug Lee,27,2,0,6,0.0,18.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
Dave Feitl,29,1,0,3,12.0,24.0,0.5,0.0,0.0,,12.0,24.0,0.5,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,24.0
