SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020,2,BOS,Jayson Tatum,21,66,2265,20.4,0.57,0.38,0.26,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,0.15,3.5,0.6,4.0,3.4
2020,2,BOS,Jaylen Brown,23,57,1934,16.9,0.58,0.38,0.27,3.5,16.5,10.1,9.7,1.6,1.0,11.2,24.7,2.3,2.6,4.9,0.12,1.0,-0.2,0.8,1.4
2020,2,BOS,Marcus Smart,25,60,1919,13.8,0.52,0.58,0.22,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,1.7,2.8,4.5,0.11,0.0,1.4,1.4,1.6
2020,2,BOS,Kemba Walker,29,56,1742,20.0,0.57,0.53,0.27,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.16,4.9,-0.3,4.6,2.9
2020,2,BOS,Gordon Hayward,29,52,1740,18.1,0.6,0.32,0.21,3.4,17.8,10.7,18.7,1.1,1.2,11.2,21.1,3.5,2.2,5.7,0.16,2.6,0.1,2.7,2.0
2020,2,BOS,Daniel Theis,27,65,1566,17.9,0.63,0.22,0.27,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,4.0,2.6,6.5,0.2,0.6,1.8,2.4,1.7
2020,2,BOS,Brad Wanamaker,30,71,1369,12.8,0.58,0.28,0.38,1.7,9.4,5.6,17.8,2.2,0.9,15.3,15.5,1.8,1.8,3.5,0.12,-1.9,1.3,-0.6,0.5
2020,2,BOS,Grant Williams,21,69,1043,7.9,0.5,0.46,0.26,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,0.1,1.4,1.6,0.07,-4.1,1.4,-2.7,-0.2
2020,2,BOS,Semi Ojeleye,25,69,1011,7.7,0.56,0.65,0.16,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,0.8,1.0,1.9,0.09,-2.1,0.4,-1.7,0.1
2020,2,BOS,Enes Kanter,27,58,983,22.4,0.6,0.02,0.28,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,2.6,1.8,4.4,0.21,1.8,-0.3,1.5,0.9
2020,2,BOS,Javonte Green,26,48,468,13.1,0.56,0.26,0.33,5.6,15.6,10.6,7.7,2.5,1.6,13.7,15.3,0.4,0.8,1.1,0.11,-2.1,1.4,-0.7,0.2
2020,2,BOS,Robert Williams,22,29,388,23.1,0.73,0.0,0.39,11.2,24.0,17.7,10.1,2.7,8.4,16.9,13.6,1.1,1.0,2.0,0.25,0.8,4.3,5.1,0.7
2020,2,BOS,Romeo Langford,20,32,370,5.4,0.43,0.34,0.31,4.4,7.4,5.9,4.5,1.0,2.0,10.8,11.8,-0.2,0.4,0.2,0.02,-4.7,-0.3,-4.9,-0.3
2020,2,BOS,Carsen Edwards,21,37,351,6.9,0.44,0.59,0.15,1.9,12.4,7.2,9.3,1.7,1.1,9.9,18.4,-0.3,0.4,0.1,0.01,-4.4,-0.2,-4.6,-0.2
2020,2,BOS,Vincent Poirier,26,22,130,12.7,0.52,0.06,0.19,10.8,24.4,17.7,8.5,0.7,6.4,17.0,15.4,0.1,0.2,0.3,0.11,-4.8,1.0,-3.8,-0.1
2020,2,BOS,Tremont Waters,22,11,119,4.3,0.38,0.49,0.16,0.0,10.7,5.4,18.3,4.1,1.6,22.2,24.2,-0.5,0.2,-0.3,-0.1,-8.5,1.0,-7.5,-0.2
2020,2,BOS,Tacko Fall,24,7,33,28.4,0.75,0.0,0.21,3.3,44.9,24.3,5.8,1.5,11.2,16.4,23.7,0.1,0.1,0.2,0.22,0.4,6.0,6.5,0.1
