Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,22.0,DET,NBA,SF,70,69,38.3,7.3,15.2,.477,0.1,0.4,.148,7.2,14.8,.486,.479,5.3,7.3,.732,1.8,4.6,6.4,5.0,1.8,0.9,2.9,2.9,19.9
1995-96,23.0,DET,NBA,SF,80,80,40.8,7.1,15.3,.462,0.1,0.3,.192,7.0,14.9,.468,.464,6.1,8.1,.751,1.6,8.2,9.8,6.9,1.3,0.6,3.3,3.0,20.2
1996-97,24.0,DET,NBA,SF,80,80,39.3,7.8,15.7,.496,0.1,0.4,.303,7.7,15.3,.502,.500,5.6,7.9,.711,1.5,7.5,9.0,7.3,1.8,0.6,3.2,2.3,21.4
1997-98,25.0,DET,NBA,SF,81,81,40.7,7.6,16.8,.452,0.0,0.3,.143,7.6,16.5,.457,.453,5.9,8.0,.740,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1
1998-99,26.0,DET,NBA,SF,50,50,37.0,7.7,16.0,.479,0.0,0.3,.000,7.7,15.8,.487,.479,5.7,7.6,.752,1.3,5.8,7.1,6.0,1.6,0.5,3.7,2.3,21.1
1999-00,27.0,DET,NBA,SF,74,74,37.5,9.4,19.2,.489,0.5,1.3,.347,8.9,17.9,.500,.501,6.5,8.2,.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8
2000-01,28.0,ORL,NBA,SF,4,4,33.3,4.8,10.8,.442,0.3,0.3,1.000,4.5,10.5,.429,.453,4.0,6.5,.615,2.0,4.3,6.3,6.3,1.3,0.5,2.8,2.3,13.8
2001-02,29.0,ORL,NBA,SF,14,14,36.6,5.9,13.9,.426,0.0,0.1,.000,5.9,13.8,.430,.426,4.9,5.7,.863,2.1,6.9,8.9,4.6,0.6,0.3,2.6,2.9,16.8
2002-03,30.0,ORL,NBA,SF,29,29,29.1,5.2,10.6,.492,0.0,0.1,.250,5.2,10.4,.495,.493,4.1,5.0,.819,1.4,5.7,7.1,4.2,1.0,0.4,2.9,1.6,14.5
2003-04,31.0,Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle)
2004-05,32.0,ORL,NBA,SF,67,67,34.9,7.7,15.1,.509,0.0,0.2,.231,7.7,15.0,.513,.511,4.2,5.1,.821,1.1,3.6,4.7,3.3,1.4,0.4,2.4,2.1,19.7
2005-06,33.0,ORL,NBA,SF,21,17,29.2,5.7,11.6,.490,0.1,0.4,.250,5.6,11.2,.498,.494,3.7,4.9,.765,0.7,3.1,3.8,2.3,1.1,0.3,1.7,2.4,15.1
2006-07,34.0,ORL,NBA,SG,65,64,30.9,5.3,10.2,.518,0.0,0.2,.167,5.2,10.0,.525,.520,3.8,5.0,.765,0.8,2.8,3.6,2.1,0.9,0.4,2.2,2.2,14.4
2007-08,35.0,PHO,NBA,SF,70,68,31.7,5.1,10.2,.503,0.5,1.5,.317,4.6,8.7,.535,.526,2.4,2.8,.867,1.1,4.0,5.0,2.9,0.9,0.8,1.4,2.2,13.1
2008-09,36.0,PHO,NBA,SF,82,68,29.8,4.8,9.1,.523,0.3,0.9,.316,4.5,8.2,.547,.540,2.2,2.7,.808,0.8,4.2,4.9,2.3,1.1,0.7,1.5,2.2,12.0
2009-10,37.0,PHO,NBA,SF,81,81,30.0,4.1,8.7,.478,0.4,1.0,.438,3.7,7.7,.483,.503,2.5,3.1,.817,0.9,4.6,5.5,2.4,0.7,0.4,1.3,2.0,11.3
2010-11,38.0,PHO,NBA,SF,80,80,30.1,5.0,10.3,.484,0.6,1.4,.395,4.4,8.9,.498,.511,2.7,3.2,.829,1.0,3.3,4.2,2.5,0.8,0.4,1.7,2.3,13.2
2011-12,39.0,PHO,NBA,SF,49,46,28.1,4.1,9.2,.446,0.3,1.1,.264,3.8,8.1,.470,.461,1.7,2.2,.761,0.6,2.9,3.5,2.2,0.8,0.6,1.3,1.8,10.2
2012-13,40.0,LAC,NBA,SF,29,0,15.1,1.3,3.4,.388,0.1,0.4,.273,1.2,3.0,.402,.403,0.5,0.8,.583,0.2,1.5,1.7,0.9,0.4,0.2,0.9,1.3,3.2
