Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22.0,TOR,NBA,PG,70.0,70.0,40.9,6.9,16.1,0.426,1.9,4.8,0.395,5.0,11.3,0.439,0.485,3.4,4.2,0.797,0.8,3.2,4.0,9.3,1.4,0.3,3.8,2.4,19.0
1996-97,23.0,TOR,NBA,PG,81.0,81.0,40.9,7.0,17.4,0.401,2.2,6.1,0.355,4.8,11.2,0.426,0.463,4.1,5.0,0.823,1.1,3.0,4.1,8.8,1.5,0.2,3.6,2.0,20.2
1997-98,24.0,TOT,NBA,PG,71.0,71.0,40.0,6.3,15.4,0.411,1.3,4.3,0.299,5.0,11.1,0.454,0.452,3.4,4.0,0.829,1.2,3.0,4.2,8.2,1.6,0.1,3.1,2.1,17.3
1997-98,24.0,TOR,NBA,PG,49.0,49.0,41.5,7.2,17.0,0.425,1.3,4.2,0.317,5.9,12.8,0.46,0.464,3.7,4.3,0.844,1.3,3.1,4.4,8.1,1.6,0.1,3.2,2.3,19.4
1997-98,24.0,POR,NBA,PG,22.0,22.0,36.6,4.3,11.7,0.364,1.2,4.5,0.263,3.1,7.2,0.428,0.415,2.7,3.4,0.787,1.1,2.6,3.7,8.2,1.5,0.1,2.9,1.7,12.4
1998-99,25.0,POR,NBA,PG,50.0,50.0,33.5,5.0,12.6,0.396,0.9,2.8,0.31,4.1,9.7,0.421,0.431,1.8,2.4,0.73,0.8,2.5,3.3,6.2,1.0,0.1,2.2,1.6,12.6
1999-00,26.0,POR,NBA,PG,78.0,78.0,30.4,4.9,11.5,0.432,1.0,2.7,0.377,3.9,8.7,0.449,0.477,1.6,1.9,0.841,0.8,2.3,3.1,5.2,1.0,0.0,1.9,2.2,12.5
2000-01,27.0,POR,NBA,PG,82.0,82.0,32.4,5.0,11.4,0.434,1.0,2.7,0.374,4.0,8.7,0.453,0.478,2.1,2.5,0.831,0.8,2.9,3.7,5.7,1.3,0.1,2.3,2.5,13.0
2001-02,28.0,POR,NBA,PG,75.0,71.0,37.3,4.9,12.2,0.402,1.4,3.9,0.353,3.5,8.3,0.425,0.459,2.3,2.6,0.888,1.0,2.9,3.9,6.5,0.9,0.1,2.0,2.0,13.5
2002-03,29.0,POR,NBA,PG,59.0,27.0,22.3,2.6,7.0,0.376,0.7,1.9,0.386,1.9,5.1,0.372,0.429,0.9,1.1,0.791,0.7,1.9,2.6,3.5,0.7,0.1,1.4,1.1,6.9
2003-04,30.0,POR,NBA,PG,82.0,82.0,38.0,5.0,12.4,0.401,1.9,5.2,0.365,3.1,7.2,0.426,0.477,1.5,1.8,0.876,0.6,3.1,3.8,6.1,1.2,0.1,2.2,2.1,13.4
2004-05,31.0,POR,NBA,PG,81.0,70.0,34.1,5.6,14.4,0.392,2.2,6.0,0.369,3.4,8.3,0.409,0.47,2.2,2.5,0.915,0.7,3.1,3.8,5.7,1.1,0.0,2.0,2.0,15.8
2005-06,32.0,MEM,NBA,PG,27.0,27.0,31.9,4.2,10.6,0.397,1.3,3.9,0.346,2.9,6.8,0.426,0.46,2.0,2.3,0.855,0.9,2.7,3.5,4.7,0.7,0.0,2.0,1.8,11.7
2006-07,33.0,MEM,NBA,PG,62.0,51.0,24.2,2.8,7.0,0.391,1.0,2.8,0.337,1.8,4.2,0.427,0.459,1.1,1.3,0.795,0.5,1.7,2.2,4.8,0.8,0.0,1.6,1.5,7.5
2007-08,34.0,TOT,NBA,PG,60.0,33.0,17.3,2.0,5.6,0.356,0.8,2.5,0.336,1.2,3.1,0.372,0.43,0.5,0.6,0.794,0.3,1.6,2.0,2.8,0.5,0.0,1.3,1.3,5.3
2007-08,34.0,MEM,NBA,PG,29.0,29.0,21.5,2.7,6.7,0.397,1.2,3.2,0.383,1.4,3.4,0.41,0.49,0.7,0.9,0.808,0.5,2.0,2.4,3.9,0.7,0.0,1.7,1.6,7.3
2007-08,34.0,SAS,NBA,PG,31.0,4.0,13.3,1.4,4.6,0.301,0.5,1.8,0.255,0.9,2.8,0.33,0.35,0.2,0.3,0.75,0.2,1.3,1.5,1.7,0.4,0.1,1.0,1.0,3.4
