NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
3,Kenny Battle,SG,6-6,210,1964-10-10,US,R,"Northern Illinois, Illinois"
24,Tom Chambers,PF,6-10,220,1959-06-21,US,8,Utah
35,Armen Gilliam,PF,6-9,230,1964-05-28,US,2,UNLV
10,Greg Grant,PG,5-7,140,1966-08-29,US,R,Trenton State University
14,Jeff Hornacek,SG,6-3,190,1963-05-03,US,3,Iowa State
8,Eddie Johnson,SF,6-7,215,1959-05-01,US,8,Illinois
7,Kevin Johnson,PG,6-1,180,1966-03-04,US,2,California
28,Andrew Lang,C,6-11,245,1966-06-28,US,1,Arkansas
23,Tim Legler,SG,6-4,200,1966-12-26,US,R,La Salle
9,Dan Majerle,SG,6-6,215,1965-09-09,US,1,Central Michigan University
40,Mike McGee,SF,6-5,190,1959-07-29,US,8,Michigan
32,Mike Morrison,SG,6-4,195,1967-08-16,US,R,Loyola College in Maryland
34,Tim Perry,C,6-9,200,1965-06-04,US,1,Temple
31,Kurt Rambis,PF,6-8,213,1958-02-25,US,8,Santa Clara
41,Mark West,C,6-10,230,1960-11-05,US,6,Old Dominion
21,Micheal Williams,PG,6-2,175,1966-07-23,US,1,Baylor
