NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
40,Willie Anderson,SG,6-7,190,1967-01-08,US,1,Georgia
33,Uwe Blab,C,7-1,252,1962-03-26,DE,4,Indiana
43,Frank Brickowski,C,6-9,240,1959-08-14,US,5,Penn State
10,Maurice Cheeks,PG,6-1,180,1956-09-08,US,11,West Texas A&M University
34,Terry Cummings,PF,6-9,220,1961-03-15,US,7,DePaul
32,Sean Elliott,SF,6-8,205,1968-02-02,US,R,Arizona
27,Caldwell Jones,PF,6-11,217,1950-08-04,US,16,Albany State University
12,Jeff Lebo,SG,6-2,180,1966-10-05,US,R,UNC
11,Vernon Maxwell,SG,6-4,180,1965-09-12,US,1,Florida
30,Mike Mitchell,F,6-7,215,1956-01-01,US,10,Auburn
0,Johnny Moore,PG,6-1,175,1958-03-03,US,8,Texas
14,Žarko Paspalj,SF,6-9,215,1966-03-27,ME,R,
50,David Robinson,C,7-1,235,1965-08-06,US,R,United States Naval Academy
1,Rod Strickland,PG,6-3,175,1966-07-11,US,1,DePaul
42,Chris Welp,C,7-0,245,1964-01-02,DE,2,Washington
2,Reggie Williams,SF,6-7,190,1964-03-05,US,2,Georgetown
25,David Wingate,SG,6-5,185,1963-12-15,US,3,Georgetown
