Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,19.0,MIA,NBA,SF,3.0,0.0,9.0,1.0,3.7,0.273,0.0,1.3,0.0,1.0,2.3,0.429,0.273,0.3,0.3,1.0,0.0,0.3,0.3,1.0,1.3,0.0,1.0,0.7,2.3
2006,20.0,MIA,NBA,SF,20.0,2.0,6.6,1.0,2.2,0.465,0.2,0.3,0.5,0.9,1.9,0.459,0.5,0.8,0.9,0.882,0.1,1.5,1.6,0.4,0.2,0.1,0.7,0.6,2.9
2007,21.0,MIA,NBA,SF,66.0,19.0,19.6,2.5,5.5,0.445,0.1,0.5,0.147,2.4,5.0,0.476,0.452,1.0,1.3,0.744,0.6,3.5,4.1,1.4,0.6,0.7,1.0,1.7,6.0
2008,22.0,MIA,NBA,SF,44.0,34.0,25.1,3.3,6.7,0.488,0.1,0.3,0.364,3.2,6.4,0.493,0.495,1.3,1.6,0.826,1.1,3.9,5.0,1.4,0.7,0.9,0.7,1.8,7.9
2009,23.0,MIA,NBA,SF,6.0,0.0,12.2,1.3,3.3,0.4,0.0,0.0,,1.3,3.3,0.4,0.4,0.3,1.0,0.333,0.3,3.0,3.3,0.3,0.3,0.0,1.0,1.3,3.0
2010,24.0,MIA,NBA,SF,72.0,1.0,20.8,2.7,5.8,0.463,0.8,2.2,0.389,1.8,3.6,0.508,0.536,0.8,1.0,0.884,0.7,2.6,3.3,1.3,0.7,0.4,0.7,1.3,7.1
2011,25.0,GSW,NBA,SF,82.0,82.0,38.4,5.9,14.0,0.423,2.4,6.3,0.376,3.5,7.7,0.462,0.508,2.2,2.8,0.789,1.1,4.2,5.3,3.0,1.5,0.8,1.6,2.1,16.4
2012,26.0,GSW,NBA,SF,61.0,61.0,27.0,3.6,8.6,0.422,1.7,4.8,0.36,1.9,3.8,0.5,0.522,1.3,1.6,0.816,1.0,3.6,4.6,1.5,1.0,0.4,0.8,1.6,10.3
2013,27.0,PHI,NBA,SF,79.0,8.0,22.6,3.0,7.6,0.396,1.7,4.6,0.374,1.3,3.0,0.429,0.508,1.5,1.8,0.851,0.5,3.3,3.8,1.9,0.8,0.4,0.8,1.2,9.2
2014,28.0,POR,NBA,SF,68.0,13.0,14.5,1.6,4.4,0.374,1.0,3.0,0.342,0.6,1.4,0.442,0.49,0.8,1.0,0.754,0.4,2.4,2.8,0.9,0.3,0.2,0.6,0.9,5.0
2015,29.0,POR,NBA,SF,48.0,2.0,12.3,1.5,4.0,0.379,0.9,2.3,0.38,0.6,1.7,0.378,0.487,0.7,0.9,0.81,0.3,2.0,2.3,0.9,0.4,0.2,0.4,1.1,4.6
