PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Ray Allen,23,3,3,120,11.3,21.3,0.532,4.1,8.6,0.474,7.3,12.7,0.5710000000000001,3.6,5.9,0.615,3.6,6.3,10.0,5.9,1.4,0.5,5.0,4.1,30.4,,114,117
Glenn Robinson,26,3,3,118,9.7,23.5,0.41200000000000003,1.8,3.7,0.5,7.8,19.8,0.395,7.4,8.3,0.889,1.8,9.7,11.5,2.3,1.4,0.9,4.6,2.3,28.6,,99,114
Sam Cassell,29,3,3,102,8.5,17.1,0.5,0.0,0.5,0.0,8.5,16.5,0.516,7.5,8.5,0.875,0.0,3.2,3.2,13.9,1.6,0.0,3.7,7.5,24.5,,121,120
Ervin Johnson,31,3,2,92,3.5,7.7,0.462,0.0,0.0,,3.5,7.7,0.462,0.6,1.2,0.5,4.7,5.9,10.6,0.6,1.2,3.0,0.0,5.3,7.7,,122,116
Tim Thomas,21,3,3,60,7.3,16.3,0.444,0.0,1.8,0.0,7.3,14.5,0.5,6.3,10.9,0.583,3.6,7.3,10.9,0.9,0.9,0.9,4.5,10.0,20.9,,91,117
Michael Curry,30,3,0,59,6.5,11.1,0.583,0.0,0.9,0.0,6.5,10.1,0.636,5.5,5.5,1.0,0.9,2.8,3.7,2.8,1.8,0.9,1.8,7.4,18.4,,130,119
Haywoode Workman,33,3,0,53,4.1,11.3,0.364,0.0,3.1,0.0,4.1,8.2,0.5,5.1,6.2,0.833,1.0,2.1,3.1,7.2,3.1,0.0,7.2,7.2,13.3,,79,118
Dell Curry,34,3,0,49,2.2,16.7,0.133,1.1,8.9,0.125,1.1,7.8,0.14300000000000002,4.4,4.4,1.0,0.0,4.4,4.4,1.1,3.3,0.0,0.0,5.6,10.0,,68,115
Robert Traylor,21,3,1,45,8.5,10.9,0.778,0.0,0.0,,8.5,10.9,0.778,2.4,4.8,0.5,7.3,7.3,14.5,2.4,2.4,4.8,4.8,18.1,19.3,,116,110
Armen Gilliam,34,3,0,35,9.3,23.3,0.4,0.0,0.0,,9.3,23.3,0.4,7.8,7.8,1.0,0.0,7.8,7.8,1.6,3.1,1.6,1.6,6.2,26.4,,103,111
Chris Gatling,31,2,0,12,0.0,9.1,0.0,0.0,0.0,,0.0,9.1,0.0,0.0,9.1,0.0,4.5,9.1,13.6,0.0,4.5,0.0,9.1,13.6,0.0,,14,108
