Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1994,22.0,WSB,NBA,SG,65.0,21.0,1604.0,10.2,21.7,0.47,0.0,0.7,0.043,10.2,21.0,0.484,3.9,5.0,0.77,2.7,3.2,5.9,3.9,2.0,0.3,3.4,4.6,24.3,,102.0,114.0
1995,23.0,WSB,NBA,SG,78.0,71.0,2651.0,9.8,21.6,0.453,1.8,5.4,0.339,8.0,16.2,0.492,3.3,4.1,0.812,2.0,4.1,6.1,3.4,1.5,0.4,2.9,4.1,24.8,,106.0,113.0
1996,24.0,WSB,NBA,SF,70.0,70.0,2324.0,9.4,19.9,0.471,1.1,3.4,0.338,8.2,16.5,0.498,3.3,4.7,0.706,1.5,3.8,5.3,3.4,1.5,0.4,2.8,4.5,23.2,,104.0,110.0
1997,25.0,WSB,NBA,SG,79.0,79.0,2411.0,8.0,15.7,0.505,0.1,0.6,0.133,7.9,15.1,0.521,2.0,3.0,0.693,1.5,4.3,5.8,2.5,1.7,0.4,2.0,4.9,18.0,,105.0,108.0
1998,26.0,WAS,NBA,SG,82.0,82.0,2841.0,8.2,18.1,0.457,0.3,1.0,0.283,8.0,17.1,0.467,2.6,4.0,0.647,1.5,4.5,6.0,3.2,1.8,0.7,1.9,4.9,19.3,,102.0,106.0
1999,27.0,WAS,NBA,SG,50.0,18.0,1266.0,7.3,17.5,0.414,0.3,1.6,0.216,6.9,16.0,0.434,1.4,2.8,0.493,1.4,4.6,6.0,3.1,1.6,0.7,1.8,6.2,16.3,,91.0,105.0
2001,29.0,DEN,NBA,SG,9.0,5.0,153.0,3.4,10.2,0.333,0.0,0.0,,3.4,10.2,0.333,0.3,0.7,0.5,1.7,5.1,6.8,3.0,1.4,0.7,1.7,4.7,7.1,,79.0,109.0
2002,30.0,DEN,NBA,SG,68.0,47.0,1631.0,7.3,15.2,0.481,0.0,0.1,0.0,7.3,15.0,0.485,1.5,2.2,0.687,1.9,6.0,7.8,3.6,1.1,0.7,2.3,5.1,16.1,,100.0,110.0
2003,31.0,UTA,NBA,SG,81.0,74.0,2351.0,7.4,14.9,0.499,0.2,0.6,0.4,7.2,14.3,0.503,0.9,1.6,0.58,1.7,4.8,6.5,3.7,1.5,0.3,2.5,5.1,16.0,,100.0,106.0
2004,32.0,GSW,NBA,SF,79.0,7.0,2067.0,7.2,14.9,0.481,0.0,0.3,0.0,7.2,14.7,0.489,1.2,2.0,0.61,2.0,4.7,6.7,3.5,1.6,0.3,2.2,4.8,15.6,,100.0,106.0
2005,33.0,GSW,NBA,SG,55.0,5.0,951.0,6.1,14.3,0.426,0.0,0.2,0.0,6.1,14.2,0.431,1.3,2.0,0.649,1.7,5.0,6.7,3.5,0.9,0.8,1.9,5.1,13.5,,94.0,110.0
2006,34.0,GSW,NBA,SF,42.0,0.0,448.0,4.8,12.4,0.389,0.0,0.9,0.0,4.8,11.5,0.42,0.9,0.9,1.0,2.3,4.7,7.0,2.2,1.5,0.2,2.0,4.4,10.6,,88.0,108.0
