Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,21,SEA,Seattle Supersonics,Gus Williams,29,2,,81,11.6,20.9,0.55,0.0,0.9,0.0,11.6,20.0,0.58,5.8,6.7,0.87,1.8,1.3,3.1,3.6,2.2,0.0,2.7,2.2,28.9
1983,21,SEA,Seattle Supersonics,Jack Sikma,27,2,,75,5.3,14.9,0.36,0.0,0.5,0.0,5.3,14.4,0.37,3.8,5.8,0.67,2.9,9.6,12.5,5.3,1.0,1.0,2.4,3.4,14.4
1983,21,SEA,Seattle Supersonics,David Thompson,28,2,,65,5.0,13.8,0.36,0.0,0.0,,5.0,13.8,0.36,3.3,5.5,0.6,0.0,0.0,0.0,3.9,0.6,0.6,2.2,3.9,13.3
1983,21,SEA,Seattle Supersonics,Danny Vranes,24,2,,56,3.9,10.9,0.35,0.0,0.0,,3.9,10.9,0.35,0.0,0.0,,5.8,6.4,12.2,0.6,0.0,0.6,0.6,4.5,7.7
1983,21,SEA,Seattle Supersonics,Lonnie Shelton,27,2,,53,2.7,15.6,0.17,0.0,2.0,0.0,2.7,13.6,0.2,1.4,3.4,0.4,8.8,5.4,14.3,3.4,0.7,0.0,1.4,4.8,6.8
1983,21,SEA,Seattle Supersonics,James Donaldson,25,2,,47,8.4,16.9,0.5,0.0,0.0,,8.4,16.9,0.5,1.5,2.3,0.67,3.8,9.2,13.0,1.5,0.0,2.3,0.0,3.1,18.4
1983,21,SEA,Seattle Supersonics,Steve Hawes,32,2,,35,5.1,10.3,0.5,0.0,0.0,,5.1,10.3,0.5,2.1,3.1,0.67,1.0,5.1,6.2,2.1,0.0,0.0,3.1,8.2,12.3
1983,21,SEA,Seattle Supersonics,Fred Brown,34,2,,30,2.4,10.8,0.22,0.0,0.0,,2.4,10.8,0.22,2.4,2.4,1.0,0.0,3.6,3.6,6.0,1.2,0.0,0.0,3.6,7.2
1983,21,SEA,Seattle Supersonics,Greg Kelser,25,2,,19,3.8,9.5,0.4,0.0,0.0,,3.8,9.5,0.4,0.0,0.0,,5.7,5.7,11.4,1.9,1.9,0.0,0.0,7.6,7.6
1983,21,SEA,Seattle Supersonics,Phil Smith,30,2,,19,5.7,11.4,0.5,0.0,0.0,,5.7,11.4,0.5,0.0,0.0,,0.0,5.7,5.7,1.9,0.0,0.0,3.8,1.9,11.4
