Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1988,23.0,TOT,NBA,C,39.0,8.0,642.0,6.2,13.5,0.459,0.0,0.1,0.0,6.2,13.4,0.462,4.0,4.6,0.871,4.3,8.6,12.8,2.4,1.0,0.4,2.7,6.4,16.4,,107.0,112.0
1988,23.0,MIL,NBA,C,3.0,0.0,35.0,5.6,15.5,0.364,0.0,0.0,,5.6,15.5,0.364,4.2,4.2,1.0,5.6,4.2,9.8,2.8,0.0,0.0,2.8,4.2,15.5,,100.0,113.0
1988,23.0,GSW,NBA,C,36.0,8.0,607.0,6.2,13.4,0.465,0.0,0.1,0.0,6.2,13.3,0.468,4.0,4.6,0.864,4.2,8.8,13.0,2.3,1.0,0.5,2.7,6.5,16.4,,107.0,112.0
1989,24.0,CHH,NBA,C,77.0,36.0,1419.0,6.7,11.9,0.564,0.0,0.1,0.5,6.7,11.8,0.564,3.4,4.7,0.727,4.1,8.8,13.0,1.9,0.8,0.7,2.6,8.1,16.9,,113.0,111.0
1990,25.0,CHH,NBA,C,10.0,2.0,135.0,5.8,14.9,0.39,0.0,0.0,,5.8,14.9,0.39,2.9,3.6,0.8,6.9,6.2,13.1,2.2,0.7,0.4,2.9,9.4,14.5,,96.0,112.0
1991,26.0,TOT,NBA,C,30.0,0.0,155.0,7.7,14.1,0.545,0.0,0.6,0.0,7.7,13.4,0.571,5.1,7.0,0.727,5.8,6.7,12.5,1.0,1.0,0.3,4.2,9.3,20.5,,107.0,111.0
1991,26.0,CHH,NBA,C,19.0,0.0,112.0,7.9,14.1,0.563,0.0,0.4,0.0,7.9,13.7,0.581,3.5,4.4,0.8,6.2,7.0,13.2,1.3,0.9,0.4,5.3,7.9,19.4,,101.0,111.0
1991,26.0,PHI,NBA,C,11.0,0.0,43.0,7.0,14.0,0.5,0.0,1.2,0.0,7.0,12.8,0.545,9.3,14.0,0.667,4.7,5.8,10.5,0.0,1.2,0.0,1.2,12.8,23.3,,124.0,110.0
1992,27.0,PHI,NBA,C,11.0,0.0,40.0,2.6,9.0,0.286,0.0,0.0,,2.6,9.0,0.286,6.4,12.8,0.5,1.3,11.5,12.8,2.6,0.0,0.0,3.8,7.7,11.5,,76.0,110.0
1993,28.0,NJN,NBA,C,2.0,0.0,10.0,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,0.0,10.0,0.0,5.0,15.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,,105.0,104.0
