Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2012,5,CHI,Charlotte Bobcats,Luol Deng,26,54,54,2129,7.9,19.1,0.41,2.0,5.4,0.37,5.9,13.7,0.43,3.2,4.2,0.77,1.9,6.9,8.9,4.0,1.4,0.9,2.4,2.0,20.9,105,100,731
2012,5,CHI,Charlotte Bobcats,Carlos Boozer,30,66,66,1948,12.4,23.3,0.53,0.0,0.0,0.0,12.4,23.2,0.53,2.6,3.8,0.69,3.2,12.4,15.6,3.5,1.7,0.7,3.2,4.6,27.4,108,95,299
2012,5,CHI,Charlotte Bobcats,Joakim Noah,26,64,64,1945,6.9,13.6,0.51,0.0,0.0,0.0,6.9,13.5,0.51,4.3,5.7,0.75,6.7,10.7,17.4,4.4,1.1,2.5,2.5,4.5,18.1,120,96,2148
2012,5,CHI,Charlotte Bobcats,Ronnie Brewer,26,66,43,1635,6.3,14.7,0.43,0.6,2.3,0.28,5.6,12.4,0.46,1.8,3.3,0.56,2.4,5.2,7.6,4.5,2.4,0.7,1.9,2.1,15.0,103,99,346
2012,5,CHI,Charlotte Bobcats,Kyle Korver,30,65,7,1469,6.5,15.1,0.43,4.3,9.9,0.44,2.2,5.2,0.43,2.0,2.4,0.83,1.0,4.9,5.8,4.1,1.3,0.5,1.9,4.0,19.4,120,101,1651
2012,5,CHI,Charlotte Bobcats,Derrick Rose,23,39,39,1375,11.8,27.2,0.44,2.1,6.8,0.31,9.7,20.4,0.48,7.6,9.4,0.81,1.0,4.1,5.1,12.0,1.4,1.1,4.7,2.0,33.4,112,101,2505
2012,5,CHI,Charlotte Bobcats,Taj Gibson,26,63,0,1284,8.4,16.9,0.5,0.0,0.0,,8.4,16.9,0.5,3.5,5.7,0.62,5.7,8.3,13.9,2.0,1.1,3.4,2.5,5.5,20.3,109,96,1029
2012,5,CHI,Charlotte Bobcats,C.J. Watson,27,49,25,1159,7.5,20.3,0.37,3.2,8.0,0.39,4.3,12.3,0.35,3.9,4.8,0.81,1.0,3.9,4.9,9.3,2.1,0.4,4.5,4.8,22.0,101,101,3040
2012,5,CHI,Charlotte Bobcats,Omer Asik,25,66,2,971,4.4,8.7,0.51,0.0,0.0,,4.4,8.7,0.51,2.6,5.7,0.46,7.0,12.4,19.4,1.8,1.7,3.8,3.8,6.7,11.4,97,92,114
2012,5,CHI,Charlotte Bobcats,John Lucas III,29,49,2,726,10.6,26.6,0.4,4.1,10.4,0.39,6.5,16.2,0.4,2.1,2.4,0.88,1.6,4.0,5.6,8.0,1.4,0.1,3.1,3.1,27.4,107,102,1786
2012,5,CHI,Charlotte Bobcats,Richard Hamilton,33,28,28,697,10.8,23.9,0.45,1.3,3.6,0.37,9.5,20.4,0.47,2.2,2.9,0.78,1.5,3.6,5.1,6.5,0.9,0.1,3.8,4.3,25.2,101,104,1160
2012,5,CHI,Charlotte Bobcats,Jimmy Butler,22,42,0,359,4.8,11.8,0.4,0.3,1.6,0.18,4.5,10.2,0.44,6.4,8.4,0.77,3.4,4.9,8.4,2.1,1.6,0.7,2.1,3.0,16.3,112,100,439
2012,5,CHI,Charlotte Bobcats,Brian Scalabrine,33,28,0,122,6.2,13.2,0.47,0.4,3.1,0.14,5.7,10.2,0.56,1.3,2.6,0.5,3.5,5.7,9.3,6.6,2.2,2.6,4.0,4.0,14.1,98,97,2565
2012,5,CHI,Charlotte Bobcats,Mike James,36,11,0,120,9.0,22.0,0.41,2.7,4.5,0.6,6.3,17.5,0.36,3.1,3.6,0.88,0.9,3.6,4.5,13.0,1.8,0.9,6.3,9.0,23.8,101,101,1430
