Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2012,11,HOU,Houston Rockets,Luis Scola,31,66,66,2067,11.0,22.5,0.49,0.0,0.1,0.0,11.0,22.4,0.49,3.9,5.0,0.77,3.1,7.8,10.8,3.5,0.9,0.6,3.9,5.4,26.0,102,107,2578
2012,11,HOU,Houston Rockets,Chandler Parsons,23,63,57,1804,7.2,15.9,0.45,1.7,5.2,0.34,5.5,10.8,0.51,1.2,2.3,0.55,2.6,6.1,8.7,3.9,2.1,0.8,2.4,4.1,17.4,105,105,2250
2012,11,HOU,Houston Rockets,Courtney Lee,26,58,26,1757,7.5,17.3,0.43,2.6,6.5,0.4,4.9,10.8,0.45,2.1,2.6,0.83,0.8,4.0,4.7,2.6,2.0,0.7,1.9,3.2,19.7,106,107,1718
2012,11,HOU,Houston Rockets,Goran Dragic,25,66,28,1752,8.3,17.9,0.46,2.0,6.0,0.34,6.2,11.9,0.52,4.6,5.7,0.8,1.6,3.4,5.0,10.5,2.5,0.3,4.7,5.0,23.2,111,106,779
2012,11,HOU,Houston Rockets,Kyle Lowry,25,47,38,1510,7.3,17.8,0.41,2.7,7.3,0.37,4.5,10.5,0.43,5.9,6.9,0.86,1.3,6.1,7.4,10.7,2.5,0.5,4.5,4.6,23.2,111,104,1781
2012,11,HOU,Houston Rockets,Patrick Patterson,22,64,1,1483,7.9,18.0,0.44,0.0,0.1,0.0,7.9,17.9,0.44,1.4,2.0,0.7,4.0,6.1,10.1,1.9,1.0,1.3,1.7,4.0,17.3,99,107,2257
2012,11,HOU,Houston Rockets,Samuel Dalembert,30,65,45,1446,7.2,14.3,0.51,0.0,0.0,0.0,7.2,14.3,0.51,3.3,4.1,0.8,5.7,10.8,16.5,1.2,1.3,4.0,3.0,5.9,17.7,108,100,660
2012,11,HOU,Houston Rockets,Chase Budinger,23,58,9,1298,8.4,19.0,0.44,3.5,8.8,0.4,4.8,10.2,0.48,2.2,2.8,0.77,1.5,7.2,8.8,3.0,1.2,0.3,2.2,2.6,22.5,110,107,416
2012,11,HOU,Houston Rockets,Kevin Martin,28,40,40,1264,9.2,22.2,0.41,3.2,9.3,0.35,6.0,12.9,0.46,6.6,7.4,0.89,0.5,3.9,4.4,4.6,1.2,0.1,2.9,2.9,28.2,111,109,1861
2012,11,HOU,Houston Rockets,Jordan Hill,24,32,7,469,7.6,15.1,0.5,0.0,0.3,0.0,7.6,14.7,0.52,2.8,4.4,0.64,5.2,12.1,17.3,1.6,1.0,2.3,2.7,6.7,18.0,106,102,1290
2012,11,HOU,Houston Rockets,Marcus Camby,37,19,13,458,7.0,14.4,0.48,0.2,0.6,0.4,6.7,13.8,0.49,1.3,3.0,0.42,5.9,14.2,20.1,3.7,1.9,3.3,1.1,4.3,15.4,115,97,461
2012,11,HOU,Houston Rockets,Terrence Williams,24,12,0,181,5.8,16.5,0.35,2.3,5.5,0.42,3.5,11.0,0.32,1.7,3.5,0.5,0.6,7.5,8.1,2.9,1.2,0.3,2.9,4.6,15.6,85,107,3181
2012,11,HOU,Houston Rockets,Jonny Flynn,22,11,0,135,4.7,15.9,0.29,0.8,3.5,0.22,3.9,12.4,0.31,4.3,5.4,0.79,0.4,2.7,3.1,10.9,1.2,0.4,3.5,3.1,14.3,92,110,926
2012,11,HOU,Houston Rockets,Marcus Morris,22,17,0,126,6.6,22.4,0.3,0.8,7.1,0.12,5.8,15.4,0.38,2.5,3.3,0.75,2.1,4.6,6.6,1.2,0.8,0.8,1.7,5.0,16.6,78,109,2052
2012,11,HOU,Houston Rockets,Earl Boykins,35,8,0,111,5.7,17.0,0.33,0.9,4.2,0.22,4.7,12.7,0.37,6.1,7.1,0.87,0.0,5.2,5.2,8.0,0.5,0.0,3.3,2.4,18.4,98,110,316
2012,11,HOU,Houston Rockets,Greg Smith,21,8,0,69,5.3,8.3,0.64,0.0,0.0,,5.3,8.3,0.64,0.0,0.0,,3.8,11.4,15.2,0.8,1.5,3.8,0.8,12.9,10.6,131,99,2677
2012,11,HOU,Houston Rockets,Jeff Adrien,25,8,0,63,5.8,13.3,0.44,0.0,0.0,,5.8,13.3,0.44,5.8,10.0,0.58,4.2,14.1,18.3,0.8,0.0,1.7,1.7,10.8,17.5,106,103,21
2012,11,HOU,Houston Rockets,Courtney Fortson,23,6,0,49,6.4,21.4,0.3,2.1,9.6,0.22,4.3,11.8,0.36,4.3,6.4,0.67,2.1,5.3,7.5,5.3,3.2,0.0,5.3,2.1,19.2,81,104,942
2012,11,HOU,Houston Rockets,Hasheem Thabeet,24,5,0,23,6.8,6.8,1.0,0.0,0.0,,6.8,6.8,1.0,0.0,0.0,,2.3,13.7,15.9,0.0,0.0,4.6,0.0,11.4,13.7,202,100,2834
