Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013,12,1172,IND,Indiana Pacers,Ben Hansbrough,25,28,200,7.2,0.5,0.51,0.6,1.1,8.8,5.0,16.1,1.9,0.7,24.0,17.1,-0.1,0.3,0.2,0.04,-5.2,1.0,-4.2,-0.1
2013,12,119,IND,Indiana Pacers,D.J. Augustin,25,76,1226,11.0,0.53,0.65,0.34,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,1.4,1.5,2.8,0.11,-0.7,0.1,-0.6,0.5
2013,12,1077,IND,Indiana Pacers,Danny Granger,29,5,74,4.0,0.35,0.29,0.23,4.6,8.9,6.8,6.9,1.4,1.0,9.4,26.2,-0.2,0.1,-0.1,-0.08,-6.3,-2.4,-8.7,-0.1
2013,12,3071,IND,Indiana Pacers,David West,32,73,2435,20.1,0.55,0.02,0.31,6.8,18.8,12.9,16.8,1.6,2.1,12.0,24.4,4.4,4.7,9.1,0.18,2.4,1.5,4.0,3.7
2013,12,1935,IND,Indiana Pacers,Dominic McGuire,27,2,12,-6.0,0.0,0.0,0.67,9.5,9.1,9.3,11.5,0.0,0.0,0.0,14.7,-0.1,0.0,-0.1,-0.24,-9.1,-5.1,-14.2,0.0
2013,12,1288,IND,Indiana Pacers,George Hill,26,76,2620,16.6,0.56,0.4,0.24,2.0,9.9,6.0,23.4,1.6,0.7,10.7,18.8,5.9,3.8,9.7,0.18,2.2,1.1,3.3,3.5
2013,12,1103,IND,Indiana Pacers,Gerald Green,27,60,1080,9.9,0.46,0.44,0.15,3.3,11.1,7.3,7.9,0.9,1.6,10.5,21.3,-0.3,1.5,1.3,0.06,-1.6,-0.3,-1.9,0.0
2013,12,1815,IND,Indiana Pacers,Ian Mahinmi,26,80,1322,10.6,0.5,0.01,0.52,9.9,16.2,13.1,3.3,1.6,3.7,18.5,17.1,-0.4,2.6,2.3,0.08,-4.7,1.4,-3.4,-0.5
2013,12,128,IND,Indiana Pacers,Jeff Ayres,25,37,369,14.5,0.53,0.03,0.18,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,0.3,0.7,1.0,0.13,-1.9,0.9,-1.0,0.1
2013,12,2745,IND,Indiana Pacers,Lance Stephenson,22,78,2278,11.8,0.53,0.31,0.19,2.3,12.3,7.4,16.2,1.9,0.5,14.4,15.2,1.8,3.6,5.5,0.12,-1.7,1.7,0.0,1.2
2013,12,2320,IND,Indiana Pacers,Miles Plumlee,24,14,55,8.8,0.29,0.0,0.19,24.8,19.9,22.3,5.7,0.0,4.0,11.6,21.4,-0.1,0.1,0.0,-0.02,-5.0,-2.9,-7.8,-0.1
2013,12,1509,IND,Indiana Pacers,Orlando Johnson,23,51,619,11.4,0.52,0.52,0.18,3.7,15.9,9.9,12.5,0.9,1.1,13.0,16.4,0.5,1.0,1.5,0.12,-0.5,0.7,0.2,0.3
2013,12,1019,IND,Indiana Pacers,Paul George,22,79,2972,16.8,0.53,0.4,0.23,3.4,19.0,11.3,19.6,2.6,1.3,15.2,23.5,2.7,6.3,9.0,0.14,1.5,2.3,3.8,4.4
2013,12,1275,IND,Indiana Pacers,Roy Hibbert,26,79,2269,17.3,0.49,0.0,0.26,14.8,17.4,16.1,8.9,0.9,6.7,14.5,22.5,1.3,4.9,6.1,0.13,-1.7,1.4,-0.3,0.9
2013,12,3261,IND,Indiana Pacers,Sam Young,27,56,693,7.5,0.46,0.35,0.29,4.3,15.3,9.9,9.4,1.2,0.9,16.5,13.2,-0.2,1.1,0.9,0.06,-3.5,0.8,-2.7,-0.1
2013,12,1173,IND,Indiana Pacers,Tyler Hansbrough,27,81,1366,15.3,0.53,0.01,0.74,13.4,17.0,15.2,4.4,1.1,1.0,12.6,20.6,2.1,2.2,4.4,0.15,-1.3,-0.7,-1.9,0.0
