Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014,24.0,MIN,NBA,C,60.0,15.0,818.0,113.0,227.0,0.498,1.0,1.0,1.0,112.0,226.0,0.496,0.5,59.0,93.0,0.634,103.0,197.0,300.0,39.0,30.0,50.0,54.0,108.0,286.0
2015,25.0,MIN,NBA,C,73.0,49.0,2193.0,259.0,512.0,0.506,1.0,6.0,0.167,258.0,506.0,0.51,0.507,191.0,244.0,0.783,223.0,386.0,609.0,146.0,71.0,126.0,126.0,188.0,710.0
2016,26.0,MIN,NBA,C,82.0,39.0,2220.0,308.0,579.0,0.532,6.0,20.0,0.3,302.0,559.0,0.54,0.537,205.0,248.0,0.827,157.0,428.0,585.0,143.0,94.0,96.0,140.0,219.0,827.0
2017,27.0,MIN,NBA,PF,82.0,82.0,2653.0,332.0,661.0,0.502,16.0,43.0,0.372,316.0,618.0,0.511,0.514,136.0,167.0,0.814,188.0,459.0,647.0,158.0,88.0,95.0,107.0,254.0,816.0
2018,28.0,MIN,NBA,C,79.0,0.0,1333.0,186.0,388.0,0.479,19.0,61.0,0.311,167.0,327.0,0.511,0.504,79.0,102.0,0.775,106.0,254.0,360.0,71.0,45.0,39.0,59.0,147.0,470.0
2019,29.0,MIN,NBA,C,76.0,2.0,1031.0,189.0,377.0,0.501,19.0,56.0,0.339,170.0,321.0,0.53,0.527,88.0,106.0,0.83,81.0,230.0,311.0,72.0,48.0,41.0,57.0,134.0,485.0
2020,30.0,TOT,NBA,C,63.0,17.0,1096.0,166.0,364.0,0.456,54.0,152.0,0.355,112.0,212.0,0.528,0.53,78.0,101.0,0.772,91.0,263.0,354.0,73.0,51.0,59.0,60.0,124.0,464.0
2020,30.0,MIN,NBA,C,46.0,17.0,778.0,124.0,277.0,0.448,46.0,120.0,0.383,78.0,157.0,0.497,0.531,47.0,59.0,0.797,73.0,183.0,256.0,58.0,37.0,42.0,44.0,89.0,341.0
2020,30.0,MEM,NBA,C,17.0,0.0,318.0,42.0,87.0,0.483,8.0,32.0,0.25,34.0,55.0,0.618,0.529,31.0,42.0,0.738,18.0,80.0,98.0,15.0,14.0,17.0,16.0,35.0,123.0
2021,31.0,MEM,NBA,C,9.0,0.0,153.0,28.0,54.0,0.519,10.0,24.0,0.417,18.0,30.0,0.6,0.611,7.0,7.0,1.0,11.0,30.0,41.0,14.0,9.0,5.0,10.0,14.0,73.0
